wrkare,wh_id,prithr,hmemaxprithr,maxprithr,voc_cod,dist_thresh,moddte,mod_usr_id,is_purged
"WA-1-001","3",30,55,20,0,0.0,"20200611163555","939161",0
"WA-1-002","3",50,90,20,0,0.0,"20210412000000","938673",0
"WA-2-001","3",50,90,20,0,0.0,"20210412000000","938673",0
"WA-2-002","3",50,90,20,0,0.0,"20210412000000","938673",0
"WA-2-003","3",50,90,20,0,0.0,"20210826100000","939161",0
"WA-2-004","3",50,90,20,0,0.0,"20220405180237","939370",0
"WA-2-005","3",50,90,20,0,0.0,"20220406153618","939370",0
"WA-2-006","3",50,90,20,0,0.0,"20220414140124","939370",0
"WA-2-007","3",50,90,20,0,0.0,"20220414145406","939370",0
"WA-2-008","3",50,90,20,0,0.0,"20221005141136","939370",0
"WA-2-009","3",50,90,20,0,0.0,"20221005141136","939370",0
"WA-2-010","3",50,90,20,0,0.0,"20221005141136","939370",0
"WA-2-011","3",50,90,20,0,0.0,"20221005141136","939370",0
"WA-2-012","3",50,90,20,0,0.0,"20221005141136","939370",0
"WA-2-013","3",50,90,20,0,0.0,"20231002161616","939370",0
"WA-2-014","3",50,90,20,0,0.0,"20231004134235","939370",0
"WA-2-015","3",50,90,20,0,0.0,"20231004150806","939370",0
"WA-3-001","3",50,90,20,0,0.0,"20210412000000","938673",0
"WA-4-001","3",0,0,0,0,0.0,"20210622103031","939161",0
"WLOGICAL","3",0,0,0,0,0,"20181210102459","SUPER",0
