pcklst_rule_id,pcklst_rule_name,wh_id,client_id,re_list_flg,allow_split_flg,list_typ,one_pass_only,assign_slot_flg,asset_typ,valid_flg,cnf_mtused_prt,cmdtxt,opr_cod,pick_ord_by,max_start_picks,drop_at_wrkzone_change,frc_pickup_prev,rsm_lst_pck_prev_opr,cmb_list_flg,prevent_pck_cons,pick_to_lvl,wa_fit_cri,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id,max_assets,is_purged
1,"RBG_L201_ZONE_PICK_LIST_RULE","3","RFH",0,0,"ORD","B",0,"1",1,0,"create work","LPCK","locmst.trvseq ASC,locmst.stoloc ASC",0,0,0,0,1,0,"L","","20200318152851","20200617122624","939370","943378",1,0
2,"RBG_D_ZONE_PICK_LIST_RULE","3","RFH",0,0,"ORD","B",0,"1",1,0,"create work","LPCK","locmst.trvseq ASC,locmst.stoloc ASC",0,0,0,0,1,0,"L","","20200928114140","20220418173408","939370","939370",1,0
3,"RBG_A_ZONE_PICK_LIST_RULE","3","RFH",0,0,"ORD","B",0,"1",1,0,"create work","LPCK","locmst.trvseq ASC,locmst.stoloc ASC",0,0,0,0,1,0,"L","","20211110112757","20211110113100","940409","940409",1,0
4,"SHELVE_120CM_D_ZONE","3","RFH",1,0,"ORD","B",0,"19-H1200",1,0,"","","locmst.trvseq ASC,locmst.stoloc ASC",0,0,0,0,1,0,"L","","20220120125855","20230609095129","939370","938673",1,0
5,"TROLLEY_1S_D_ZONE","3","RFH",1,0,"ORD","B",1,"1-1S",1,0,"create work","LPCK","locmst.trvseq ASC,locmst.stoloc ASC",0,0,0,0,1,0,"L","","20220120132206","20230609085527","939370","938673",1,0
6,"RBG_D_ZONE_ODD_SIZE_PICK_LIST_RULE","3","RFH",0,0,"ORD","B",0,"",1,0,"create work","LPCK","locmst.trvseq ASC,locmst.stoloc ASC",0,0,0,0,1,0,"L","","20220418173828","20220418174218","939370","939370",1,0
7,"RBG_B_ZONE_PICK_LIST_RULE","3","RFH",0,0,"ORD","B",0,"1",1,0,"create work","LPCK","locmst.trvseq ASC,locmst.stoloc ASC",0,0,0,0,1,0,"L","","20220418175102","20220418175127","939370","939370",1,0
8,"RBG_B_ZONE_ODD_SIZE_PICK_LIST_RULE","3","RFH",0,0,"ORD","B",0,"",1,0,"create work","LPCK","locmst.trvseq ASC,locmst.stoloc ASC",0,0,0,0,1,0,"L","","20220418175225","20220418175254","939370","939370",1,0
9,"RBG_E_ZONE_PICK_LIST_RULE","3","RFH",0,0,"ORD","B",0,"1",1,0,"create work","LPCK","locmst.trvseq ASC,locmst.stoloc ASC",0,0,0,0,1,0,"L","","20220418175402","20220418175422","939370","939370",1,0
10,"SHELVE_120CM_A_ZONE","3","RFH",1,0,"ORD","B",0,"19-H1200",1,0,"","","locmst.trvseq ASC,locmst.stoloc ASC",0,0,0,0,1,0,"L","","20220418180135","20230609094950","939370","938673",1,0
