pcklst_select_cri_id,pcklst_rule_id,seqnum,log_opr,table_nam,field_name,operator,value,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id
1,3,1,"","pck_zone","pck_zone_cod","=","F002-P-01","20210608150009","20210608150009","939161","939161"
11,6,1,"","pck_zone","pck_zone_cod","=","D001-P-01","20230608141037","20230608141037","938673","938673"
12,6,2,"AND","","","","","20230608141038","20230608141038","938673","938673"
13,6,3,"","pcklst_rule","pcklst_rule_name","=","SHELVE_120CM_D001_ZONE","20230608141038","20230608141038","938673","938673"
14,13,1,"","pck_zone","pck_zone_cod","=","E001-P-01","20230608141104","20230608141104","938673","938673"
15,13,2,"AND","","","","","20230608141104","20230608141104","938673","938673"
16,13,3,"","pcklst_rule","pcklst_rule_name","=","SHELVE_120CM_E001_ZONE","20230608141104","20230608141104","938673","938673"
17,20,1,"","pck_zone","pck_zone_cod","=","F001-P-01","20230608141213","20230608141213","938673","938673"
18,20,2,"AND","","","","","20230608141213","20230608141213","938673","938673"
19,20,3,"","pcklst_rule","pcklst_rule_name","=","SHELVE_120CM_F001_ZONE","20230608141213","20230608141213","938673","938673"
20,7,1,"","pck_zone","pck_zone_cod","=","D001-P-01","20230608141252","20230608141252","938673","938673"
21,7,2,"AND","","","","","20230608141252","20230608141252","938673","938673"
22,7,3,"","pcklst_rule","pcklst_rule_name","=","SHELVE_60CM_D001_ZONE","20230608141252","20230608141252","938673","938673"
23,15,1,"","pck_zone","pck_zone_cod","=","E001-P-01","20230608141328","20230608141328","938673","938673"
24,15,2,"AND","","","","","20230608141328","20230608141328","938673","938673"
25,15,3,"","pcklst_rule","pcklst_rule_name","=","SHELVE_60CM_E001_ZONE","20230608141328","20230608141328","938673","938673"
26,22,1,"","pck_zone","pck_zone_cod","=","F001-P-01","20230608141356","20230608141356","938673","938673"
27,22,2,"AND","","","","","20230608141356","20230608141356","938673","938673"
28,22,3,"","pcklst_rule","pcklst_rule_name","=","SHELVE_60CM_F001_ZONE","20230608141356","20230608141356","938673","938673"
29,4,1,"","pck_zone","pck_zone_cod","=","D001-P-01","20230608141424","20230608141424","938673","938673"
30,4,2,"AND","","","","","20230608141424","20230608141424","938673","938673"
31,4,3,"","pcklst_rule","pcklst_rule_name","=","SHELVE_80CM_D001_ZONE","20230608141424","20230608141424","938673","938673"
32,14,1,"","pck_zone","pck_zone_cod","=","E001-P-01","20230608141451","20230608141451","938673","938673"
33,14,2,"AND","","","","","20230608141451","20230608141451","938673","938673"
