wh_id,reltyp_id,cnt_zone_id,rel_cmd,extra_args,pricod,grp_cols,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id
"7","A",-10000,"CREATE WORK","",0,"","20200114141105","20200114141105","SUPER","SUPER"
"7","AA",-10000,"CREATE WORK","",0,"","20200114141105","20200114141105","SUPER","SUPER"
"7","AC",-10000,"CREATE WORK","",0,"","20200114141105","20200114141105","SUPER","SUPER"
"7","AD",-10000,"CREATE WORK","",0,"","20200114141105","20200114141105","SUPER","SUPER"
"7","C",-10000,"CREATE WORK","",0,"","20200114141105","20200114141105","SUPER","SUPER"
"7","CB",-10000,"CREATE WORK","",0,"","20200114141105","20200114141105","SUPER","SUPER"
"7","CD",-10000,"CREATE WORK","",0,"","20200114141105","20200114141105","SUPER","SUPER"
"7","CP",-10000,"CREATE WORK","",0,"","20200114141105","20200114141105","SUPER","SUPER"
"7","MAN",-10000,"NOOP","",0,"cntwrk.cntbat,cntwrk.stoloc,cntwrk.wh_id","20200114141105","20200114141105","SUPER","SUPER"
"7","PHY",-10000,"CREATE WORK","",0,"","20200114141105","20200114141105","SUPER","SUPER"
"7","R",-10000,"CREATE WORK","",0,"","20200114141105","20200114141105","SUPER","SUPER"
"7","Z",-10000,"CREATE WORK","",0,"","20200114141105","20200114141105","SUPER","SUPER"
