stoloc,wh_id,arecod,loccod,locsts,velzon,aisle_id,trvseq,sto_seq,rescod,bay,lvl,locpos,lochgt,loclen,locwid,dck_acc_cod,locvrc,maxqvl,curqvl,pndqvl,trfpct,erfpct,esc_type,esc_thr,useflg,stoflg,pckflg,repflg,asgflg,cipflg,cntseq,numcnt,abccod,cntdte,devcod,lokcod,locacc,voc_chkdgt,voc_chkdgt_2,voc_chkdgt_3,lstdte,lstcod,lst_usr_id,slotseq,perm_asgflg,cnt_zone_id,pck_zone_id,sto_zone_id,mov_zone_id,wrk_zone_id,loc_typ_id,of_lvl_unit,section,x,y,z,attr1,attr2,attr3,attr4,attr5,basepoint_id,top_left_x,top_left_y,top_right_x,top_right_y,bottom_left_x,bottom_left_y,bottom_right_x,bottom_right_y,border_pad,auto_mov_flg,slot_id,def_maxqvl,u_version,ateseq,atedte,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id,cntbck_ena_flg,prdlin,stgloc,rcv_rescod,pal_stck_rst,maxwgt,lvl_typ_id,billing_flg,prtadr,lbl_prtadr,min_lvl_unit,max_lvl_unit,bckfill_loc,bckfill_locvrc,bckfill_voc_chkdgt,bckfill_voc_chkdgt_2,bckfill_voc_chkdgt_3,bckfill_aisle
"C-001-VRAAGTEKEN","7","C001","P","E","A","","","999999999999999","","","","",9.99999999E8,9.99999999E8,9.99999999E8,"","C-001-VRAAGTEKEN",9.99999999E8,0.0,0.0,0,0,"",100.0,1,1,1,0,0,0,"",0,"","","","","ALL","","","","20220728120903","","","",0,0,0,10006,10094,10001,10033,0,"","","","","","","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"",9.99999999E8,25,9999,"","20200209183320","20200226101436","939370","939161",0,"","","","N",0.0,"",0,"","",0,0,"","","","","",""
"Cash & Carry","7","L200","P","E","A","","","","","","","",9.99999999E8,9.99999999E8,9.99999999E8,"","8713783804308",9.99999999E8,0.0,0.0,0,0,"",0.0,1,0,0,0,0,0,"",0,"","","","","ALL","","","","","","","",0,0,0,0,10115,10012,10020,0,"","","","","","","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"",9.99999999E8,5,9999,"","20200407172303","20200410144725","938673","938673",0,"","","","N",0.0,"",0,"","",0,0,"","","","","",""
"D Afleveren 1","7","D200","P","E","A","","","","","","","",9.99999999E8,9.99999999E8,9.99999999E8,"","8718288002426",9.99999999E8,0.0,0.0,0,0,"",0.0,1,0,0,0,0,0,"",0,"","","","","ALL","","","","","","","",0,0,0,0,10106,10012,10020,0,"","","","","","","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"",9.99999999E8,5,9999,"","20200407172303","20200410144725","938673","938673",0,"","","","N",0.0,"",0,"","",0,0,"","","","","",""
"D-001-01","7","PRESTOPRI","V","E","A","","","999999999999999","","","","",9.99999999E8,9.99999999E8,9.99999999E8,"","",9.99999999E8,0.0,0.0,0,0,"",0.0,1,0,0,0,0,0,"",0,"","","","","ALL","","","","20200227171550","","","",0,0,0,0,10016,0,10015,0,"","","","","","","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"",9.99999999E8,2,9999,"","20200226085150","20200227120430","939161","939370",0,"","","","N",0.0,"",0,"","",0,0,"","","","","",""
"D-001-02","7","PRESTOPRI","V","E","A","","","999999999999999","","","","",9.99999999E8,9.99999999E8,9.99999999E8,"","",9.99999999E8,0.0,0.0,0,0,"",0.0,1,0,0,0,0,0,"",0,"","","","","ALL","","","","","","","",0,0,0,0,0,0,10015,0,"","","","","","","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"",9.99999999E8,2,9999,"","20200310135227","20200310135457","939161","939161",0,"","","","N",0.0,"",0,"","",0,0,"","","","","",""
"D-002-01","7","PRESTOPRI","P","E","A","","","999999999999999","","","","",9.99999999E8,9.99999999E8,9.99999999E8,"","",999.0,0.0,0.0,0,0,"",0.0,1,1,0,0,0,0,"",0,"","","","","ALL","","","","","","","",0,0,0,0,10046,10006,10038,0,"","","","","","","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"",999.0,1,9999,"","20210521141146","20210521141146","939161","939161",0,"","","","N",0.0,"",0,"","",0,0,"","","","","",""
"D-003-01","7","PREDEL","P","E","A","003","","999999999999999","XXXX","","","01",9.99999999E8,9.99999999E8,9.99999999E8,"","D-003-01",9.99999999E8,0.0,0.0,0,0,"",0.0,1,0,0,0,0,0,"",0,"","","","","ALL","","","","","","","",0,0,0,0,10017,10013,10037,0,"","","","","","","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"",9.99999999E8,4,9999,"","20200417093504","20200529113356","939161","940409",0,"","","","N",0.0,"",0,"","",0,0,"","","","","",""
"D-101-01","7","D001","P","I","A","101","400100110","400100110","","","","01",999999.0,999999.0,999999.0,"","D-101-01",1.0,0.0,0.0,0,0,"",100.0,1,1,1,0,0,0,"",0,"","","","","ALL","","","","20210511110010","","","",0,0,10003,10001,10122,10006,10022,0,"","","","","","","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"",1.0,2,999,"","20200310143754","20200410154854","939161","938673",0,"","","","N",0.0,"",0,"","",0,0,"","","","","",""
"D-101-02","7","D001","P","E","A","101","400100110","400100110","","","","02",999999.0,999999.0,999999.0,"","D-101-02",1.0,0.0,0.0,0,0,"",100.0,1,1,1,0,0,0,"",0,"","","","","ALL","","","","20200415121630","","","",0,0,10003,10001,10122,10006,10022,0,"","","","","","","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"",1.0,2,999,"","20200310143754","20200410154854","939161","938673",0,"","","","N",0.0,"",0,"","",0,0,"","","","","",""
"D-101-03","7","D001","P","E","A","101","400100110","400100110","","","","03",999999.0,999999.0,999999.0,"","D-101-03",1.0,0.0,0.0,0,0,"",100.0,1,1,1,0,0,0,"",0,"","","","","ALL","","","","20200330134115","","","",0,0,10003,10001,10122,10006,10022,0,"","","","","","","","","","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"",1.0,2,999,"","20200310143754","20200410154854","939161","938673",0,"","","","N",0.0,"",0,"","",0,0,"","","","","",""
