src_mov_zone_id,dst_mov_zone_id,lodlvl,hopseq,hop_mov_zone_id,move_method,cri_id,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id,is_purged
10018,10047,"L",1,10043,"","NONPRIORD","20210622150000","20210622150000","939161","939161",0
10018,10047,"L",2,10060,"","PRIORD","20210922085104","20210922085104","940409","940409",0
10018,10047,"L",3,10059,"","PRIORD","20210922085104","20210922085104","940409","940409",0
10018,10047,"L",4,10063,"","NONPRIORD","20221122132743","20221122132743","939370","939370",0
10018,10047,"S",1,10043,"","NONPRIORD","20210622150000","20210622150000","939161","939161",0
10018,10047,"S",2,10060,"","PRIORD","20210922085128","20210922085128","940409","940409",0
10018,10047,"S",3,10059,"","PRIORD","20210922085128","20210922085128","940409","940409",0
10018,10047,"S",4,10063,"","NONPRIORD","20221122132743","20221122132743","939370","939370",0
10018,10048,"L",1,10043,"","NONPRIORD","20210622150000","20210622150000","939161","939161",0
10018,10048,"L",2,10060,"","PRIORD","20210922085557","20210922085557","940409","940409",0
10018,10048,"L",3,10059,"","PRIORD","20210922085557","20210922085557","940409","940409",0
10018,10048,"L",4,10063,"","NONPRIORD","20221122132743","20221122132743","939370","939370",0
10018,10048,"S",1,10043,"","NONPRIORD","20210622150000","20210622150000","939161","939161",0
10018,10048,"S",2,10060,"","PRIORD","20210922085623","20210922085623","940409","940409",0
10018,10048,"S",3,10059,"","PRIORD","20210922085623","20210922085623","940409","940409",0
10018,10048,"S",4,10063,"","NONPRIORD","20221122132743","20221122132743","939370","939370",0
10018,10049,"L",1,10043,"","NONPRIORD","20210622150000","20210622150000","939161","939161",0
10018,10049,"L",2,10060,"","PRIORD","20210922090250","20210922090250","940409","940409",0
10018,10049,"L",3,10059,"","PRIORD","20210922090251","20210922090251","940409","940409",0
10018,10049,"L",4,10063,"","NONPRIORD","20221122132743","20221122132743","939370","939370",0
10018,10049,"S",1,10043,"","NONPRIORD","20210622150000","20210622150000","939161","939161",0
10018,10049,"S",2,10060,"","PRIORD","20210922091635","20210922091635","940409","940409",0
10018,10049,"S",3,10059,"","PRIORD","20210922091635","20210922091635","940409","940409",0
10018,10049,"S",4,10063,"","NONPRIORD","20221122132743","20221122132743","939370","939370",0
10018,10050,"L",1,10043,"","NONPRIORD","20210622150000","20210622150000","939161","939161",0
10018,10050,"L",2,10060,"","PRIORD","20210922091140","20210922091140","940409","940409",0
10018,10050,"L",3,10059,"","PRIORD","20210922091140","20210922091140","940409","940409",0
10018,10050,"L",4,10063,"","NONPRIORD","20221122132743","20221122132743","939370","939370",0
10018,10050,"S",1,10043,"","NONPRIORD","20210622150000","20210622150000","939161","939161",0
10018,10050,"S",2,10060,"","PRIORD","20210922091119","20210922091119","940409","940409",0
10018,10050,"S",3,10059,"","PRIORD","20210922091119","20210922091119","940409","940409",0
10018,10050,"S",4,10063,"","NONPRIORD","20221122132743","20221122132743","939370","939370",0
10018,10051,"L",1,10043,"","NONPRIORD","20210622150000","20210622150000","939161","939161",0
10018,10051,"L",2,10060,"","PRIORD","20210922090738","20210922090738","940409","940409",0
10018,10051,"L",3,10059,"","PRIORD","20210922090738","20210922090738","940409","940409",0
10018,10051,"L",4,10063,"","NONPRIORD","20221122132743","20221122132743","939370","939370",0
10018,10051,"S",1,10043,"","NONPRIORD","20210622150000","20210622150000","939161","939161",0
10018,10051,"S",2,10060,"","PRIORD","20210922090718","20210922090718","940409","940409",0
10018,10051,"S",3,10059,"","PRIORD","20210922090718","20210922090718","940409","940409",0
10018,10051,"S",4,10063,"","NONPRIORD","20221122132743","20221122132743","939370","939370",0
10018,10052,"L",1,10043,"","NONPRIORD","20210622150000","20210622150000","939161","939161",0
