loc_typ_id,loc_typ,loc_typ_cat,wh_id,adjflg,autclr_prcare,def_rcv_invsts,bckfill_flg,dispatch_flg,dstr_flg,dstr_pck_ctn_flg,dstr_pck_pal_flg,dstr_sug_ctn_flg,dstr_sug_pal_flg,expflg,ftl_flg,fwiflg,lpn_mix_flg,mix_shprcv_flg,pck_to_sto_flg,pdflg,praflg,prd_stgflg,prod_flg,put_to_sto_flg,rcv_dck_flg,rcv_stgflg,rcvwo_non_fwiflg,rdtflg,share_loc_flg,shp_dck_flg,loc_ovrd_flg,shpflg,sigflg,stgflg,sto_trlr_flg,stoare_flg,wip_expflg,wip_supflg,wipflg,xdaflg,yrdflg,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id,rem_lpn_flg,cap_cw_dep_flg
10000,"DAMG","STORAGE","3",0,0,"",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"20181210102458","20181210102458","SUPER","SUPER",0,0
10001,"RDCK","DOCK","3",0,0,"",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20181210102459","20181210102459","SUPER","SUPER",0,0
10002,"SDCK","DOCK","3",0,0,"",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"20181210102459","20181210102459","SUPER","SUPER",0,0
10003,"SRDCK","DOCK","3",0,0,"",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"20181210102459","20181210102459","SUPER","SUPER",0,0
10004,"EXPR","LOGICAL","3",0,0,"",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20181210102459","20181210102459","SUPER","SUPER",0,0
10005,"ADJS","LOGICAL","3",1,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20181210102459","20181210102459","SUPER","SUPER",0,0
10006,"SACO","LOGICAL","3",0,0,"",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20181210102459","20181210102459","SUPER","SUPER",0,0
10007,"SADJ","LOGICAL","3",1,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20181210102459","20181210102459","SUPER","SUPER",0,0
10008,"DKIT","LOGICAL","3",0,0,"",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20181210102459","20181210102459","SUPER","SUPER",0,0
10009,"SHIP","LOGICAL","3",0,0,"",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"20181210102459","20181210102459","SUPER","SUPER",0,0
10010,"DSPCH","LOGICAL","3",0,0,"",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20181210102459","20181210102459","SUPER","SUPER",0,0
10011,"DISTR","PROC","3",0,0,"",0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20181210102459","20181210102459","SUPER","SUPER",0,0
10012,"STOTRLR","LOGICAL","3",0,0,"",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"20181210102459","20181210102459","SUPER","SUPER",0,0
10013,"WRKS","PROC","3",0,0,"",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20181210102459","20181210102459","SUPER","SUPER",0,0
10014,"XDCK","STAGING","3",0,0,"",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"20181210102459","20181210102459","SUPER","SUPER",0,0
10015,"PND","PND","3",0,0,"",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20181210102459","20181210102459","SUPER","SUPER",0,0
10016,"PROC","PROC","3",0,0,"",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20181210102459","20181210102459","SUPER","SUPER",0,0
10017,"PROD","PROD","3",0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"20181210102459","20181210102459","SUPER","SUPER",0,0
10018,"PSTG","STAGING","3",0,0,"",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"20181210102459","20181210102459","SUPER","SUPER",0,0
10019,"RSTG","STAGING","3",0,0,"",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"20181210102459","20181210102459","SUPER","SUPER",0,0
10020,"SSTG","STAGING","3",0,0,"",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,"20181210102459","20181210102459","SUPER","SUPER",0,0
10021,"SRSTG","STAGING","3",0,0,"",0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,"20181210102459","20181210102459","SUPER","SUPER",0,0
