sto_config_id,wh_id,srtseq,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id
"000002","7",1,"20200209233359","20200227142943","939370","939161"
"000004","7",2,"20200209233753","20200227142958","939370","939161"
"000006","7",3,"20200209234044","20200227143013","939370","939161"
"000008","7",4,"20200209234348","20200227143029","939370","939161"
"000010","7",5,"20200209234629","20200227143043","939370","939161"
