gln,wh_id,uc_delivery_id,ins_dt,last_upd_dt,last_upd_user_id
"5398888520976","2",1040,"20220729142958","20220729142958","939370"
"5398888520976","2",1089,"20220729142958","20220729142958","939370"
"5398888520976","2",1138,"20220729142958","20220729142958","939370"
"5398888520976","2",1187,"20220729142958","20220729142958","939370"
"5398888520976","2",1236,"20220729142959","20220729142959","939370"
"5398888520976","2",1285,"20220729142959","20220729142959","939370"
"5398888520976","2",1334,"20220729142959","20220729142959","939370"
"5398888520976","2",1383,"20220729142959","20220729142959","939370"
"5398888520976","2",1432,"20220729142959","20220729142959","939370"
"5398888520976","2",1481,"20220729142959","20220729142959","939370"
"5398888520976","2",1509,"20220729142959","20220729142959","939370"
"5398888520976","2",1695,"20230210164714","20230210164714","939370"
"5398888520976","2",1772,"20230314132514","20230314132514","939370"
"8032817450008","2",1014,"20220729142958","20220729142958","939370"
"8032817450008","2",1063,"20220729142958","20220729142958","939370"
"8032817450008","2",1112,"20220729142958","20220729142958","939370"
"8032817450008","2",1161,"20220729142958","20220729142958","939370"
"8032817450008","2",1210,"20220729142958","20220729142958","939370"
"8032817450008","2",1259,"20220729142959","20220729142959","939370"
"8032817450008","2",1308,"20220729142959","20220729142959","939370"
"8032817450008","2",1357,"20220729142959","20220729142959","939370"
"8032817450008","2",1406,"20220729142959","20220729142959","939370"
"8032817450008","2",1455,"20220729142959","20220729142959","939370"
"8032817450008","2",1493,"20220729142959","20220729142959","939370"
"8032817450008","2",1677,"20230210164714","20230210164714","939370"
"8713783219317","2",1006,"20220729142958","20220729142958","939370"
"8713783219317","2",1055,"20220729142958","20220729142958","939370"
"8713783219317","2",1104,"20220729142958","20220729142958","939370"
"8713783219317","2",1153,"20220729142958","20220729142958","939370"
"8713783219317","2",1202,"20220729142958","20220729142958","939370"
"8713783219317","2",1251,"20220729142959","20220729142959","939370"
"8713783219317","2",1300,"20220729142959","20220729142959","939370"
"8713783219317","2",1349,"20220729142959","20220729142959","939370"
"8713783219317","2",1398,"20220729142959","20220729142959","939370"
"8713783219317","2",1447,"20220729142959","20220729142959","939370"
"8713783219317","2",1524,"20220729143000","20220729143000","939370"
"8713783219317","2",1730,"20230210164715","20230210164715","939370"
"8713783220788","2",1011,"20220729142958","20220729142958","939370"
"8713783220788","2",1060,"20220729142958","20220729142958","939370"
"8713783220788","2",1109,"20220729142958","20220729142958","939370"
"8713783220788","2",1158,"20220729142958","20220729142958","939370"
"8713783220788","2",1207,"20220729142958","20220729142958","939370"
"8713783220788","2",1256,"20220729142959","20220729142959","939370"
"8713783220788","2",1305,"20220729142959","20220729142959","939370"
"8713783220788","2",1354,"20220729142959","20220729142959","939370"
"8713783220788","2",1403,"20220729142959","20220729142959","939370"
"8713783220788","2",1452,"20220729142959","20220729142959","939370"
"8713783220788","2",1529,"20220729143000","20220729143000","939370"
"8713783220788","2",1736,"20230210164715","20230210164715","939370"
"8713783228838","2",1009,"20220729142958","20220729142958","939370"
"8713783228838","2",1058,"20220729142958","20220729142958","939370"
"8713783228838","2",1107,"20220729142958","20220729142958","939370"
"8713783228838","2",1156,"20220729142958","20220729142958","939370"
"8713783228838","2",1205,"20220729142958","20220729142958","939370"
"8713783228838","2",1254,"20220729142959","20220729142959","939370"
"8713783228838","2",1303,"20220729142959","20220729142959","939370"
"8713783228838","2",1352,"20220729142959","20220729142959","939370"
"8713783228838","2",1401,"20220729142959","20220729142959","939370"
"8713783228838","2",1450,"20220729142959","20220729142959","939370"
