rf_frm,cust_lvl,frm_cls,grp_nam,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id
"COUNT_BACK",0,"com.redprairie.wmd.formlogic.CountBack","dcs_data","","20210202173914","NOUSER","NOUSER"
"CREATE_ASSET",0,"com.redprairie.wmd.formlogic.CreateAsset","dcs_data","","20210202173914","NOUSER","NOUSER"
"CSTMS_CSGN_ENTRY",0,"com.redprairie.wmd.formlogic.CstmsCsgnEntry","dcs_data","","20210202173914","NOUSER","NOUSER"
"CYCLE_COUNT",0,"com.redprairie.wmd.formlogic.CycleCount","dcs_data","","20210202173914","NOUSER","NOUSER"
"CYCLE_COUNT_COMPLETE",0,"com.redprairie.wmd.formlogic.CycleCountComplete","dcs_data","","20210202173914","NOUSER","NOUSER"
"DEKIT_PART",0,"com.redprairie.wmd.formlogic.DekitPart","dcs_data","","20210202173914","NOUSER","NOUSER"
"DELAYED_CATCH_QTY_CAPTURE",0,"com.redprairie.wmd.formlogic.DelayedCatchQtyCapture","dcs_data","","20210202173914","NOUSER","NOUSER"
"DEPOSIT_A",0,"com.redprairie.wmd.formlogic.DepositA","dcs_data","","20210202173914","NOUSER","NOUSER"
"DEPOSIT_A",10,"com.redprairie.les.formlogic.UsrDepositA","usr_data","20200422093059","20200422093059","940409","940409"
"DEPOSIT_ASSET",0,"com.redprairie.wmd.formlogic.DepositAsset","dcs_data","","20210202173914","NOUSER","NOUSER"
"DEPOSIT_MSTR_RCPT",0,"com.redprairie.wmd.formlogic.DepositMstrRcpt","dcs_data","","20210202173914","NOUSER","NOUSER"
"DEPOSIT_OPTIONS",0,"com.redprairie.wmd.formlogic.DepositOptions","dcs_data","","20210202173914","NOUSER","NOUSER"
"DEPOSIT_TRLR",0,"com.redprairie.wmd.formlogic.DepositTrlr","dcs_data","","20210202173914","NOUSER","NOUSER"
"DIR_AUDIT_TRLR",0,"com.redprairie.wmd.formlogic.DirAuditTrlr","dcs_data","","20210202173914","NOUSER","NOUSER"
"DIR_CASE_CONFIRM",0,"com.redprairie.wmd.formlogic.DirCaseConfirm","dcs_data","","20210202173914","NOUSER","NOUSER"
"DIR_COUNT",0,"com.redprairie.wmd.formlogic.DirCount","dcs_data","","20210202173914","NOUSER","NOUSER"
