pcklst_rule_grp_id,pcklst_rule_id,seqnum,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id
77,114,1,"20230220171320","20230220171320","939370","939370"
78,125,1,"20230220171356","20230220171356","939370","939370"
78,129,2,"20230220171356","20230220171356","939370","939370"
79,124,1,"20230220171423","20230220171423","939370","939370"
79,128,2,"20230220171423","20230220171423","939370","939370"
80,123,1,"20230220171501","20230220171501","939370","939370"
80,127,2,"20230220171501","20230220171501","939370","939370"
81,126,1,"20230220171528","20230220171528","939370","939370"
82,122,1,"20230220171550","20230220171550","939370","939370"
83,133,1,"20230220171654","20230220171654","939370","939370"
83,137,2,"20230220171654","20230220171654","939370","939370"
84,132,1,"20230220171740","20230220171740","939370","939370"
84,136,2,"20230220171740","20230220171740","939370","939370"
85,131,1,"20230220171810","20230220171810","939370","939370"
85,135,2,"20230220171810","20230220171810","939370","939370"
86,134,1,"20230220171858","20230220171858","939370","939370"
87,130,1,"20230220171918","20230220171918","939370","939370"
88,141,1,"20230220172031","20230220172031","939370","939370"
88,145,2,"20230220172031","20230220172031","939370","939370"
89,140,1,"20230220172103","20230220172103","939370","939370"
89,144,2,"20230220172103","20230220172103","939370","939370"
90,139,1,"20230220172128","20230220172128","939370","939370"
90,143,2,"20230220172128","20230220172128","939370","939370"
91,142,1,"20230220172152","20230220172152","939370","939370"
92,138,1,"20230220172226","20230220172226","939370","939370"
93,146,1,"20230720132222","20230720132222","938673","938673"
94,147,1,"20230720132222","20230720132222","938673","938673"
95,148,1,"20230720132222","20230720132222","938673","938673"
96,149,1,"20230720132222","20230720132222","938673","938673"
97,150,1,"20230720132222","20230720132222","938673","938673"
98,151,1,"20230720132222","20230720132222","938673","938673"
99,152,1,"20230720132222","20230720132222","938673","938673"
100,153,1,"20230720132222","20230720132222","938673","938673"
101,154,1,"20230720132222","20230720132222","938673","938673"
102,155,1,"20230720132222","20230720132222","938673","938673"
103,156,1,"20230720132222","20230720132222","938673","938673"
104,157,1,"20230720132222","20230720132222","938673","938673"
105,158,1,"20230720132222","20230720132222","938673","938673"
106,159,1,"20230720132222","20230720132222","938673","938673"
107,160,1,"20230720132222","20230720132222","938673","938673"
108,161,1,"20230720132222","20230720132222","938673","938673"
109,162,1,"20230720132222","20230720132222","938673","938673"
110,163,1,"20230720132222","20230720132222","938673","938673"
111,164,1,"20230720132228","20230720132228","938673","938673"
112,165,1,"20230720132228","20230720132228","938673","938673"
113,166,1,"20230720132228","20230720132228","938673","938673"
114,167,1,"20230720132228","20230720132228","938673","938673"
115,168,1,"20230720132228","20230720132228","938673","938673"
116,169,1,"20230720132228","20230720132228","938673","938673"
117,170,1,"20230720132228","20230720132228","938673","938673"
118,171,1,"20230720132228","20230720132228","938673","938673"
119,172,1,"20230720132228","20230720132228","938673","938673"
120,173,1,"20230720132228","20230720132228","938673","938673"
121,174,1,"20230720132228","20230720132228","938673","938673"
122,175,1,"20230720132228","20230720132228","938673","938673"
123,176,1,"20230720132228","20230720132228","938673","938673"
124,177,1,"20230720132228","20230720132228","938673","938673"
125,178,1,"20230720132228","20230720132228","938673","938673"
126,179,1,"20230720132228","20230720132228","938673","938673"
127,180,1,"20230720132228","20230720132228","938673","938673"
128,181,1,"20230720132228","20230720132228","938673","938673"
129,182,1,"20230720132231","20230720132231","938673","938673"
130,183,1,"20230720132231","20230720132231","938673","938673"
131,184,1,"20230720132231","20230720132231","938673","938673"
132,185,1,"20230720132231","20230720132231","938673","938673"
133,186,1,"20230720132231","20230720132231","938673","938673"
134,187,1,"20230720132231","20230720132231","938673","938673"
135,188,1,"20230720132231","20230720132231","938673","938673"
136,189,1,"20230720132231","20230720132231","938673","938673"
137,190,1,"20230720132231","20230720132231","938673","938673"
138,191,1,"20230720132232","20230720132232","938673","938673"
139,192,1,"20230720132232","20230720132232","938673","938673"
140,193,1,"20230720132232","20230720132232","938673","938673"
141,194,1,"20230720132232","20230720132232","938673","938673"
142,195,1,"20230720132232","20230720132232","938673","938673"
143,196,1,"20230720132232","20230720132232","938673","938673"
144,197,1,"20230720132232","20230720132232","938673","938673"
145,198,1,"20230720132232","20230720132232","938673","938673"
