pck_mthd_id,pck_mthd_nam,wh_id,list_flg,ctn_flg,skip_pick_valdt,inline_rpl_flg,rsv_pck_rel,spcfc_cs_flg,mix_cs_flg,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id
-50013,"StageTransfers","2",0,0,"DEF_DISABLE",0,99,0,0,"20180730083433","20180730083433","938673","938673"
-50012,"StockTransfers","2",0,0,"DEF_DISABLE",0,99,0,0,"20180730083433","20180730083433","938673","938673"
-50011,"StockTransfers","2",0,0,"DEF_DISABLE",0,99,0,0,"20180730083433","20180730083433","938673","938673"
-50010,"StockTransfers","2",0,0,"DEF_DISABLE",0,99,0,0,"20180730083433","20180730083433","938673","938673"
-50009,"CrossDocking-D","2",0,0,"DEF_DISABLE",0,99,0,0,"20180730083433","20180730083433","938673","938673"
-50008,"CrossDocking-S","2",0,0,"DEF_DISABLE",0,99,0,0,"20180730083433","20180730083433","938673","938673"
-50007,"CrossDocking-L","2",0,0,"DEF_DISABLE",0,99,0,0,"20180730083433","20180730083433","938673","938673"
10000,"PALLETPICK","2",0,0,"DEF_NO_PROMPT",0,0,0,0,"","20220725170147","","939370"
10001,"LISTPICK","2",1,0,"DEF_NO_PROMPT",0,0,0,0,"","20220725170131","","939370"
10002,"Replishment","2",0,0,"DEF_DISABLE",0,99,0,0,"20180730083433","20180730083433","938673","938673"
10003,"CartonPick","2",0,1,"DEF_DISABLE",0,99,0,0,"20180730083433","20180730083433","938673","938673"
10004,"CasePick","2",0,0,"DEF_DISABLE",0,99,0,0,"20180730083433","20180730083433","938673","938673"
10005,"ReplishmentSplitPick","2",0,0,"DEF_DISABLE",0,99,0,0,"20180730083433","20180730083433","938673","938673"
10006,"PALLETPICK_CC","2",0,0,"DEF_NO_PROMPT",0,0,0,0,"20230309163629","20230310122320","939370","939370"
10007,"PALLETPICK_WO","2",0,0,"DEF_NO_PROMPT",0,0,0,0,"20220419000000","20220419000000","938673","938673"
10008,"LISTPICK_WO","2",0,0,"DEF_NO_PROMPT",0,0,0,0,"20220419000000","20220419000000","938673","938673"
