src_mov_zone_id,dst_mov_zone_id,lodlvl,hopseq,hop_mov_zone_id,move_method,cri_id,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id,is_purged
10032,10049,"S",4,10069,"","PRIORD","20230612173433","20230612173433","939370","939370",0
10032,10050,"L",1,10067,"","NONPRIORD","20230612173433","20230612173433","939370","939370",0
10032,10050,"L",2,10068,"","PRIORD","20230612173433","20230612173433","939370","939370",0
10032,10050,"L",3,10066,"","NONPRIORD","20230612173433","20230612173433","939370","939370",0
10032,10050,"L",4,10069,"","PRIORD","20230612173433","20230612173433","939370","939370",0
10032,10050,"S",1,10067,"","NONPRIORD","20230612173433","20230612173433","939370","939370",0
10032,10050,"S",2,10068,"","PRIORD","20230612173433","20230612173433","939370","939370",0
10032,10050,"S",3,10066,"","NONPRIORD","20230612173433","20230612173433","939370","939370",0
10032,10050,"S",4,10069,"","PRIORD","20230612173433","20230612173433","939370","939370",0
10032,10051,"L",1,10067,"","NONPRIORD","20230612173433","20230612173433","939370","939370",0
10032,10051,"L",2,10068,"","PRIORD","20230612173433","20230612173433","939370","939370",0
10032,10051,"L",3,10066,"","NONPRIORD","20230612173433","20230612173433","939370","939370",0
10032,10051,"L",4,10069,"","PRIORD","20230612173433","20230612173433","939370","939370",0
10032,10051,"S",1,10067,"","NONPRIORD","20230612173433","20230612173433","939370","939370",0
10032,10051,"S",2,10068,"","PRIORD","20230612173433","20230612173433","939370","939370",0
10032,10051,"S",3,10066,"","NONPRIORD","20230612173433","20230612173433","939370","939370",0
10032,10051,"S",4,10069,"","PRIORD","20230612173433","20230612173433","939370","939370",0
10032,10052,"L",1,10067,"","NONPRIORD","20230612173433","20230612173433","939370","939370",0
10032,10052,"L",2,10068,"","PRIORD","20230612173433","20230612173433","939370","939370",0
10032,10052,"L",3,10066,"","NONPRIORD","20230612173433","20230612173433","939370","939370",0
10032,10052,"L",4,10069,"","PRIORD","20230612173433","20230612173433","939370","939370",0
10032,10052,"S",1,10067,"","NONPRIORD","20230612173433","20230612173433","939370","939370",0
10032,10052,"S",2,10068,"","PRIORD","20230612173433","20230612173433","939370","939370",0
10032,10052,"S",3,10066,"","NONPRIORD","20230612173433","20230612173433","939370","939370",0
10032,10052,"S",4,10069,"","PRIORD","20230612173433","20230612173433","939370","939370",0
10032,10053,"L",1,10067,"","NONPRIORD","20230612173433","20230612173433","939370","939370",0
10032,10053,"L",2,10068,"","PRIORD","20230612173433","20230612173433","939370","939370",0
10032,10053,"L",3,10069,"","PRIORD","20230627225151","20230627225151","939370","939370",0
10032,10053,"S",1,10067,"","NONPRIORD","20230612173433","20230612173433","939370","939370",0
10032,10053,"S",2,10068,"","PRIORD","20230612173433","20230612173433","939370","939370",0
10032,10053,"S",3,10069,"","PRIORD","20230627225151","20230627225151","939370","939370",0
10032,10055,"L",1,10067,"","NONPRIORD","20230612173433","20230612173433","939370","939370",0
10032,10055,"L",2,10068,"","PRIORD","20230612173433","20230612173433","939370","939370",0
10032,10055,"S",1,10067,"","NONPRIORD","20230612173433","20230612173433","939370","939370",0
10032,10055,"S",2,10068,"","PRIORD","20230612173433","20230612173433","939370","939370",0
10032,10056,"L",1,10067,"","NONPRIORD","20230612173433","20230612173433","939370","939370",0
10032,10056,"L",2,10068,"","PRIORD","20230612173433","20230612173433","939370","939370",0
10032,10056,"S",1,10067,"","NONPRIORD","20230612173433","20230612173433","939370","939370",0
10032,10056,"S",2,10068,"","PRIORD","20230612173433","20230612173433","939370","939370",0
10032,10057,"L",1,10067,"","NONPRIORD","20230612173433","20230612173433","939370","939370",0
10032,10057,"L",2,10068,"","PRIORD","20230612173433","20230612173433","939370","939370",0
10032,10057,"S",1,10067,"","NONPRIORD","20230612173433","20230612173433","939370","939370",0
10032,10057,"S",2,10068,"","PRIORD","20230612173433","20230612173433","939370","939370",0
10032,10058,"L",1,10067,"","NONPRIORD","20230612173433","20230612173433","939370","939370",0
