pcklst_rule_grp_id,pcklst_rule_id,seqnum,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id
3,7,1,"20230116141209","20230116141209","939370","939370"
3,9,2,"20230116141209","20230116141209","939370","939370"
4,4,1,"20230116141250","20230116141250","939370","939370"
4,5,2,"20230116141250","20230116141250","939370","939370"
5,6,1,"20230116141322","20230116141322","939370","939370"
5,8,2,"20230116141322","20230116141322","939370","939370"
6,10,1,"20230116141357","20230116141357","939370","939370"
7,3,1,"20230217162339","20230217162339","939370","939370"
8,1,1,"20230202135237","20230202135237","939370","939370"
9,15,1,"20230217171217","20230217171217","939370","939370"
9,19,2,"20230220152709","20230220152709","939370","939370"
10,14,1,"20230217171343","20230217171343","939370","939370"
10,18,2,"20230217171407","20230217171407","939370","939370"
11,13,1,"20230217171441","20230217171441","939370","939370"
11,17,2,"20230217171441","20230217171441","939370","939370"
12,16,1,"20230217171508","20230217171508","939370","939370"
13,11,1,"20230217171532","20230217171532","939370","939370"
14,22,1,"20230217171618","20230217171618","939370","939370"
14,26,2,"20230217171618","20230217171618","939370","939370"
15,21,1,"20230217201720","20230217201720","939370","939370"
15,25,2,"20230217201720","20230217201720","939370","939370"
16,20,1,"20230217201747","20230217201747","939370","939370"
16,24,2,"20230217201747","20230217201747","939370","939370"
17,23,1,"20230217201807","20230217201807","939370","939370"
18,12,1,"20230217201826","20230217201826","939370","939370"
19,27,1,"20230720143546","20230720143546","938673","938673"
20,28,1,"20230720143546","20230720143546","938673","938673"
21,29,1,"20230720143546","20230720143546","938673","938673"
22,30,1,"20230720143552","20230720143552","938673","938673"
23,31,1,"20230720143552","20230720143552","938673","938673"
24,32,1,"20230720143552","20230720143552","938673","938673"
25,33,1,"20230720143556","20230720143556","938673","938673"
26,34,1,"20230720143556","20230720143556","938673","938673"
27,35,1,"20230720143556","20230720143556","938673","938673"
28,36,1,"20230720143559","20230720143559","938673","938673"
29,37,1,"20230720143559","20230720143559","938673","938673"
30,38,1,"20230720143559","20230720143559","938673","938673"
