pcklst_grp_cri_id,pcklst_rule_id,seqnum,table_nam,field_name,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id
86,22,2,"ord","rt_adr_id","20230217165956","20230217165956","939370","939370"
87,22,3,"ord","rtcust","20230217165956","20230217165956","939370","939370"
88,22,4,"ord_line","uc_shipby","20230217165956","20230217165956","939370","939370"
89,23,1,"ord_line","uc_shipby","20230217170040","20230217170040","939370","939370"
90,23,2,"pckwrk_view","src_pck_zone_id","20230217170040","20230217170040","939370","939370"
91,23,3,"ord","rt_adr_id","20230217170040","20230217170040","939370","939370"
92,23,4,"ord","rtcust","20230217170040","20230217170040","939370","939370"
93,24,1,"ord_line","uc_shipby","20230217170118","20230217170118","939370","939370"
94,24,2,"pckwrk_view","src_pck_zone_id","20230217170118","20230217170118","939370","939370"
95,24,3,"ord","rt_adr_id","20230217170118","20230217170118","939370","939370"
96,24,4,"ord","rtcust","20230217170118","20230217170118","939370","939370"
97,25,1,"ord_line","uc_shipby","20230217170144","20230217170144","939370","939370"
98,25,2,"pckwrk_view","src_pck_zone_id","20230217170144","20230217170144","939370","939370"
99,25,3,"ord","rt_adr_id","20230217170144","20230217170144","939370","939370"
100,25,4,"ord","rtcust","20230217170144","20230217170144","939370","939370"
101,26,1,"ord_line","uc_shipby","20230217170221","20230217170221","939370","939370"
102,26,2,"pckwrk_view","src_pck_zone_id","20230217170221","20230217170221","939370","939370"
103,26,3,"ord","rt_adr_id","20230217170221","20230217170221","939370","939370"
104,26,4,"ord","rtcust","20230217170221","20230217170221","939370","939370"
105,27,1,"ord_line","uc_shipby","20230720143546","20230720143546","938673","938673"
106,27,2,"pckwrk_view","src_pck_zone_id","20230720143546","20230720143546","938673","938673"
107,27,3,"ord","rt_adr_id","20230720143546","20230720143546","938673","938673"
108,27,4,"ord","rtcust","20230720143546","20230720143546","938673","938673"
109,28,1,"ord_line","uc_shipby","20230720143546","20230720143546","938673","938673"
110,28,2,"pckwrk_view","src_pck_zone_id","20230720143546","20230720143546","938673","938673"
111,28,3,"ord","rt_adr_id","20230720143546","20230720143546","938673","938673"
112,28,4,"ord","rtcust","20230720143546","20230720143546","938673","938673"
113,29,1,"ord_line","uc_shipby","20230720143546","20230720143546","938673","938673"
114,29,2,"pckwrk_view","src_pck_zone_id","20230720143546","20230720143546","938673","938673"
115,29,3,"ord","rt_adr_id","20230720143546","20230720143546","938673","938673"
116,29,4,"ord","rtcust","20230720143546","20230720143546","938673","938673"
117,30,1,"ord_line","uc_shipby","20230720143552","20230720143552","938673","938673"
118,30,2,"pckwrk_view","src_pck_zone_id","20230720143552","20230720143552","938673","938673"
119,30,3,"ord","rt_adr_id","20230720143552","20230720143552","938673","938673"
120,30,4,"ord","rtcust","20230720143552","20230720143552","938673","938673"
121,31,1,"ord_line","uc_shipby","20230720143552","20230720143552","938673","938673"
122,31,2,"pckwrk_view","src_pck_zone_id","20230720143552","20230720143552","938673","938673"
123,31,3,"ord","rt_adr_id","20230720143552","20230720143552","938673","938673"
124,31,4,"ord","rtcust","20230720143552","20230720143552","938673","938673"
125,32,1,"ord_line","uc_shipby","20230720143552","20230720143552","938673","938673"
126,32,2,"pckwrk_view","src_pck_zone_id","20230720143552","20230720143552","938673","938673"
127,32,3,"ord","rt_adr_id","20230720143552","20230720143552","938673","938673"
128,32,4,"ord","rtcust","20230720143552","20230720143552","938673","938673"
129,33,1,"ord_line","uc_shipby","20230720143556","20230720143556","938673","938673"
130,33,2,"pckwrk_view","src_pck_zone_id","20230720143556","20230720143556","938673","938673"
131,33,3,"ord","rt_adr_id","20230720143556","20230720143556","938673","938673"
