var_nam,appl_id,frm_id,addon_id,cust_lvl,ena_flg,const_flg,def_typ,char_val,int_val,flt_val,dt_val,def_cmd,grp_nam
"wip_supflg","LES","AreMstFlagsWiz","LES",0,1,0,"","",0,0,"","","dcs_data"
"wipflg","LES","AreMstFlagsWiz","LES",0,1,0,"","",0,0,"","","dcs_data"
"wke_flg","LES","LES","LES",0,1,0,"","",0,0,"","","mcs_data"
"wko_client_id","LES","LES","3pl",0,1,0,"","",0,0,"","","dcs_data"
"wko_client_id","LES","LES","LES",0,1,0,"","----",0,0,"","","dcs_data"
"wkosts","LES","wkomnt","LES",0,0,0,"","D",0,0,"","","dcs_data"
"wrkare_flg","LES","whcopy","LES",0,1,1,"","",1,0,"","","mcs_data"
"wrkque","LES","shpadjput","LES",0,1,1,"","",0,0,"","","dcs_data"
"wrkque","LES","stktrnopr","LES",0,1,1,"","",0,0,"","","dcs_data"
"wrkzon_flg","LES","whcopy","LES",0,1,1,"","",1,0,"","","mcs_data"
"xdaflg","LES","AreMstFlagsWiz","LES",0,1,0,"","",0,0,"","","dcs_data"
"xdkflg","LES","bomdtlmnt","LES",0,1,0,"","",0,0,"","","dcs_data"
"xdkflg","LES","clswkodtl","LES",0,1,0,"","",0,0,"","","dcs_data"
"xdkflg","LES","ordlinmnt","LES",0,1,0,"","",0,0,"","","dcs_data"
"xdkflg","LES","ordmnt","LES",0,1,0,"","",0,0,"","","dcs_data"
"xdkflg","LES","wkodtlmnt","LES",0,1,0,"","",0,0,"","","dcs_data"
"xferdstidenabled","LES","LES","LES",0,1,0,"","",0,0,"","","dcs_data"
"xferlabelload","LES","LES","LES",0,1,0,"","",0,0,"","","dcs_data"
"yard_stat","LES","trlrmgtopr","LES",0,1,0,"","FULL",0,0,"","","dcs_data"
"yestoall_flg","LES","LES","LES",0,1,0,"","",0,0,"","","dcs_data"
"yrdflg","LES","AreMstFlagsWiz","LES",0,1,0,"","",0,0,"","","dcs_data"
