serv_id,wh_id,exitpnt_typ,exitpnt,moddte,mod_usr_id
"CMPL-LBL-DOCS","1","SERVICE-BACKGROUND","INVMOV","20180919085957","939370"
"CMPL-LBL-DOCS","1","SERVICE-BACKGROUND","USR-PST-RCV-LPN","20180920101907","939370"
"USR-AUTO-LOAD-SHP","1","SERVICE-BACKGROUND","SHIPSTG","20181003160022","938673"
"USR-COPY-HOLDNUM","1","SERVICE-BACKGROUND","USR-INVHLD-CHG","20190211102547","940028"
"USR-CRT-STOPS-LOADS","1","SERVICE-BACKGROUND","SHIPSTG","20200624170059","939161"
"USR-PRINT-PACKSLIP","1","SERVICE-OUTBOUND","PRE-DEPOSIT","20200715110446","943378"
"USR-PRINT-WO","1","SERVICE-NONINVENTORY","WKOSTART","20230405195135","938673"
"USR-SEND-ASSET-IF","1","SERVICE-BACKGROUND","USR-ASSET-CHG","20190211123336","940028"
"USR-SEND-HOLD-IF","1","SERVICE-BACKGROUND","USR-INVHLD-CHG","20190314164100","939161"
"USR-SEND-LODATT-IF","1","SERVICE-BACKGROUND","USR-LODATT-CHG","20190211123600","940028"
"USR-SEND-RELABEL-IF","1","SERVICE-BACKGROUND","USR-RELABEL","20190211123200","940028"
"USR-SEND-STATUS","1","SERVICE-BACKGROUND","INVMOV","20200723144115","939370"
"USR-VAS_INV_ONLY","1","SERVICE-OUTBOUND","POST-PICK","20230210000000","938673"
"USR-VAS_LPN_PACK","1","SERVICE-OUTBOUND","PRE-DEPOSIT","20230210000000","938673"
"USR-VAS_LPN_PICK","1","SERVICE-OUTBOUND","PRE-DEPOSIT","20230210000000","938673"
"USR-VAS_PACK","1","SERVICE-OUTBOUND","PKOCLOSE","20230210000000","938673"
"USR-VAS_PACK_CNFRM","1","SERVICE-OUTBOUND","PKOCLOSE","20230210000000","938673"
"USR-VAS_PICK","1","SERVICE-OUTBOUND","POST-PICK","20230210000000","938673"
"USR-VAS_PICK_CNFRM","1","SERVICE-OUTBOUND","POST-PICK","20230210000000","938673"
"USR-WO_PROD_LPN_PACK","1","SERVICE-OUTBOUND","PRE-DEPOSIT","20230315105443","938673"
"USR-WO_PROD_VAS_CFRM","1","SERVICE-NONINVENTORY","WKOPROCESS","20230315104734","938673"
"USR-WO_PROD_VAS_ONLY","1","SERVICE-BACKGROUND","WKOPROCESS","20230713161846","938673"
"USR-WO_PROD_VAS_PACK","1","SERVICE-NONINVENTORY","WKOPROCESS","20230315104912","938673"
"USR-WO_VAS_INV_ONLY","1","SERVICE-USER","DEPTOPRCARE","20230713192901","938673"
