src_mov_zone_id,dst_mov_zone_id,lodlvl,hopseq,hop_mov_zone_id,move_method,cri_id,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id
10124,10112,"S",1,10120,"","","20200417162233","20200417162233","938673","938673"
10124,10113,"L",1,10120,"","","20200417162312","20200417162312","938673","938673"
10124,10113,"S",1,10120,"","","20200417162312","20200417162312","938673","938673"
10124,10114,"L",1,10120,"","","20200417162412","20200417162412","938673","938673"
10124,10114,"S",1,10120,"","","20200417162412","20200417162412","938673","938673"
10124,10115,"L",1,10120,"","","20200417162452","20200417162452","938673","938673"
10124,10115,"S",1,10120,"","","20200417162452","20200417162452","938673","938673"
10124,10116,"L",1,10120,"","","20200417162655","20200417162655","938673","938673"
10124,10116,"S",1,10120,"","","20200417162655","20200417162655","938673","938673"
10124,10117,"L",1,10120,"","","20200417162846","20200417162846","938673","938673"
10124,10117,"S",1,10120,"","","20200417162846","20200417162846","938673","938673"
10124,10118,"L",1,10120,"","","20200417162933","20200417162933","938673","938673"
10124,10118,"S",1,10120,"","","20200417162933","20200417162933","938673","938673"
10124,10119,"L",1,10120,"","","20200430095825","20200430095825","938673","938673"
10124,10119,"S",1,10120,"","","20200430095903","20200430095903","938673","938673"
