gln,wh_id,uc_delivery_id,ins_dt,last_upd_dt,last_upd_user_id,is_purged
"8713782636108","1",1008,"20230612162825","20230612162825","939370",0
"8713782636108","1",1010,"20230612162826","20230612162826","939370",0
"8713782636108","1",1053,"20230612162826","20230612162826","939370",0
"8713782636108","1",1060,"20230612162826","20230612162826","939370",0
"8713782636108","1",1186,"20230612162827","20230612162827","939370",0
"8713782636108","1",1193,"20230612162827","20230612162827","939370",0
"8713782636108","1",1297,"20231023203146","20231023203146","939370",0
"8713782636108","1",1302,"20231023203228","20231023203228","939370",0
"8713783214497","1",1001,"20230612162825","20230612162825","939370",0
"8713783214497","1",1010,"20230612162825","20230612162825","939370",0
"8713783214497","1",1089,"20230612162826","20230612162826","939370",0
"8713783214497","1",1131,"20230612162827","20230612162827","939370",0
"8713783214497","1",1222,"20230612162827","20230612162827","939370",0
"8713783214497","1",1264,"20230612162828","20230612162828","939370",0
"8713783214497","1",1295,"20231023203609","20231023203609","939370",0
"8713783214497","1",1303,"20231023203839","20231023203839","939370",0
"8713783215630","1",1001,"20230612162825","20230612162825","939370",0
"8713783215630","1",1010,"20230612162825","20230612162825","939370",0
"8713783215630","1",1131,"20230612162827","20230612162827","939370",0
"8713783215630","1",1138,"20230612162827","20230612162827","939370",0
"8713783215630","1",1264,"20230612162828","20230612162828","939370",0
"8713783215630","1",1271,"20230612162828","20230612162828","939370",0
"8713783215630","1",1295,"20231023203943","20231023203943","939370",0
"8713783215630","1",1303,"20231023203901","20231023203901","939370",0
"8713783216361","1",1001,"20230612162825","20230612162825","939370",0
"8713783216361","1",1010,"20230612162825","20230612162825","939370",0
"8713783216361","1",1131,"20230612162827","20230612162827","939370",0
"8713783216361","1",1138,"20230612162827","20230612162827","939370",0
"8713783216361","1",1264,"20230612162828","20230612162828","939370",0
"8713783216361","1",1271,"20230612162828","20230612162828","939370",0
"8713783216361","1",1295,"20231023203943","20231023203943","939370",0
"8713783216361","1",1303,"20231023203852","20231023203852","939370",0
"8713783217719","1",1001,"20230612162825","20230612162825","939370",0
"8713783217719","1",1010,"20230612162825","20230612162825","939370",0
"8713783217719","1",1131,"20230612162827","20230612162827","939370",0
"8713783217719","1",1138,"20230612162827","20230612162827","939370",0
"8713783217719","1",1264,"20230612162828","20230612162828","939370",0
"8713783217719","1",1271,"20230612162828","20230612162828","939370",0
"8713783217719","1",1295,"20231023203943","20231023203943","939370",0
"8713783217719","1",1303,"20231023203859","20231023203859","939370",0
"8713783218716","1",1001,"20230612162825","20230612162825","939370",0
"8713783218716","1",1010,"20230612162825","20230612162825","939370",0
"8713783218716","1",1081,"20230612162826","20230612162826","939370",0
"8713783218716","1",1131,"20230612162827","20230612162827","939370",0
"8713783218716","1",1214,"20230612162827","20230612162827","939370",0
"8713783218716","1",1264,"20230612162828","20230612162828","939370",0
"8713783218716","1",1295,"20231023203546","20231023203546","939370",0
"8713783218716","1",1303,"20231023203859","20231023203859","939370",0
"8713783218792","1",1001,"20230612162825","20230612162825","939370",0
"8713783218792","1",1010,"20230612162825","20230612162825","939370",0
"8713783218792","1",1042,"20230612162826","20230612162826","939370",0
"8713783218792","1",1131,"20230612162827","20230612162827","939370",0
"8713783218792","1",1175,"20230612162827","20230612162827","939370",0
"8713783218792","1",1264,"20230612162828","20230612162828","939370",0
"8713783218792","1",1295,"20231023203126","20231023203126","939370",0
"8713783218792","1",1303,"20231023203936","20231023203936","939370",0
"8713783219140","1",1006,"20230612162825","20230612162825","939370",0
"8713783219140","1",1010,"20230612162826","20230612162826","939370",0
"8713783219140","1",1038,"20230612162826","20230612162826","939370",0
"8713783219140","1",1060,"20230612162826","20230612162826","939370",0
"8713783219140","1",1172,"20230612162827","20230612162827","939370",0
"8713783219140","1",1193,"20230612162827","20230612162827","939370",0
"8713783219140","1",1297,"20231023203050","20231023203050","939370",0
"8713783219140","1",1302,"20231023203206","20231023203206","939370",0
"8713783219287","1",1001,"20230612162825","20230612162825","939370",0
"8713783219287","1",1010,"20230612162825","20230612162825","939370",0
"8713783219287","1",1089,"20230612162826","20230612162826","939370",0
"8713783219287","1",1131,"20230612162827","20230612162827","939370",0
"8713783219287","1",1222,"20230612162827","20230612162827","939370",0
"8713783219287","1",1264,"20230612162828","20230612162828","939370",0
"8713783219287","1",1295,"20231023203609","20231023203609","939370",0
"8713783219287","1",1303,"20231023203843","20231023203843","939370",0
"8713783229538","1",1006,"20230612162825","20230612162825","939370",0
"8713783229538","1",1010,"20230612162826","20230612162826","939370",0
"8713783229538","1",1058,"20230612162826","20230612162826","939370",0
"8713783229538","1",1060,"20230612162826","20230612162826","939370",0
"8713783229538","1",1191,"20230612162827","20230612162827","939370",0
"8713783229538","1",1193,"20230612162827","20230612162827","939370",0
"8713783229538","1",1297,"20231023203206","20231023203206","939370",0
"8713783229538","1",1302,"20231023203206","20231023203206","939370",0
"8713783229705","1",1005,"20230612162825","20230612162825","939370",0
"8713783229705","1",1010,"20230612162826","20230612162826","939370",0
"8713783229705","1",1118,"20230612162827","20230612162827","939370",0
"8713783229705","1",1126,"20230612162827","20230612162827","939370",0
"8713783229705","1",1251,"20230612162827","20230612162827","939370",0
"8713783229705","1",1259,"20230612162827","20230612162827","939370",0
"8713783229705","1",1300,"20231023203654","20231023203654","939370",0
"8713783229705","1",1302,"20231023203635","20231023203635","939370",0
"8713783229712","1",1005,"20230612162825","20230612162825","939370",0
"8713783229712","1",1010,"20230612162826","20230612162826","939370",0
"8713783229712","1",1118,"20230612162827","20230612162827","939370",0
"8713783229712","1",1126,"20230612162827","20230612162827","939370",0
"8713783229712","1",1251,"20230612162827","20230612162827","939370",0
"8713783229712","1",1259,"20230612162827","20230612162827","939370",0
"8713783229712","1",1300,"20231023203654","20231023203654","939370",0
"8713783229712","1",1302,"20231023203635","20231023203635","939370",0
"8713783230220","1",1007,"20230612162825","20230612162825","939370",0
"8713783230220","1",1010,"20230612162826","20230612162826","939370",0
"8713783230220","1",1060,"20230612162826","20230612162826","939370",0
"8713783230220","1",1067,"20230612162826","20230612162826","939370",0
"8713783230220","1",1193,"20230612162827","20230612162827","939370",0
"8713783230220","1",1200,"20230612162827","20230612162827","939370",0
"8713783230220","1",1297,"20231023203258","20231023203258","939370",0
"8713783230220","1",1302,"20231023203218","20231023203218","939370",0
"8713783230244","1",1005,"20230612162825","20230612162825","939370",0
"8713783230244","1",1010,"20230612162826","20230612162826","939370",0
"8713783230244","1",1118,"20230612162827","20230612162827","939370",0
"8713783230244","1",1126,"20230612162827","20230612162827","939370",0
"8713783230244","1",1251,"20230612162827","20230612162827","939370",0
"8713783230244","1",1259,"20230612162827","20230612162827","939370",0
"8713783230244","1",1300,"20231023203654","20231023203654","939370",0
"8713783230244","1",1302,"20231023203635","20231023203635","939370",0
"8713783230350","1",1008,"20230612162825","20230612162825","939370",0
