gln,wh_id,stoloc,ins_dt,ins_user_id,last_upd_dt,last_upd_user_id
"8713783205822","7","RFH VESTIGING EELDE","20210503165742","NOUSER","20210503165742","NOUSER"
"8713783461143","7","RFH KLOK EELDE","20210503165742","NOUSER","20210503165742","NOUSER"
"8713783803998","7","Groen Groep","20210503165741","NOUSER","20210503165741","NOUSER"
"8713783804001","7","Hal P","20210503165741","NOUSER","20210503165741","NOUSER"
"8713783804018","7","N dock 19","20210503165742","NOUSER","20210503165742","NOUSER"
"8713783804025","7","N dock 18","20210503165742","NOUSER","20210503165742","NOUSER"
"8713783804032","7","N dock 17","20210503165742","NOUSER","20210503165742","NOUSER"
"8713783804049","7","N dock 16","20210503165742","NOUSER","20210503165742","NOUSER"
"8713783804056","7","N dock 15","20210503165742","NOUSER","20210503165742","NOUSER"
"8713783804063","7","N dock 14","20210503165742","NOUSER","20210503165742","NOUSER"
"8713783804070","7","N box 214","20210503165742","NOUSER","20210503165742","NOUSER"
"8713783804087","7","N box 202","20210503165741","NOUSER","20210503165741","NOUSER"
"8713783804094","7","M box 123","20210503165741","NOUSER","20210503165741","NOUSER"
"8713783804100","7","M box 121","20210503165741","NOUSER","20210503165741","NOUSER"
"8713783804117","7","M box 119","20210503165741","NOUSER","20210503165741","NOUSER"
"8713783804124","7","M box 113","20210503165741","NOUSER","20210503165741","NOUSER"
"8713783804131","7","M box 111","20210503165741","NOUSER","20210503165741","NOUSER"
"8713783804148","7","M box 109","20210503165741","NOUSER","20210503165741","NOUSER"
"8713783804155","7","M box 105","20210503165741","NOUSER","20210503165741","NOUSER"
"8713783804162","7","M box 103","20210503165741","NOUSER","20210503165741","NOUSER"
"8713783804179","7","M box 101","20210503165741","NOUSER","20210503165741","NOUSER"
"8713783804186","7","M box 116","20210503165741","NOUSER","20210503165741","NOUSER"
"8713783804193","7","M box 110","20210503165741","NOUSER","20210503165741","NOUSER"
"8713783804209","7","M box 104","20210503165741","NOUSER","20210503165741","NOUSER"
"8713783804216","7","L dock 21","20210503165741","NOUSER","20210503165741","NOUSER"
"8713783804223","7","L dock 20","20210503165741","NOUSER","20210503165741","NOUSER"
"8713783804230","7","C & C box L 411","20210503165741","NOUSER","20210503165741","NOUSER"
"8713783804247","7","C & C box L 409","20210503165741","NOUSER","20210503165741","NOUSER"
"8713783804254","7","C & C box L 407","20210503165741","NOUSER","20210503165741","NOUSER"
"8713783804261","7","C & C box L 405","20210503165741","NOUSER","20210503165741","NOUSER"
"8713783804278","7","C & C box L 404","20210503165741","NOUSER","20210503165741","NOUSER"
"8713783804285","7","C & C box L 403","20210503165741","NOUSER","20210503165741","NOUSER"
"8713783804292","7","C & C box L 401","20210503165741","NOUSER","20210503165741","NOUSER"
"8713783804308","7","Cash & Carry","20210503165741","NOUSER","20210503165741","NOUSER"
"8713783804315","7","Hal K3","20210503165741","NOUSER","20210503165741","NOUSER"
"8713783804322","7","Hal K2","20210503165741","NOUSER","20210503165741","NOUSER"
"8713783804339","7","Hal K1","20210503165741","NOUSER","20210503165741","NOUSER"
"8713783804346","7","Fustafdeling","20210503165741","NOUSER","20210503165741","NOUSER"
"8713783804353","7","H dock 13","20210503165741","NOUSER","20210503165741","NOUSER"
"8713783804360","7","H dock 12","20210503165741","NOUSER","20210503165741","NOUSER"
"8713783804377","7","H dock 11","20210503165741","NOUSER","20210503165741","NOUSER"
"8713783804384","7","H dock 10","20210503165741","NOUSER","20210503165741","NOUSER"
"8713783804391","7","H dock 9","20210503165741","NOUSER","20210503165741","NOUSER"
"8713783804407","7","Hal H","20210503165741","NOUSER","20210503165741","NOUSER"
"8713783804414","7","G box 304","20210503165741","NOUSER","20210503165741","NOUSER"
"8713783804421","7","G box 303","20210503165741","NOUSER","20210503165741","NOUSER"
"8713783804438","7","G box 302","20210503165741","NOUSER","20210503165741","NOUSER"
"8713783804445","7","G box 301","20210503165741","NOUSER","20210503165741","NOUSER"
"8713783804452","7","G dock 8","20210503165741","NOUSER","20210503165741","NOUSER"
"8713783804469","7","G dock 7","20210503165741","NOUSER","20210503165741","NOUSER"
"8713783804476","7","G dock 6","20210503165741","NOUSER","20210503165741","NOUSER"
"8713783804483","7","G dock 5","20210503165741","NOUSER","20210503165741","NOUSER"
"8713783804490","7","G dock 4a","20210503165741","NOUSER","20210503165741","NOUSER"
"8713783804506","7","G dock 4","20210503165741","NOUSER","20210503165741","NOUSER"
"8713783804513","7","G dock 3","20210503165741","NOUSER","20210503165741","NOUSER"
"8713783804520","7","G dock 2","20210503165741","NOUSER","20210503165741","NOUSER"
"8713783804537","7","G dock 1","20210503165741","NOUSER","20210503165741","NOUSER"
"8713783804544","7","Hal G","20210503165741","NOUSER","20210503165741","NOUSER"
"8713783804551","7","Hal F","20210503165741","NOUSER","20210503165741","NOUSER"
"8713783804568","7","Hal E","20210503165741","NOUSER","20210503165741","NOUSER"
"8713783804575","7","Hal D","20210503165741","NOUSER","20210503165741","NOUSER"
"8713783804582","7","Koelcel 1","20210503165741","NOUSER","20210503165741","NOUSER"
"8713783804599","7","Import","20210503165741","NOUSER","20210503165741","NOUSER"
"8714231208693","7","RFH BOX EELDE","20210503165742","NOUSER","20210503165742","NOUSER"
"8718288002266","7","H Afleveren 1","20210503165741","NOUSER","20210503165741","NOUSER"
"8718288002273","7","H Doordraai","20210503165741","NOUSER","20210503165741","NOUSER"
"8718288002280","7","Hal E Verdeelgebied","20210503165741","NOUSER","20210503165741","NOUSER"
"8718288002389","7","H Afleveren 2","20210503165741","NOUSER","20210503165741","NOUSER"
"8718288002396","7","H Afleveren 3","20210503165741","NOUSER","20210503165741","NOUSER"
"8718288002402","7","H Afleveren 4","20210503165741","NOUSER","20210503165741","NOUSER"
"8718288002419","7","G Afleveren 1","20210503165741","NOUSER","20210503165741","NOUSER"
"8718288002426","7","D Afleveren 1","20210503165741","NOUSER","20210503165741","NOUSER"
"8718288002433","7","K2 Afleveren 1","20210503165741","NOUSER","20210503165741","NOUSER"
"8718288002440","7","K3 Afleveren 1","20210503165741","NOUSER","20210503165741","NOUSER"
"8718288003874","7","G box 305","20210503165741","NOUSER","20210503165741","NOUSER"
"8718288003881","7","G box 306","20210503165741","NOUSER","20210503165741","NOUSER"
"8718288003898","7","M box 102","20210503165741","NOUSER","20210503165741","NOUSER"
"8718288003904","7","M box 107","20210503165741","NOUSER","20210503165741","NOUSER"
"8718288020604","7","M box 117","20210503165741","NOUSER","20210503165741","NOUSER"
"8718288086501","7","H Afleveren 5","20210503165741","NOUSER","20210503165741","NOUSER"
