actcod,actcod_typ,voc_cod,lms_flg,worktype_id,indflg,asgn_typ,disc_proc_id,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id,rollup_uom
"INVASTRCV","WORK",0,0,"",0,"","","","","","",""
"INVASTSHP","WORK",0,0,"",0,"","","","","","",""
"INVATTCHG","GEN",0,0,"",0,"","","","","","",""
"INVCNSWKO","INV",0,0,"",0,"","","","","","",""
"INVDEL","INV",0,0,"",0,"","","","","","",""
"INV-DTL-FOR-CRTN","WORK",0,1,"INV-DTL-FOR-CTN",0,"O","INV-DTL-FOR-CRTN","","","","",""
"INVOWNCHG","WORK",0,1,"INVOWNCHG",0,"O","","","","","",""
"INVOWNTRNS","WORK",0,1,"INVOWNTRNS",0,"O","","","","","",""
"INVRCV","INV",0,0,"",0,"","","","","","",""
"INVRCVWKO","INV",0,0,"",0,"","","","","","",""
"INVSHIP","INV",0,0,"",0,"","","","","","",""
"INVSTSCHG","GEN",0,0,"",0,"","","","","","",""
"I-PKO-WAIT","WORK",0,1,"I-PKO-WAIT",1,"O","","","","","",""
"I-SAFETY","WORK",0,1,"ISAFETY",1,"P","","","","","",""
"I-TRAIN","WORK",0,1,"ITRAIN",1,"P","","","","","",""
"KITPCK","WORK",0,1,"KITPCK",0,"O","","","","","",""
"LOADPREP","WORK",0,1,"LOADPREP",0,"O","LOADPREP","","","","",""
"LOCOVRRID","WORK",0,1,"LOCOVRRID",0,"O","LOCOVRRID","","","","",""
"LOCSTSCHG","GEN",0,0,"",0,"","","","","","",""
"LOTDATECHANGED","INV",0,0,"",0,"","","","","","",""
"LPNCNT","WORK",0,1,"LPNCNT",0,"P","","","","","",""
"LSTPCK","WORK",0,1,"LSTPCK",0,"O","","","","","",""
"MANAUD","WORK",0,1,"MANAUD",0,"P","","","","","",""
"MANFST","WORK",0,1,"MANFST",0,"O","","","","","",""
"MNFST-CTN","WORK",0,1,"MNFST-CTN",0,"O","MNFST-CTN","","","","",""
"MSTR_RCP_CL","GEN",0,0,"",0,"","","","","","",""
"MSTR_RCP_MOVE","WORK",0,1,"MSTR_RCP_MOVE",0,"P","","","","","",""
"MSTR_RCP_ROPN","GEN",0,0,"",0,"","","","","","",""
"MSTR_RCP_UNLD","WORK",0,1,"MSTR_RCP_UNLD",0,"P","","","","","",""
"NON-RCV","WORK",0,1,"NON-RCV",0,"O","NON-RCV","","","","",""
"OBPRT","GEN",0,0,"",0,"","","","","","",""
"OCAN","ORD",0,0,"",0,"","","","","","",""
"OCHG","ORD",0,0,"",0,"","","","","","",""
"OCHGEQP","ORD",0,0,"",0,"","","","","","",""
"ODEL","ORD",0,0,"",0,"","","","","","",""
"OLCAN","ORD",0,0,"",0,"","","","","","",""
"OLCHG","ORD",0,0,"",0,"","","","","","",""
"OLCHGEQP","ORD",0,0,"",0,"","","","","","",""
"OLDEL","ORD",0,0,"",0,"","","","","","",""
"OLNEW","ORD",0,0,"",0,"","","","","","",""
"OLNEWEQP","ORD",0,0,"",0,"","","","","","",""
"OLREMEQP","ORD",0,0,"",0,"","","","","","",""
"ONEW","ORD",0,0,"",0,"","","","","","",""
"ONEWEQP","ORD",0,0,"",0,"","","","","","",""
"ONHANDQTYCHG","INV",0,0,"",0,"","","","","","",""
"ORDMASS","ORD",0,0,"",0,"","","","","","",""
"ORDMIXCAS","GEN",0,1,"ORDMIXCAS",0,"O","","","","","",""
"ORDMIXPAL","GEN",0,1,"ORDMIXPAL",0,"O","","","","","",""
"OREMEQP","ORD",0,0,"",0,"","","","","","",""
"OTHRPL","WORK",0,1,"OTHRPL",0,"O","","","","","",""
"OTRPCK","WORK",0,1,"OTRPCK",0,"O","","","","","",""
"OVRPCK","WORK",0,1,"OVRPCK",0,"O","","","","","",""
"OVRREP","WORK",0,1,"OVRREP",0,"O","","","","","",""
"PACK-LST-CTN","WORK",0,1,"PACK-LST-CTN",0,"O","PACK-LST-CTN","","","","",""
"PALBLD","WORK",0,1,"PALBLD",0,"O","","","","","",""
"PALCOM","WORK",0,1,"PALCOM",0,"O","","","","","",""
"PALPCK","WORK",0,1,"PALPCK",0,"O","","","","","",""
"PALPCKMOV","WORK",0,1,"PALPCKMOV",0,"O","","","","","",""
"PALRPL","WORK",0,1,"PALRPL",0,"O","","","","","",""
"PCEPCK","WORK",0,1,"PCEPCK",0,"O","","","","","",""
"PCEPCKMOV","WORK",0,1,"PCEPCKMOV",0,"O","","","","","",""
"PCKSTEAL","WORK",0,1,"CRSDCK",0,"O","","","","","",""
"PCLVAL","SHP",0,0,"",1,"","","","","","",""
"PERFORM-AUD-FOR-CLT","WORK",0,1,"PER-AUD-FOR-CL",0,"O","PERFORM-AUD-FOR-CLT","","","","",""
