var_nam,appl_id,frm_id,addon_id,cust_lvl,lkp_id,ena_flg,cod_col,desc_col,add_null_flg,dis_sgl_flg,edt_flg,srt_col,grd_lkp_cols,grp_nam
"ems_evt_typ","LES","LES","LES",0,"l_ems_evt_typ",1,"codval","lngdsc",1,0,0,"","","ems_data"
"ems_prime_events","RPWEB","ems|ems_config","LES",0,"l_ems_prime_events",1,"codval","lngdsc",0,0,0,"","","ems_data"
"encoding","LES","ctliifdproc","SEAMLES",0,"l_encoding_server",1,"codval","short_dsc",0,0,0,"","","int_data"
"encoding","LES","dlgCreateFile","SEAMLES",0,"l_encoding_server",1,"codval","short_dsc",0,0,0,"","","int_data"
"encoding","LES","dlgEncoding","SEAMLES",0,"l_encoding_server",1,"codval","short_dsc",0,0,0,"","","int_data"
"end_daycod","LES","LES","LES",0,"l_daycod",1,"codval","lngdsc",1,0,0,"","","dcs_data"
"end_loc_cnt","LES","LES","LES",0,"l_end_loc_cnt",1,"codval","lngdsc",1,0,0,"","","dcs_data"
"enddaycod","LES","LES","LES",0,"l_daycod",1,"codval","lngdsc",1,0,0,"","","dcs_data"
"envelope_ifd_id","LES","ifdasxml","SEAMLES",0,"l_ifd_id_all",1,"ifd_id","ifd_id",1,0,0,"","","int_data"
"envelope_ifd_id","LES","w3casxml","SEAMLES",0,"l_ifd_id_all",1,"ifd_id","ifd_id",1,0,0,"","","int_data"
"envelope_ifd_ver","LES","ifdasxml","SEAMLES",0,"l_ifd_ver_all",1,"ifd_ver","ifd_ver",1,0,0,"","","int_data"
"envelope_ifd_ver","LES","w3casxml","SEAMLES",0,"l_ifd_ver_all",1,"ifd_ver","ifd_ver",1,0,0,"","","int_data"
"eo","LES","LES","SEAMLES",0,"l_evtout",1,"eo_id","eo_id",0,0,0,"","","int_data"
"eo_fld_id","LES","iifdsegmnt","SEAMLES",0,"l_eo_fld_ifd_fld",0,"eo_fld_id","eo_fld_id",0,0,0,"","","int_data"
"eo_fld_id","LES","rifdsegmnt","SEAMLES",0,"l_eo_fld_ifd_fld",1,"eo_fld_id","eo_fld_id",0,0,0,"","","int_data"
"eo_id","LES","dlgAddFldFromSeg","SEAMLES",0,"l_eo_id_dlg",1,"eo_id","eo_id",0,0,0,"","","int_data"
"eo_id","LES","evtseqinfo","SEAMLES",0,"l_evtout",0,"eo_id","eo_id",0,0,0,"","","int_data"
"eo_id","LES","iifdsegmnt","SEAMLES",0,"l_evtout",0,"eo_id","eo_id",0,0,0,"","","int_data"
"eo_id","LES","LES","SEAMLES",0,"l_evtout",1,"eo_id","eo_id",0,0,0,"","","int_data"
"eo_id","LES","rifdsegmnt","SEAMLES",0,"l_evtout",0,"eo_id","eo_id",0,0,0,"","","int_data"
"eo_seg_id","LES","dlgAddFldFromSeg","SEAMLES",0,"l_eo_seg_id_dlg",1,"eo_seg_id","eo_seg_id",0,0,0,"","","int_data"
"eo_seg_id","LES","iifdsegmnt","SEAMLES",0,"l_eo_seg_ifd_fld",0,"eo_seg_id","eo_seg_id",0,0,0,"","","int_data"
"eo_seg_id","LES","rifdsegmnt","SEAMLES",0,"l_eo_seg_ifd_fld",1,"eo_seg_id","eo_seg_id",0,0,0,"","","int_data"
"eo_ver","LES","dlgAddFldFromSeg","SEAMLES",0,"l_eo_ver_dlg",1,"eo_ver","eo_ver",0,0,0,"","","int_data"
"eo_ver","LES","evtseqinfo","SEAMLES",0,"l_evtver",0,"eo_ver","eo_ver",0,0,0,"","","int_data"
"eo_ver","LES","iifdsegmnt","SEAMLES",0,"l_evtver",0,"eo_ver","eo_ver",0,0,0,"","","int_data"
"eo_ver","LES","LES","SEAMLES",0,"l_evtver",1,"eo_ver","eo_ver",0,0,0,"","","int_data"
"eo_ver","LES","rifdsegmnt","SEAMLES",0,"l_evtver",0,"eo_ver","eo_ver",0,0,0,"","","int_data"
"eod_activity_cod","LES","LES","LES",0,"l_eod_activity",1,"codval","lngdsc",0,0,0,"","","dcs_data"
"equip_edi_cod","LES","LES","LES",0,"l_equip_edi_cod",1,"codval","lngdsc",1,0,0,"","","sal_data"
"equip_grp_nam","LES","prtmstmnt","LES",0,"l_equip_grp_nam",1,"colval","lngdsc",1,0,0,"","","sal_data"
"equip_grp_nam","LES","prtmstovrdmnt","LES",0,"l_equip_grp_nam",1,"colval","lngdsc",1,0,0,"","","sal_data"
"equip_grp_nam","ordmnt","LES","LES",0,"l_equip_grp_nam",1,"colval","lngdsc",1,0,0,"","","dcs_data"
"equip_nam","LES","prtmstmnt","LES",0,"l_equip_nam",1,"colval","lngdsc",1,0,0,"","","sal_data"
"equip_nam","LES","prtmstovrdmnt","LES",0,"l_equip_nam",1,"colval","lngdsc",1,0,0,"","","sal_data"
"equip_nam","ordmnt","LES","LES",0,"l_equip_nam",1,"colval","lngdsc",1,0,0,"","","dcs_data"
