pcklst_seq_cri_id,pcklst_rule_id,table_nam,field_name,sort_order,seqnum,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id
103,23,"ord","adddte",0,4,"20230627000000","20230627000000","938673","938673"
104,23,"ord_line","late_shpdte",0,1,"20230627000000","20230627000000","938673","938673"
105,27,"locmst","trvseq",0,1,"20230720143546","20230720143546","938673","938673"
106,27,"locmst","stoloc",0,2,"20230720143546","20230720143546","938673","938673"
107,28,"locmst","trvseq",0,1,"20230720143546","20230720143546","938673","938673"
108,28,"locmst","stoloc",0,2,"20230720143546","20230720143546","938673","938673"
109,29,"locmst","trvseq",0,1,"20230720143546","20230720143546","938673","938673"
110,29,"locmst","stoloc",0,2,"20230720143546","20230720143546","938673","938673"
111,30,"locmst","trvseq",0,1,"20230720143552","20230720143552","938673","938673"
112,30,"locmst","stoloc",0,2,"20230720143552","20230720143552","938673","938673"
113,31,"locmst","trvseq",0,1,"20230720143552","20230720143552","938673","938673"
114,31,"locmst","stoloc",0,2,"20230720143552","20230720143552","938673","938673"
115,32,"locmst","trvseq",0,1,"20230720143552","20230720143552","938673","938673"
116,32,"locmst","stoloc",0,2,"20230720143552","20230720143552","938673","938673"
117,33,"locmst","trvseq",0,1,"20230720143556","20230720143556","938673","938673"
118,33,"locmst","stoloc",0,2,"20230720143556","20230720143556","938673","938673"
119,34,"locmst","trvseq",0,1,"20230720143556","20230720143556","938673","938673"
120,34,"locmst","stoloc",0,2,"20230720143556","20230720143556","938673","938673"
121,35,"locmst","trvseq",0,1,"20230720143556","20230720143556","938673","938673"
122,35,"locmst","stoloc",0,2,"20230720143556","20230720143556","938673","938673"
123,36,"locmst","trvseq",0,1,"20230720143559","20230720143559","938673","938673"
124,36,"locmst","stoloc",0,2,"20230720143559","20230720143559","938673","938673"
125,37,"locmst","trvseq",0,1,"20230720143559","20230720143559","938673","938673"
126,37,"locmst","stoloc",0,2,"20230720143559","20230720143559","938673","938673"
127,38,"locmst","trvseq",0,1,"20230720143559","20230720143559","938673","938673"
128,38,"locmst","stoloc",0,2,"20230720143559","20230720143559","938673","938673"
