var_nam,appl_id,frm_id,addon_id,cust_lvl,vis_flg,ena_flg,fld_typ,ctrl_typ,ctxt_flg,dsp_wid,dsp_hgt,ctrl_prop,grp_nam
"adr_id","LES","SalAddressMnt","LES",0,0,0,"","",1,0,0,"","sal_data"
"adrcty","LES","LES","LES",0,1,1,"","",1,0,0,"","sal_data"
"adrlin1","LES","LES","LES",0,1,1,"","",1,0,0,"","sal_data"
"adrlin2","LES","LES","LES",0,1,1,"","",1,0,0,"","sal_data"
"adrlin3","LES","LES","LES",0,1,1,"","",1,0,0,"","sal_data"
"adrnam","LES","LES","LES",0,1,1,"","",1,0,0,"","sal_data"
"adrpsz","LES","LES","LES",0,1,1,"","",1,0,0,"","sal_data"
"adrstc","LES","LES","LES",0,1,1,"C","",0,0,0,"","sal_data"
"adrtyp","LES","LES","LES",0,1,1,"C","",0,0,0,"","sal_data"
"adv_alc_flg","LES","LES","LES",0,1,1,"F","",1,0,0,"","dcs_data"
"aes_acpt_dte","LES","LES","LES",0,1,1,"D","",1,0,0,"","dcs_data"
"aes_typ","LES","LES","LES",0,1,1,"C","",1,0,0,"","dcs_data"
"age_pflnam","LES","LES","LES",0,1,1,"","",1,0,0,"","dcs_data"
"agecod","LES","LES","LES",0,1,1,"C","",1,0,0,"","dcs_data"
"aggdte","LES","LES","LES",0,1,1,"D","",1,0,0,"","dcs_data"
"aisle_id","LES","LES","LES",0,1,1,"","",1,0,0,"","dcs_data"
"alc_asset_grp","LES","LES","LES",0,1,1,"","",1,0,0,"","dcs_data"
"alc_search_path","LES","LES","LES",0,1,1,"","",1,0,0,"","dcs_data"
"alc_wave_ena","LES","LES","LES",0,1,1,"F","",1,0,0,"","dcs_data"
"alcdte","LES","LES","LES",0,1,1,"D","",1,0,0,"","dcs_data"
"alcdte","LES","ordalocinfo","LES",0,0,1,"","",1,0,0,"","dcs_data"
"alcflg","LES","LES","LES",0,1,1,"F","",1,0,0,"","dcs_data"
"alctyp","LES","LES","LES",0,1,1,"C","",1,0,0,"","dcs_data"
"alg_evt_type","iifdmnt","iifdmnt","SEAMLES",0,1,0,"","",1,0,0,"","int_data"
"alg_grp_id","LES","LES","SEAMLES",0,1,1,"C","",0,200,0,"","int_data"
"alg_id","LES","LES","SEAMLES",0,1,1,"C","",0,0,0,"","int_data"
"all_shipments","shpalocopr","shpalocopr","LES",0,1,1,"F","",1,0,0,"","dcs_data"
"all_usrs_flg","AthMnt","AthFrm","LES",0,1,1,"F","",0,0,0,"","sal_data"
"all_usrs_flg","LES","LES","LES",0,1,1,"F","",0,0,0,"","sal_waffle_data"
"alloc_num","LES","LES","LES",0,1,1,"","",1,0,0,"","dcs_data"
"alloc_rule_dtl_id","LES","LES","LES",0,1,1,"","",1,0,0,"","dcs_data"
"alloc_search_id","LES","LES","LES",0,1,1,"","",1,0,0,"","dcs_data"
"alloc_typ","LES","LES","LES",0,1,1,"C","",1,0,0,"","dcs_data"
"allocate_catch","LES","LES","LES",0,1,1,"F","",1,0,0,"","dcs_data"
"allow_cancel_license","LES","LES","LES",0,1,1,"F","",1,0,0,"","dcs_data"
"allow_ltl_ship_split","LES","LES","LES",0,1,1,"C","",1,0,0,"","dcs_data"
"allow_mult_open_containers","LES","LES","LES",0,1,1,"F","",1,0,0,"","dcs_data"
"allow_override_loc","LES","LES","LES",0,1,1,"F","",1,0,0,"","dcs_data"
"allow_override_put_loc","LES","LES","LES",0,1,1,"F","",1,0,0,"","dcs_data"
"allow_override_qty_pick","LES","LES","LES",0,1,1,"F","",1,0,0,"","dcs_data"
"allow_ovrshpflg","LES","LES","LES",0,1,1,"F","",1,0,0,"","dcs_data"
"allow_split_flg","LES","pcklstrulsetmnt","LES",0,1,1,"F","",1,0,0,"","dcs_data"
"AllowCreatCstmsCnsgnRcpt","LES","LES","CUSTOMS",0,1,1,"F","",1,0,0,"","dcs_data"
"AllowCreatCstmsCnsgnRcpt","LES","LES","LES",0,0,0,"F","",1,0,0,"","dcs_data"
"allowoverunder","LES","LES","LES",0,1,1,"F","",1,0,0,"","dcs_data"
"allowprtxfer","LES","LES","LES",0,1,1,"F","",1,0,0,"","dcs_data"
"AllowPutawyBefDutyPrcCmpl","LES","LES","CUSTOMS",0,1,1,"F","",1,0,0,"","dcs_data"
"AllowPutawyBefDutyPrcCmpl","LES","LES","LES",0,0,0,"F","",1,0,0,"","dcs_data"
"allw_ovrd_flg","LES","LES","LES",0,1,1,"F","",0,0,0,"","mcs_data"
"alrt_sts","LES","LES","LES",0,1,1,"C","",1,0,0,"","ems_data"
"alt_evt_arg_id","evtlog","ctlevtlog","SEAMLES",0,1,0,"","",1,0,0,"","int_data"
"alt_idn","LES","LES","LES",0,1,0,"","",1,0,0,"","dcs_data"
"alt_prt_typ","LES","LES","LES",0,1,1,"C","",1,0,0,"","sal_data"
"alt_prtnum","LES","LES","LES",0,1,1,"","",1,0,0,"","sal_data"
"alt_prtnum","LES","prtmstmnt","LES",0,1,1,"","",1,400,0,"","sal_data"
"alt_prtnum","LES","prtmstovrdmnt","LES",0,1,1,"","",1,400,0,"","sal_data"
"alw_del","LES","LES","LES",0,1,1,"F","",0,0,0,"","mcs_data"
"alw_mult","LES","LES","LES",0,1,1,"F","",0,0,0,"","mcs_data"
"alw_sup_lot_chg","LES","LES","LES",0,1,1,"F","",1,0,0,"","sal_data"
"alwcarovr","LES","LES","LES",0,1,1,"F","",1,0,0,"","dcs_data"
"alwdstchg","LES","LES","LES",0,1,1,"F","",1,0,0,"","dcs_data"
"alwempnum","LES","LES","LES",0,1,1,"F","",1,0,0,"","dcs_data"
"annotate_cmd","LES","LES","LES",0,1,1,"","",0,300,100,"","mcs_data"
"aodind","LES","LES","LES",0,1,1,"C","",1,0,0,"","sal_data"
"aplcarcod","LES","LES","LES",0,1,1,"F","",1,0,0,"","dcs_data"
"app_err_flg","LES","LES","LES",0,1,1,"F","",1,0,0,"","dcs_data"
"app_req_flg","invadjappropr","invadjappropr","LES",0,0,0,"F","",1,0,0,"","dcs_data"
"app_req_flg","LES","LES","LES",0,1,1,"F","",1,0,0,"","dcs_data"
"app_srv_host","LES","LES","LES",0,0,0,"","",1,0,0,"","sal_data"
"app_srv_port","LES","LES","LES",0,0,0,"","",1,0,0,"","sal_data"
"app_timeout","LES","LES","LES",0,1,1,"","",1,0,0,"","dcs_data"
"appl_id","LES","LES","LES",0,1,1,"","",0,0,0,"","mcs_data"
"appl_id","rdtpolmnt","rdtpolmnt","LES",0,1,0,"","",1,0,0,"","dcs_data"
