sto_zone_id,sto_zone_cod,bldg_id,wh_id,conflg,con_pal_flg,fifflg,pckcod,prox_put_cod,rnwl_sto_flg,set_locsts_flg,set_maxqvl_flg,vrt_stck_flg,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id
10000,"STOTRLR","B1","2",0,0,0,"M","",0,0,0,0,"20180730083432","20180730083432","938673","938673"
10001,"A104-S-01","B1","2",0,0,0,"M","",0,0,1,0,"20201001144631","20201001144631","939370","939370"
10002,"W104-S-01","B1","2",0,0,0,"M","",0,0,1,0,"20180823095050","20181009145834","940028","940028"
10003,"W006-S-01","B1","2",0,0,0,"M","",0,0,1,0,"20180823095134","20180823095134","940028","940028"
10004,"W006-EV-01","B1","2",0,0,0,"M","SRC",0,1,1,0,"20181031225647","20190328113103","939370","939370"
10005,"W104-EV-01","B1","2",0,0,0,"M","",0,1,1,0,"20181031225933","20190328110852","939370","939370"
10008,"W104-R-01","B1","2",0,0,0,"N","",0,1,1,0,"20190105000057","20190105015153","939370","939370"
10009,"W006-R-01","B1","2",0,0,0,"N","",0,1,1,0,"20190107000852","20190328113537","939370","939370"
10011,"SH-TEST-3-SZ","B1","2",0,0,0,"M","",0,1,1,0,"20190225125248","20190226114617","939370","939370"
10012,"A101-S-01","B1","2",0,0,0,"M","",0,0,1,0,"20210826100000","20210826100000","939161","939161"
10013,"A102-S-01","B1","2",0,0,0,"M","",0,0,1,0,"20210826100000","20210826100000","939161","939161"
10014,"A001-S-01","B1","2",0,0,0,"M","",0,0,1,0,"20220125124701","20220208133815","940788","940788"
10015,"A002-S-01","B1","2",0,0,0,"M","",0,0,1,0,"20220125124749","20220208134009","940788","940788"
10016,"A004-S-01","B1","2",0,0,0,"M","",0,0,1,0,"20220125124820","20220208133944","940788","940788"
10017,"A005-S-01","B1","2",0,0,0,"M","",0,0,1,0,"20220125125046","20220208133909","940788","940788"
10018,"A006-S-01","B1","2",0,0,0,"M","",0,0,1,0,"20220125125255","20220208133852","940788","940788"
10019,"A007-S-01","B1","2",0,0,0,"M","",0,0,1,0,"20220125125351","20220208133928","940788","940788"
10020,"A107-S-01","B1","2",0,0,0,"M","",0,0,1,0,"20220125125423","20220208133835","940788","940788"
10021,"A003-S-01","B1","2",0,0,0,"M","",0,0,1,0,"20220126135622","20220208133957","940788","940788"
10022,"P010-S-01","B1","2",0,0,0,"M","",0,0,1,0,"20220511120039","20220511120039","939370","939370"
10023,"P011-S-01","B1","2",0,0,0,"M","",0,0,1,0,"20220511120126","20220511120126","939370","939370"
10024,"X011-S-01","B1","2",0,0,0,"M","",0,0,1,0,"20220511120148","20220511120148","939370","939370"
10025,"P012-S-01","B1","2",0,0,0,"M","",0,0,1,0,"20220511120204","20220511120204","939370","939370"
10026,"P013-S-01","B1","2",0,0,0,"M","",0,0,1,0,"20220511120225","20220511120225","939370","939370"
10027,"P019-S-01","B1","2",0,0,0,"M","",0,0,1,0,"20220606131013","20220606131013","939370","939370"
10028,"P019-S-02","B1","2",0,0,0,"M","",0,0,1,0,"20220606131040","20220606131040","939370","939370"
10029,"P017-S-01","B1","2",0,0,0,"M","",0,0,1,0,"20230207142907","20230207142907","939370","939370"
10030,"P018-S-01","B1","2",0,0,0,"M","",0,0,1,0,"20230207142907","20230207142907","939370","939370"
10031,"P020-S-01","B1","2",0,0,0,"M","",0,0,1,0,"20230309153227","20230309153227","939370","939370"
