serv_id,wh_id,exitpnt_typ,exitpnt,moddte,mod_usr_id
"CMPL-LBL-DOCS","3","SERVICE-BACKGROUND","INVMOV","20181218132016","940028"
"CMPL-LBL-DOCS","3","SERVICE-BACKGROUND","USR-PST-RCV-LPN","20181212144930","940028"
"USR-AUTO-LOAD-SHP","3","SERVICE-BACKGROUND","SHIPSTG","20181212145105","940028"
"USR-COPY-HOLDNUM","3","SERVICE-BACKGROUND","USR-INVHLD-CHG","20190211102547","940028"
"USR-CRT-STOPS-LOADS","3","SERVICE-BACKGROUND","SHIPSTG","20200624170059","939161"
"USR-PRINT-PACKSLIP","3","SERVICE-OUTBOUND","PRE-DEPOSIT","20200715110446","943378"
"USR-RES-NEXT-STEP","3","SERVICE-BACKGROUND","INVMOV","20221207151109","938673"
"USR-SEND-ASSET-IF","3","SERVICE-BACKGROUND","USR-ASSET-CHG","20190211123336","940028"
"USR-SEND-HOLD-IF","3","SERVICE-BACKGROUND","USR-INVHLD-CHG","20190314163545","939161"
"USR-SEND-LODATT-IF","3","SERVICE-BACKGROUND","USR-LODATT-CHG","20190211123600","940028"
"USR-SEND-RELABEL-IF","3","SERVICE-BACKGROUND","USR-RELABEL","20190211123200","940028"
"USR-SEND-STATUS","3","SERVICE-BACKGROUND","INVMOV","20200723144115","939370"
"USR-VAS_INV_ONLY","3","SERVICE-OUTBOUND","POST-PICK","20230209093505","938673"
"USR-VAS_LPN_PACK","3","SERVICE-OUTBOUND","PRE-DEPOSIT","20230210125429","938673"
"USR-VAS_LPN_PICK","3","SERVICE-OUTBOUND","PRE-DEPOSIT","20230210125400","938673"
"USR-VAS_PACK","3","SERVICE-OUTBOUND","PKOCLOSE","20230210120609","938673"
"USR-VAS_PACK_CNFRM","3","SERVICE-OUTBOUND","PKOCLOSE","20230210125316","938673"
"USR-VAS_PICK","3","SERVICE-OUTBOUND","POST-PICK","20230210120501","938673"
"USR-VAS_PICK_CNFRM","3","SERVICE-OUTBOUND","POST-PICK","20230210125144","938673"
