dyn_cfg_id,appl_id,frm_id,addon_id,cust_lvl,inp_mod,var_nam_lst,les_cmd_id,moddte,mod_usr_id,grp_nam
"configure_work_order_schedule_fields","LES","wkomnt","LES",0,"I","wh_id,prdlin,auto_relpck_flg,wkosts,start_flg","configure_work_order_schedule_fields","","","dcs_data"
"configure_wrko_catch_qty","LES","wkomnt","LES",0,"A","prtnum,wkonum","configure_wrko_catch_qty","","","dcs_data"
"dash_dda_required","LES","WEBDASHMNT","LES",0,"A","module_typ","cmd_dash_dda_required","","","sal_data"
"def_eo_fld_len","eosegmnt","eosegmnt","SEAMLES",0,"A","data_typ_cd,eo_fld_len,eo_fld_max_chars","def_eo_fld_len","","","int_data"
"def_ftpcod_gui","LES","identify","LES",0,"D","prtnum,prt_client_id","def_ftpcod_gui_cmd","","","dcs_data"
"def_iifdsegmnt_ifd_fld_len","iifdsegmnt","iifdsegmnt","SEAMLES",0,"A","data_typ_cd,ifd_fld_len,ifd_fld_max_chars","def_ifd_fld_len","","","int_data"
"def_rcvqty_gui","LES","identify","LES",0,"D","prtnum,prt_client_id","def_rcvqty_gui_cmd","","","dcs_data"
"def_rcvqty_rf","dcsrdt","IDENTIFY_LOAD","LES",0,"D","prtnum","def_rcvqty_rf_cmd","","","dcs_data"
"def_rcvqty_rf_ftp","dcsrdt","IDENTIFY_LOAD","LES",0,"D","ftpcod","def_rcvqty_rf_cmd","","","dcs_data"
"def_rifdsegmnt_ifd_fld_len","rifdsegmnt","rifdsegmnt","SEAMLES",0,"A","data_typ_cd,ifd_fld_len,ifd_fld_max_chars","def_ifd_fld_len","","","int_data"
"dft_type_cfg","LES","CSTMSCNSGNDFTMNT","LES",0,"N","dft_typ","disable_consgnment_field","","","dcs_data"
"dispatchtrlr_fld_ena_cfg","LES","dispatchtrlr","LES",0,"A","trlr_id","set_cnfrm_asset_tag_fld_ena","","","dcs_data"
"dtlnum_barcode_parsing","dcsrdt","LES","LES",0,"A","dtlnum","dummy_parse_bar_code","","","dcs_data"
"dtlnum_barcode_parsing","LES","LES","LES",0,"A","dtlnum","dtlnum_barcode_cmd","","","dcs_data"
"dyn_bbar_clear_pallet","LES","autlinopr","LES",0,"A","lodnum","disable_bbar_clear_pallet","","","dcs_data"
"dyn_bbarNew","LES","reacodmnt","LES",0,"N","reacod","disable_bbarNew_reacod","","","dcs_data"
"dyn_bbarNew","LES","reagrpmnt","LES",0,"N","reagrp","disable_bbarNew_reagrp","","","dcs_data"
"dyn_cmdNew","LES","prtmstovrdmnt","LES",0,"A","","dyn_cmdNew","","","dcs_data"
"dyn_cmdRemove","LES","prtmstovrdmnt","LES",0,"A","","dyn_cmdRemove","","","dcs_data"
"dyn_gridAltPrtNum","LES","prtmstovrdmnt","LES",0,"A","","cmd_gridAltPrtNum","","","sal_data"
"dynamic_slotting_cfg","LES","LES","LES",0,"A","wh_id","configure_dyn_slotting_fields","","","dcs_data"
"enable_min_catch_qty","LES","bommnt","LES",0,"A","prtnum","enable_min_catch_qty","","","dcs_data"
"form_close_trlr_fld_cfg","dcsrdt","CLOSE_TRLR","LES",0,"A","trlr_id","set_form_close_trlr_fld_cfg","","","dcs_data"
"fraBulkPckOpt_vis","wkoopr","procwko","LES",0,"A","","set_fraBulkPckOpt_vis","","","dcs_data"
"ftpcod_cfg_c","bommnt","bomdtlmnt","LES",0,"A","prtnum,prt_client_id","disable_ftpcod_field","","","dcs_data"
