alloc_search_path_rule_id,alloc_search_path_id,bldg_id,srtseq,pck_mthd_id,pck_zone_id,lodlvl,uomcod,reg_uom,thresh_flg,cstms_bond_flg,dty_stmp_flg,alloc_grp_nam,loc_cap_pck_pct,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id
"10001","10002","B1",1,10000,10003,"L","","",0,0,0,"",0,"20200515132649","20220131151551","938673","940788"
"10002","10002","B1",22,10001,10003,"S","","",0,0,0,"",0,"20200515132649","20200515132649","938673","938673"
"10003","10002","B1",2,10000,20001,"L","","",0,0,0,"",0,"20201001154051","20220131151535","939370","940788"
"10004","10002","B1",23,10001,20001,"S","","",0,0,0,"",0,"20201001154116","20201001154116","939370","939370"
"10005","10002","B1",3,10000,20002,"L","","",0,0,0,"",0,"20210826100000","20220131151513","939161","940788"
"10006","10002","B1",24,10001,20002,"S","","",0,0,0,"",0,"20210826100000","20220131151347","939161","940788"
"10007","10002","B1",4,10000,20003,"L","","",0,0,0,"",0,"20210826100000","20220131151331","939161","940788"
"10008","10002","B1",25,10001,20003,"S","","",0,0,0,"",0,"20210826100000","20220131151410","939161","940788"
"10009","10002","B1",5,10000,20004,"L","","",0,0,0,"",0,"20220131154050","20220131154050","940788","940788"
"10010","10002","B1",6,10000,20005,"L","","",0,0,0,"",0,"20220131154231","20220131154231","940788","940788"
"10011","10002","B1",7,10000,20006,"L","","",0,0,0,"",0,"20220131154231","20220131154231","940788","940788"
"10012","10002","B1",8,10000,20007,"L","","",0,0,0,"",0,"20220131154231","20220131154231","940788","940788"
"10013","10002","B1",9,10000,20008,"L","","",0,0,0,"",0,"20220131154231","20220131154231","940788","940788"
"10014","10002","B1",10,10000,20009,"L","","",0,0,0,"",0,"20220131154231","20220131154231","940788","940788"
"10015","10002","B1",11,10000,20010,"L","","",0,0,0,"",0,"20220131154231","20220131154231","940788","940788"
"10016","10002","B1",26,10001,20004,"S","","",0,0,0,"",0,"20220131154453","20220131154453","940788","940788"
"10017","10002","B1",27,10001,20005,"S","","",0,0,0,"",0,"20220131154453","20220131154453","940788","940788"
"10018","10002","B1",28,10001,20006,"S","","",0,0,0,"",0,"20220131154453","20220131154453","940788","940788"
"10019","10002","B1",29,10001,20007,"S","","",0,0,0,"",0,"20220131154453","20220131154453","940788","940788"
"10020","10002","B1",30,10001,20008,"S","","",0,0,0,"",0,"20220131154453","20220131154453","940788","940788"
"10021","10002","B1",31,10001,20009,"S","","",0,0,0,"",0,"20220131154453","20220131154453","940788","940788"
"10022","10002","B1",32,10001,20010,"S","","",0,0,0,"",0,"20220131154453","20220131154453","940788","940788"
"10023","10002","B1",12,10000,20011,"L","","",0,0,0,"",0,"20220511125304","20220511125304","939370","939370"
"10024","10002","B1",13,10000,20012,"L","","",0,0,0,"",0,"20220511125304","20220511125304","939370","939370"
"10025","10002","B1",14,10000,20013,"L","","",0,0,0,"",0,"20220511125304","20220511125304","939370","939370"
"10026","10002","B1",15,10000,20014,"L","","",0,0,0,"",0,"20220511125304","20220511125304","939370","939370"
"10027","10002","B1",16,10000,20015,"L","","",0,0,0,"",0,"20220511125304","20220511125304","939370","939370"
"10028","10002","B1",33,10001,20011,"S","","",0,0,0,"",0,"20220511125427","20220511125427","939370","939370"
"10029","10002","B1",34,10001,20012,"S","","",0,0,0,"",0,"20220511125427","20220511125427","939370","939370"
"10030","10002","B1",35,10001,20013,"S","","",0,0,0,"",0,"20220511125427","20220511125427","939370","939370"
"10031","10002","B1",36,10001,20014,"S","","",0,0,0,"",0,"20220511125427","20220511125427","939370","939370"
"10032","10002","B1",37,10001,20015,"S","","",0,0,0,"",0,"20220511125427","20220511125427","939370","939370"
"10033","10002","B1",17,10000,20016,"L","","",0,0,0,"",0,"20220606142258","20220606142258","939370","939370"
"10034","10002","B1",18,10000,20017,"L","","",0,0,0,"",0,"20220606142258","20220606142258","939370","939370"
"10035","10002","B1",38,10001,20016,"S","","",0,0,0,"",0,"20220606142325","20220606142325","939370","939370"
"10036","10002","B1",39,10001,20017,"S","","",0,0,0,"",0,"20220606142325","20220606142325","939370","939370"
"10037","10002","B1",19,10000,20018,"L","","",0,0,0,"",0,"20230208145011","20230208145011","939370","939370"
"10038","10002","B1",20,10000,20019,"L","","",0,0,0,"",0,"20230208145011","20230208145011","939370","939370"
"10039","10002","B1",40,10001,20018,"S","","",0,0,0,"",0,"20230208145035","20230208145035","939370","939370"
"10040","10002","B1",41,10001,20019,"S","","",0,0,0,"",0,"20230208145035","20230208145035","939370","939370"
"10041","10002","B1",21,10006,20020,"L","","",0,0,0,"",0,"20230310123303","20230310123303","939370","939370"
"10042","10004","B1",1,10002,20020,"L","","",0,0,0,"",0,"20230310142302","20230310142302","939370","939370"
