sto_config_criteria_id,sto_config_id,colnam,colval,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id
"000020","000005","mov_zone_id","10020","20190206112853","20190206112853","940028","940028"
"000021","000005","hld_flg","1","20190206112853","20190206112853","940028","940028"
"000022","000005","inv_attr_str18","VRAAGTEKENSPOOR","20190206112853","20190206112853","940028","940028"
"000026","000006","mov_zone_id","10021","20190206112928","20190206112928","940028","940028"
"000027","000006","hld_flg","1","20190206112928","20190206112928","940028","940028"
"000028","000006","inv_attr_str18","VRAAGTEKENSPOOR","20190206112928","20190206112928","940028","940028"
"000071","000010","mov_zone_id","10028","20190403104117","20190403104117","940028","940028"
"000072","000010","hld_flg","1","20190403104117","20190403104117","940028","940028"
"000073","000010","inv_attr_str18","VRAAGTEKENSPOOR","20190403104117","20190403104117","940028","940028"
"000074","000013","mov_zone_id","10029","20190403104134","20190403104134","940028","940028"
"000075","000013","hld_flg","1","20190403104134","20190403104134","940028","940028"
"000076","000013","inv_attr_str18","VRAAGTEKENSPOOR","20190403104134","20190403104134","940028","940028"
"000077","000014","mov_zone_id","10030","20190403104151","20190403104151","940028","940028"
"000078","000014","hld_flg","1","20190403104151","20190403104151","940028","940028"
"000079","000014","inv_attr_str18","VRAAGTEKENSPOOR","20190403104151","20190403104151","940028","940028"
"000084","000017","mov_zone_id","10030","20190416093002","20190416093002","940028","940028"
"000085","000017","hld_flg","1","20190416093002","20190416093002","940028","940028"
"000086","000015","mov_zone_id","10028","20190425081618","20190425081618","940028","940028"
"000087","000015","hld_flg","1","20190425081618","20190425081618","940028","940028"
"000088","000016","mov_zone_id","10029","20190425081618","20190425081618","940028","940028"
"000089","000016","hld_flg","1","20190425081618","20190425081618","940028","940028"
"000212","000006","mov_zone_id","10021","20191127083714","20191127083714","940028","940028"
"000213","000006","hld_flg","1","20191127083714","20191127083714","940028","940028"
"000214","000006","inv_attr_str18","VRAAGTEKENSPOOR","20191127083714","20191127083714","940028","940028"
"000218","000010","mov_zone_id","10028","20191127083715","20191127083715","940028","940028"
"000219","000010","hld_flg","1","20191127083715","20191127083715","940028","940028"
"000220","000010","inv_attr_str18","VRAAGTEKENSPOOR","20191127083715","20191127083715","940028","940028"
"000221","000015","mov_zone_id","10028","20191127083715","20191127083715","940028","940028"
"000222","000015","hld_flg","1","20191127083715","20191127083715","940028","940028"
"000226","000013","mov_zone_id","10029","20191127083715","20191127083715","940028","940028"
"000227","000013","hld_flg","1","20191127083715","20191127083715","940028","940028"
"000228","000013","inv_attr_str18","VRAAGTEKENSPOOR","20191127083715","20191127083715","940028","940028"
"000229","000016","mov_zone_id","10029","20191127083716","20191127083716","940028","940028"
"000230","000016","hld_flg","1","20191127083716","20191127083716","940028","940028"
"000234","000014","mov_zone_id","10030","20191127083716","20191127083716","940028","940028"
"000235","000014","hld_flg","1","20191127083716","20191127083716","940028","940028"
"000236","000014","inv_attr_str18","VRAAGTEKENSPOOR","20191127083716","20191127083716","940028","940028"
"000237","000017","mov_zone_id","10030","20191127083716","20191127083716","940028","940028"
"000238","000017","hld_flg","1","20191127083716","20191127083716","940028","940028"
"000266","000005","mov_zone_id","10020","20191127084011","20191127084011","940028","940028"
"000267","000005","hld_flg","1","20191127084011","20191127084011","940028","940028"
"000268","000005","inv_attr_str18","VRAAGTEKENSPOOR","20191127084011","20191127084011","940028","940028"
