serv_id,wh_id,exitpnt_typ,exitpnt,src_mov_zone_id,dst_mov_zone_id,moddte,mod_usr_id
"CMPL-LBL-DOCS","7","SERVICE-BACKGROUND","INVMOV",10016,-10000,"20200226141213","939370"
"USR-PRINT-PACKSLIP","7","SERVICE-OUTBOUND","PRE-DEPOSIT",-10000,10120,"20200421131420","938673"
"USR-PRINT-PACKSLIP","7","SERVICE-OUTBOUND","PRE-DEPOSIT",-10000,10121,"20200421131420","938673"
"USR-PRINT-PACKSLIP","7","SERVICE-OUTBOUND","PRE-DEPOSIT",-10000,10125,"20200421131420","938673"
"USR-SEND-STATUS","7","SERVICE-BACKGROUND","INVMOV",-10000,10125,"20220927135607","939370"
"USR-SEND-STATUS","7","SERVICE-BACKGROUND","INVMOV",10000,10104,"20210209105330","938673"
"USR-SEND-STATUS","7","SERVICE-BACKGROUND","INVMOV",10000,10105,"20210209105330","938673"
"USR-SEND-STATUS","7","SERVICE-BACKGROUND","INVMOV",10000,10106,"20210209105330","938673"
"USR-SEND-STATUS","7","SERVICE-BACKGROUND","INVMOV",10000,10107,"20210209105330","938673"
"USR-SEND-STATUS","7","SERVICE-BACKGROUND","INVMOV",10000,10108,"20210209105330","938673"
"USR-SEND-STATUS","7","SERVICE-BACKGROUND","INVMOV",10000,10109,"20210209105330","938673"
"USR-SEND-STATUS","7","SERVICE-BACKGROUND","INVMOV",10000,10110,"20210209105330","938673"
"USR-SEND-STATUS","7","SERVICE-BACKGROUND","INVMOV",10000,10111,"20210209105330","938673"
"USR-SEND-STATUS","7","SERVICE-BACKGROUND","INVMOV",10000,10112,"20210209105330","938673"
"USR-SEND-STATUS","7","SERVICE-BACKGROUND","INVMOV",10000,10113,"20210209105330","938673"
"USR-SEND-STATUS","7","SERVICE-BACKGROUND","INVMOV",10000,10114,"20210209105330","938673"
"USR-SEND-STATUS","7","SERVICE-BACKGROUND","INVMOV",10000,10115,"20210209105330","938673"
"USR-SEND-STATUS","7","SERVICE-BACKGROUND","INVMOV",10000,10116,"20210209105330","938673"
"USR-SEND-STATUS","7","SERVICE-BACKGROUND","INVMOV",10000,10117,"20210209105330","938673"
"USR-SEND-STATUS","7","SERVICE-BACKGROUND","INVMOV",10000,10118,"20210209105330","938673"
"USR-SEND-STATUS","7","SERVICE-BACKGROUND","INVMOV",10000,10119,"20210209105330","938673"
"USR-SEND-STATUS","7","SERVICE-BACKGROUND","INVMOV",10000,10120,"20200424205330","938673"
"USR-SEND-STATUS","7","SERVICE-BACKGROUND","INVMOV",10000,10121,"20200424205330","938673"
"USR-SEND-STATUS","7","SERVICE-BACKGROUND","INVMOV",10000,10125,"20200424205330","938673"
"USR-VAS_LPN_PICK","2","SERVICE-OUTBOUND","PRE-DEPOSIT",-10000,20104,"20230314000000","938673"
"USR-VAS_LPN_PICK","7","SERVICE-OUTBOUND","PRE-DEPOSIT",-10000,10120,"20230314000000","938673"
"USR-VAS_LPN_PICK","7","SERVICE-OUTBOUND","PRE-DEPOSIT",-10000,10121,"20230314000000","938673"
"USR-VAS_LPN_PICK","7","SERVICE-OUTBOUND","PRE-DEPOSIT",-10000,10125,"20230314000000","938673"
