sto_config_id,wh_id,srtseq,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id
"000005","3",1,"20190206112831","20191127084011","940028","940028"
"000006","3",2,"20190206112928","20191127083714","940028","940028"
"000010","3",3,"20190403103304","20191127083715","940028","940028"
"000013","3",5,"20190403103518","20191127083715","940028","940028"
"000014","3",7,"20190403103558","20191127083716","940028","940028"
"000015","3",4,"20190416092827","20191127083715","940028","940028"
"000016","3",6,"20190416092923","20191127083716","940028","940028"
"000017","3",8,"20190416093002","20191127083716","940028","940028"
