arecod,wh_id,bldg_id,lost_loc,logic_flg,u_version,moddte,mod_usr_id,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id
"A001","3","B1","",0,1,"20201001144131","939370","20210826100000","20210826100000","939161","939161"
"A200","3","B1","",0,1,"20210622135223","939161","20210622135223","20210622135223","939161","939161"
"ADJS","3","B1","",1,1,"20181210102459","SUPER","20181210102459","20181210102459","SUPER","SUPER"
"B001","3","B1","",0,1,"20220405181030","939370","20220405181030","20220405181030","939370","939370"
"B200","3","B1","",0,1,"20210622135232","939161","20210622135232","20210622135232","939161","939161"
"C001","3","B1","",0,1,"20221005140703","939370","20221005140703","20221005140703","939370","939370"
"CADJ","3","B1","",1,1,"20181210102459","SUPER","20181210102459","20181210102459","SUPER","SUPER"
"D001","3","B1","",0,1,"20200921105524","939370","20200921105524","20200921105524","939370","939370"
"D200","3","B1","",0,1,"20210622135240","939161","20210622135240","20210622135240","939161","939161"
"DADJ","3","B1","",1,1,"20181210102500","SUPER","20181210102500","20181210102500","SUPER","SUPER"
"DKIT","3","B1","",1,1,"20181210102500","SUPER","20181210102500","20181210102500","SUPER","SUPER"
"DSPCH","3","B1","",1,1,"20181210102500","SUPER","20181210102500","20181210102500","SUPER","SUPER"
"E001","3","B1","",0,1,"20200921105524","939370","20200921105524","20200921105524","939370","939370"
"EXPR","3","B1","",1,1,"20181210102459","SUPER","20181210102459","20181210102459","SUPER","SUPER"
"F200","3","B1","",0,1,"20210622135253","939161","20210622135253","20210622135253","939161","939161"
"G200","3","B1","",0,1,"20210622135300","939161","20210622135300","20210622135300","939161","939161"
"L134","3","B1","",0,1,"20190205110908","940028","20190205110908","20190205110908","940028","940028"
"L200","3","B1","",0,1,"20210622135132","939161","20210622135132","20210622135132","939161","939161"
"L201","3","B1","",0,1,"20200703105524","939370","20200703105524","20200703105524","939370","939370"
"L432","3","B1","",0,1,"20190205110922","940028","20190205110922","20190205110922","940028","940028"
"L6","3","B1","",0,1,"20200921105524","939370","20200921105524","20200921105524","939370","939370"
"LOFO","3","B1","LOFO-LOST-001",0,1,"20200209222915","939370","20200209222915","20200209222915","939370","939370"
"O001","3","B1","",0,1,"20190329075208","940028","20190329075208","20190329075208","940028","940028"
"P001","3","B1","",0,1,"20221005140703","939370","20221005140703","20221005140703","939370","939370"
"PREDEL","3","B1","",0,1,"20210622095922","939161","20210622095922","20210622095922","939161","939161"
"R001","3","B1","",0,1,"20221005140703","939370","20221005140703","20221005140703","939370","939370"
"RDTS000001","3","B1","",1,1,"20181210102459","SUPER","20181210102459","20181210102459","SUPER","SUPER"
"RDTS000002","3","B1","",1,1,"20210203114851","SUPER","20210203114851","20210203114851","SUPER","SUPER"
"SACO","3","B1","",1,1,"20181210102500","SUPER","20181210102500","20181210102500","SUPER","SUPER"
"SADJ","3","B1","",1,1,"20181210102500","SUPER","20181210102500","20181210102500","SUPER","SUPER"
"SHIP","3","B1","",1,1,"20181210102500","SUPER","20181210102500","20181210102500","SUPER","SUPER"
"STOTRLR","3","B1","",1,1,"20181210102500","SUPER","20181210102500","20181210102500","SUPER","SUPER"
"SXFR","3","B1","",1,1,"20181210102500","SUPER","20181210102500","20181210102500","SUPER","SUPER"
"W001","3","B1","",0,1,"20190329075219","940028","20190329075219","20190329075219","940028","940028"
"WEXP","3","B1","",1,1,"20181210102500","SUPER","20181210102500","20181210102500","SUPER","SUPER"
"WRKS","3","B1","",1,1,"20181210102500","SUPER","20181210102500","20181210102500","SUPER","SUPER"
"XDCK","3","B1","",0,1,"20181210102500","SUPER","20181210102500","20181210102500","SUPER","SUPER"
"XDDR","3","B1","",1,1,"20181210102500","SUPER","20181210102500","20181210102500","SUPER","SUPER"
"Z001","3","B1","",0,1,"20190329075159","940028","20190329075159","20190329075159","940028","940028"
"Z200","3","B1","",0,1,"20210622135307","939161","20210622135307","20210622135307","939161","939161"
