pcklst_rule_grp_id,pcklst_rule_id,seqnum,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id,is_purged
2,14,1,"20230105183743","20230105183743","939370","939370",0
2,20,2,"20230105183743","20230105183743","939370","939370",0
3,13,1,"20230105163448","20230105163448","939370","939370",0
3,19,2,"20230105163448","20230105163448","939370","939370",0
4,2,2,"20230105163031","20230105163031","939370","939370",0
4,3,1,"20230105163031","20230105163031","939370","939370",0
5,25,1,"20230105184114","20230105184114","939370","939370",0
6,16,1,"20230106121301","20230106121301","939370","939370",0
6,22,2,"20230106121301","20230106121301","939370","939370",0
7,15,1,"20230106121342","20230106121342","939370","939370",0
7,21,2,"20230106121342","20230106121342","939370","939370",0
8,7,1,"20230106121434","20230106121434","939370","939370",0
8,8,2,"20230106121434","20230106121434","939370","939370",0
9,26,1,"20230106121515","20230106121515","939370","939370",0
10,18,1,"20230106121922","20230106121922","939370","939370",0
10,24,2,"20230106121922","20230106121922","939370","939370",0
11,17,1,"20230106122004","20230106122004","939370","939370",0
11,23,2,"20230106122004","20230106122004","939370","939370",0
12,10,1,"20230106122111","20230106122111","939370","939370",0
12,11,2,"20230106122111","20230106122111","939370","939370",0
13,27,1,"20230106122137","20230106122137","939370","939370",0
14,31,1,"20230130162728","20230130162728","939370","939370",0
14,35,2,"20230130162728","20230130162728","939370","939370",0
15,30,1,"20230130162934","20230130162934","939370","939370",0
15,34,2,"20230130162934","20230130162934","939370","939370",0
16,29,1,"20230130163000","20230130163000","939370","939370",0
16,33,2,"20230130163000","20230130163000","939370","939370",0
17,32,1,"20230130163024","20230130163024","939370","939370",0
18,12,1,"20230106122319","20230201150918","939370","939370",0
19,1,1,"20230201145945","20230201145945","939370","939370",0
20,28,1,"20230201150004","20230201150004","939370","939370",0
21,6,1,"20230201150022","20230201150022","939370","939370",0
22,9,1,"20230201150050","20230201150050","939370","939370",0
23,5,1,"20230314103520","20230314103520","938673","938673",0
23,36,2,"20230316135722","20230316135722","938673","938673",0
23,37,4,"20230316135722","20230316135722","938673","938673",0
23,38,3,"20230316135722","20230316135722","938673","938673",0
23,40,5,"20231023140712","20231023140712","939370","939370",0
23,75,6,"20231023140712","20231023140712","939370","939370",0
24,43,1,"20230519120817","20230519120817","939370","939370",0
24,47,2,"20230519120817","20230519120817","939370","939370",0
25,42,1,"20230519120848","20230519120848","939370","939370",0
25,46,2,"20230519120848","20230519120848","939370","939370",0
26,41,1,"20230519120938","20230519120938","939370","939370",0
26,45,2,"20230519120938","20230519120938","939370","939370",0
27,44,1,"20230519121014","20230519121014","939370","939370",0
28,39,1,"20230519121054","20230519121054","939370","939370",0
30,50,1,"20230720111213","20230720111213","938673","938673",0
31,51,1,"20230720111404","20230720111404","938673","938673",0
32,52,1,"20230720111404","20230720111404","938673","938673",0
33,53,1,"20230720111404","20230720111404","938673","938673",0
34,54,1,"20230720111744","20230720111744","938673","938673",0
35,55,1,"20230720111744","20230720111744","938673","938673",0
36,56,1,"20230720111744","20230720111744","938673","938673",0
37,57,1,"20230720111744","20230720111744","938673","938673",0
38,58,1,"20230720111748","20230720111748","938673","938673",0
39,59,1,"20230720111748","20230720111748","938673","938673",0
40,60,1,"20230720111748","20230720111748","938673","938673",0
41,61,1,"20230720111748","20230720111748","938673","938673",0
42,62,1,"20230720111752","20230720111752","938673","938673",0
43,63,1,"20230720111752","20230720111752","938673","938673",0
44,64,1,"20230720111752","20230720111752","938673","938673",0
45,65,1,"20230720111752","20230720111752","938673","938673",0
46,66,1,"20230724103047","20230724103047","938673","938673",0
47,67,1,"20230724103053","20230724103053","938673","938673",0
48,68,1,"20230724103057","20230724103057","938673","938673",0
49,69,1,"20230724103100","20230724103100","938673","938673",0
50,70,1,"20231023140030","20231023140030","939370","939370",0
51,77,1,"20231023140153","20231023140153","939370","939370",0
51,82,2,"20231023140153","20231023140153","939370","939370",0
52,78,1,"20231023140230","20231023140230","939370","939370",0
52,81,2,"20231023140230","20231023140230","939370","939370",0
53,76,1,"20231023140302","20231023140302","939370","939370",0
53,80,2,"20231023140302","20231023140302","939370","939370",0
54,79,1,"20231023140330","20231023140330","939370","939370",0
55,74,1,"20231023140500","20231023140500","939370","939370",0
56,73,1,"20231023140523","20231023140523","939370","939370",0
57,72,1,"20231023140543","20231023140543","939370","939370",0
58,71,1,"20231023140605","20231023140605","939370","939370",0
