gln,wh_id,stoloc,ins_dt,ins_user_id,last_upd_dt,last_upd_user_id,is_purged,uc_sort_out_id
"8713782636108","1","WB-001-01","20230612122957","939370","20230612122957","939370",0,0
"8713783214497","1","Z-001-01","20230612122956","939370","20230612122956","939370",0,0
"8713783215630","1","Z-001-01","20230612122956","939370","20230612122956","939370",0,0
"8713783216361","1","Z-001-01","20230612122956","939370","20230612122956","939370",0,0
"8713783217719","1","Z-001-01","20230612122956","939370","20230612122956","939370",0,0
"8713783218716","1","Z-001-01","20230612122956","939370","20230612122956","939370",0,63
"8713783218792","1","Z-001-01","20230612122956","939370","20230612122956","939370",0,0
"8713783219140","1","WB-001-01","20230612122956","939370","20230612122956","939370",0,0
"8713783219287","1","Z-001-01","20230612122956","939370","20230612122956","939370",0,0
"8713783229538","1","WB-001-01","20230612122956","939370","20230612122956","939370",0,0
"8713783229705","1","COD-001-01","20230612122956","939370","20230612122956","939370",0,0
"8713783229712","1","COD-001-01","20230612122956","939370","20230612122956","939370",0,0
"8713783230220","1","WB-001-01","20230612122957","939370","20230612122957","939370",0,0
"8713783230244","1","COD-001-01","20230612122956","939370","20230612122956","939370",0,0
"8713783230350","1","WB-001-01","20230612122957","939370","20230612122957","939370",0,0
"8713783230541","1","COC-001-01","20230612122956","939370","20230612122956","939370",0,0
"8713783230626","1","COD-001-01","20230612122956","939370","20230612122956","939370",0,0
"8713783230756","1","COC-001-01","20230612122956","939370","20230612122956","939370",0,0
"8713783230770","1","COC-001-01","20230612122956","939370","20230612122956","939370",0,0
"8713783230916","1","WB-001-01","20230612122957","939370","20230612122957","939370",0,0
"8713783230923","1","WB-001-01","20230612122957","939370","20230612122957","939370",0,0
"8713783230947","1","COA-001-01","20230612122956","939370","20230612122956","939370",0,0
"8713783230954","1","COA-001-01","20230612122956","939370","20230612122956","939370",0,0
"8713783230978","1","WB-001-01","20230612122957","939370","20230612122957","939370",0,0
"8713783230992","1","WB-001-01","20230612122956","939370","20230612122956","939370",0,0
"8713783231005","1","WB-001-01","20230612122956","939370","20230612122956","939370",0,0
"8713783231012","1","WB-001-01","20230612122957","939370","20230612122957","939370",0,0
"8713783231029","1","WB-001-01","20230612122956","939370","20230612122956","939370",0,0
"8713783231036","1","WB-001-01","20230612122957","939370","20230612122957","939370",0,0
"8713783231043","1","WB-001-01","20230612122957","939370","20230612122957","939370",0,0
"8713783231050","1","WB-001-01","20230612122957","939370","20230612122957","939370",0,0
"8713783231067","1","WB-001-01","20230612122956","939370","20230612122956","939370",0,0
"8713783231104","1","WB-001-01","20230612122956","939370","20230612122956","939370",0,0
"8713783231111","1","COD-001-01","20230612122956","939370","20230612122956","939370",0,0
"8713783231128","1","COD-001-01","20230612122956","939370","20230612122956","939370",0,0
"8713783231142","1","COC-001-01","20230612122956","939370","20230612122956","939370",0,0
"8713783231159","1","COC-001-01","20230612122956","939370","20230612122956","939370",0,0
"8713783231173","1","COC-001-01","20230612122956","939370","20230612122956","939370",0,0
"8713783231180","1","COD-001-01","20230612122956","939370","20230612122956","939370",0,0
"8713783231203","1","COD-001-01","20230612122956","939370","20230612122956","939370",0,0
"8713783231210","1","Z-001-01","20230612122956","939370","20230612122956","939370",0,0
"8713783231227","1","COC-001-01","20230612122956","939370","20230612122956","939370",0,0
"8713783231265","1","COC-001-01","20230612122956","939370","20230612122956","939370",0,0
"8713783231272","1","WB-001-01","20230612122956","939370","20230612122956","939370",0,0
"8713783231289","1","COD-001-01","20230612122956","939370","20230612122956","939370",0,0
"8713783231319","1","WB-001-01","20230612122957","939370","20230612122957","939370",0,0
