serv_id,wh_id,exitpnt_typ,exitpnt,moddte,mod_usr_id
"CMPL-LBL-DOCS","2","SERVICE-BACKGROUND","INVMOV","20180919085957","939370"
"CMPL-LBL-DOCS","2","SERVICE-BACKGROUND","USR-PST-RCV-LPN","20180920101907","939370"
"USR-AUTO-LOAD-SHP","2","SERVICE-BACKGROUND","SHIPSTG","20181003160022","938673"
"USR-COPY-HOLDNUM","2","SERVICE-BACKGROUND","USR-INVHLD-CHG","20181121090743","940028"
"USR-CRT-STOPS-LOADS","2","SERVICE-BACKGROUND","SHIPSTG","20200624170059","939161"
"USR-PRINT-PACKSLIP","2","SERVICE-OUTBOUND","PRE-DEPOSIT","20200715110446","943378"
"USR-SEND-ASSET-IF","2","SERVICE-BACKGROUND","USR-ASSET-CHG","20190104153337","939370"
"USR-SEND-HOLD-IF","2","SERVICE-BACKGROUND","USR-INVHLD-CHG","20181224145748","939370"
"USR-SEND-LODATT-IF","2","SERVICE-BACKGROUND","USR-LODATT-CHG","20190111004519","939370"
"USR-SEND-RELABEL-IF","2","SERVICE-BACKGROUND","USR-RELABEL","20181221184008","939370"
"USR-SEND-STATUS","2","SERVICE-BACKGROUND","INVMOV","20200723144115","939370"
"USR-VAS_INV_ONLY","2","SERVICE-OUTBOUND","POST-PICK","20230210000000","938673"
"USR-VAS_LPN_PACK","2","SERVICE-OUTBOUND","PRE-DEPOSIT","20230210000000","938673"
"USR-VAS_LPN_PICK","2","SERVICE-OUTBOUND","PRE-DEPOSIT","20230210000000","938673"
"USR-VAS_PACK","2","SERVICE-OUTBOUND","PKOCLOSE","20230210000000","938673"
"USR-VAS_PACK_CNFRM","2","SERVICE-OUTBOUND","PKOCLOSE","20230210000000","938673"
"USR-VAS_PICK","2","SERVICE-OUTBOUND","POST-PICK","20230210000000","938673"
"USR-VAS_PICK_CNFRM","2","SERVICE-OUTBOUND","POST-PICK","20230210000000","938673"
