gln,wh_id,uc_delivery_id,ins_dt,last_upd_dt,last_upd_user_id
"8713783461136","3",1004,"20221118171836","20221118171836","939370"
"8713783461136","3",1216,"20221118140512","20221118140512","939370"
"8713783461136","3",1233,"20221222000000","20221222000000","938673"
"8713783461136","3",1234,"20221222000000","20221222000000","938673"
"8713783466650","3",1003,"20221118171812","20221118171812","939370"
"8713783466650","3",1172,"20221118140512","20221118140512","939370"
"8713783466650","3",1228,"20221118140512","20221118140512","939370"
"8713783466650","3",1233,"20221222000000","20221222000000","938673"
"8713783807484","3",1003,"20221118171812","20221118171812","939370"
"8713783807484","3",1131,"20221118140512","20221118140512","939370"
"8713783807484","3",1231,"20221118140512","20221118140512","939370"
"8713783807484","3",1233,"20221222000000","20221222000000","938673"
"8713783807521","3",1004,"20221118171836","20221118171836","939370"
"8713783807521","3",1181,"20221118140512","20221118140512","939370"
"8713783807521","3",1228,"20221118140512","20221118140512","939370"
"8713783807521","3",1233,"20221222000000","20221222000000","938673"
"8713783807545","3",1001,"20221118140512","20221118140512","939370"
"8713783807545","3",1049,"20221118140512","20221118140512","939370"
"8713783807545","3",1226,"20221118140512","20221118140512","939370"
"8713783807545","3",1233,"20221222000000","20221222000000","938673"
"8713783807774","3",1003,"20221118171812","20221118171812","939370"
"8713783807774","3",1171,"20221118140512","20221118140512","939370"
"8713783807774","3",1230,"20221118140512","20221118140512","939370"
"8713783807774","3",1233,"20221222000000","20221222000000","938673"
"8713783843093","3",1001,"20221118171726","20221118171726","939370"
"8713783843093","3",1072,"20221118140512","20221118140512","939370"
"8713783843093","3",1229,"20221118140512","20221118140512","939370"
"8713783843093","3",1233,"20221222000000","20221222000000","938673"
"8713783843222","3",1001,"20221118171726","20221118171726","939370"
"8713783843222","3",1064,"20221118140512","20221118140512","939370"
"8713783843222","3",1229,"20221118140512","20221118140512","939370"
"8713783843369","3",1003,"20221118171812","20221118171812","939370"
"8713783843369","3",1143,"20221118140512","20221118140512","939370"
"8713783843369","3",1230,"20221118140512","20221118140512","939370"
"8713783843369","3",1233,"20221222000000","20221222000000","938673"
"8713783850060","3",1003,"20221118171812","20221118171812","939370"
"8713783850060","3",1132,"20221118140512","20221118140512","939370"
"8713783850060","3",1231,"20221118140512","20221118140512","939370"
"8713783850060","3",1233,"20221222000000","20221222000000","938673"
"8713783850077","3",1001,"20221118140512","20221118140512","939370"
"8713783850077","3",1046,"20221118140512","20221118140512","939370"
"8713783850077","3",1226,"20221118140512","20221118140512","939370"
"8713783850077","3",1233,"20221222000000","20221222000000","938673"
"8713783850084","3",1001,"20221118140512","20221118140512","939370"
"8713783850084","3",1046,"20221118140512","20221118140512","939370"
"8713783850084","3",1226,"20221118140512","20221118140512","939370"
"8713783850084","3",1233,"20221222000000","20221222000000","938673"
"8713783860847","3",1003,"20221118171812","20221118171812","939370"
"8713783860847","3",1147,"20221118140512","20221118140512","939370"
"8713783860847","3",1231,"20221118140512","20221118140512","939370"
"8713783860847","3",1233,"20221222000000","20221222000000","938673"
"8713783878507","3",1001,"20221118171726","20221118171726","939370"
"8713783878507","3",1066,"20221118140512","20221118140512","939370"
"8713783878507","3",1229,"20221118140512","20221118140512","939370"
"8713783878507","3",1233,"20221222000000","20221222000000","938673"
"8713783878514","3",1001,"20221118171726","20221118171726","939370"
"8713783878514","3",1066,"20221118140512","20221118140512","939370"
"8713783878514","3",1229,"20221118140512","20221118140512","939370"
"8713783878514","3",1233,"20221222000000","20221222000000","938673"
"8713783878521","3",1001,"20221118171726","20221118171726","939370"
"8713783878521","3",1066,"20221118140512","20221118140512","939370"
