esc_seq,oprcod,wh_id_tmpl,ordtyp,ship_date_win,wrk_esc_pri,ins_dt,ins_user_id,moddte,mod_usr_id
"0000001","LPCK","7","----",90,90,"20210304110311","","20210304110311","938673"
"0000002","LPCK","7","31",30,100,"20210304110311","","20210304110311","938673"
"0000003","LPCK","7","----",60,80,"20210304110311","","20210304110311","938673"
"0000004","LPCK","7","----",20,69,"20220221160716","","20220221160716","939370"
"0000004","LPCK","7","34",60,60,"20210304110311","","20210304110311","938673"
"0000005","LPCK","7","----",10,68,"20220221160716","","20220221160716","939370"
"0000005","LPCK","7","34",45,50,"20210304110311","","20210304110311","938673"
"0000006","LPCK","7","----",30,70,"20210304110311","","20210304110311","938673"
"0000007","LPCK","7","----",1,67,"20220221160745","","20220221160745","939370"
"0000013","PALMOV","7","31",30,91,"20210412171852","","20210412171852","939370"
"0000014","PALMOV","7","----",90,80,"20210412171852","","20210412171852","939370"
"0000015","PALMOV","7","----",10,68,"20220221161101","","20220221161101","939370"
"0000015","PALMOV","7","34",60,50,"20210412171852","","20210412171852","939370"
"0000016","PALMOV","7","----",60,71,"20210412171852","","20210412171852","939370"
"0000017","PALMOV","7","----",30,70,"20210412171852","","20220221161101","939370"
"0000018","PALMOV","7","----",20,69,"20220221161124","","20220221161124","939370"
"0000018","PALMOV","7","34",45,40,"20210412171852","","20210412171852","939370"
"0000019","PALMOV","7","----",1,67,"20220221161141","","20220221161141","939370"
"0000007","PCK","7","31",30,91,"20210304110614","","20210304110614","938673"
"0000008","PCK","7","----",90,80,"20210304110614","","20210304110614","938673"
"0000009","PCK","7","----",10,68,"20220221160849","","20220221160849","939370"
"0000009","PCK","7","34",60,50,"20210304110614","","20210304110614","938673"
"0000010","PCK","7","----",60,71,"20210304110614","","20210304110614","938673"
"0000011","PCK","7","----",30,70,"20210304110614","","20220221160850","939370"
"0000012","PCK","7","----",1,67,"20220221160911","","20220221160911","939370"
"0000012","PCK","7","34",45,40,"20210304110614","","20210304110614","938673"
"0000013","PCK","7","----",20,69,"20220221160923","","20220221160923","939370"
