pcklst_break_on_cri_id,pcklst_rule_id,break_on_function,break_on_field,max_weight,max_volume,max_pckuntqty,max_qty,volume_thr,max_add_pick_weight,seqnum,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id,min_volume,min_weight
1,1,"volume_func","",0,2538780.0,0,0,2538780.0,99000.0,1,"20200515132649","20200515132649","938673","938673",0,0
2,2,"volume_func","",0,2538780.0,0,0,2538780.0,99000.0,2,"20200928114140","20200928114140","939370","939370",0,0
3,3,"volume_func","",0,2538780.0,0,0,2538780.0,99000.0,3,"20200928114140","20200928114140","939370","939370",0,0
5,7,"volume_func","",0,2538780.0,0,0,2538780.0,99000.0,1,"20220418175102","20220418175102","939370","939370",0,0
7,9,"volume_func","",0,2538780.0,0,0,2538780.0,99000.0,1,"20220418175403","20220418175403","939370","939370",0,0
8,19,"volume_func","",0,2538780.0,0,0,2538780.0,99000.0,1,"20221010123138","20221010123138","939370","939370",0,0
9,21,"volume_func","",0,2538780.0,0,0,2538780.0,99000.0,1,"20221010123239","20221010123239","939370","939370",0,0
10,22,"volume_func","",0,2538780.0,0,0,2538780.0,99000.0,1,"20221010123304","20221010123304","939370","939370",0,0
