alc_asset_grp,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id
"1-0S TROLLEY","20230104162857","20230104162857","939370","939370"
"1-1S TROLLEY","20200519113548","20200519113548","938673","938673"
"1-2S TROLLEY","20200519111256","20200519111256","938673","938673"
"1-3S TROLLEY","20230104162857","20230104162857","939370","939370"
