sto_config_rule_id,sto_config_id,bldg_id,srtseq,sto_zone_id,strategy,min_lvl,max_lvl,lvl_by_item_flg,max_lod_per_aisle,lod_by_item_flg,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id
"000004","000004","B1",1,10004,"MIXED",0,0,0,0,0,"20181031231109","20181031231109","939370","939370"
"000011","000010","B1",1,10004,"MIXED",0,0,0,0,0,"20181127140716","20181127140716","940028","940028"
