gln,wh_id,stoloc,ins_dt,ins_user_id,last_upd_dt,last_upd_user_id
"8713783461136","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783466650","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783807484","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783807521","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783807545","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783807774","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783843093","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783843369","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783850060","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783850077","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783850084","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783860847","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783878507","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783878514","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783878521","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783878552","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783878576","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783878590","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783878606","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783878613","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783878637","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783878644","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783878651","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783878668","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783878675","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783878682","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783878699","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783878712","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783878729","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783878736","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783878743","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783878750","3","A-001-01","20221125135019","939370","20221125135019","939370"
"8713783878767","3","A-001-01","20221125135019","939370","20221125135019","939370"
