pcklst_seq_cri_id,pcklst_rule_id,table_nam,field_name,sort_order,seqnum,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id,is_purged
1,1,"locmst","trvseq",0,1,"20210412000000","20210412000000","938673","938673",0
2,1,"locmst","stoloc",0,2,"20210412000000","20210412000000","938673","938673",0
3,2,"locmst","trvseq",0,1,"20210412000000","20210412000000","938673","938673",0
4,2,"locmst","stoloc",0,2,"20210412000000","20210412000000","938673","938673",0
5,3,"locmst","stoloc",0,2,"20211110113043","20211110113043","940409","940409",0
6,3,"locmst","trvseq",0,1,"20211110113101","20211110113101","940409","940409",0
7,4,"locmst","trvseq",0,2,"20220120131845","20220120131845","939370","939370",0
8,4,"locmst","stoloc",0,3,"20220120131845","20220120131845","939370","939370",0
9,5,"pckwrk_view","list_id",0,1,"20220120132206","20220120132206","939370","939370",0
10,5,"locmst","trvseq",0,2,"20220120132206","20220120132206","939370","939370",0
11,5,"locmst","stoloc",0,3,"20220120132206","20220120132206","939370","939370",0
12,6,"locmst","trvseq",0,1,"20220418173831","20220418173831","939370","939370",0
13,6,"locmst","stoloc",0,2,"20220418173831","20220418173831","939370","939370",0
14,7,"locmst","trvseq",0,1,"20220418175102","20220418175102","939370","939370",0
15,7,"locmst","stoloc",0,2,"20220418175102","20220418175102","939370","939370",0
16,8,"locmst","trvseq",0,1,"20220418175225","20220418175225","939370","939370",0
17,8,"locmst","stoloc",0,2,"20220418175225","20220418175225","939370","939370",0
18,9,"locmst","trvseq",0,1,"20220418175403","20220418175403","939370","939370",0
19,9,"locmst","stoloc",0,2,"20220418175403","20220418175403","939370","939370",0
20,10,"locmst","trvseq",0,2,"20220418180135","20220418180135","939370","939370",0
21,10,"locmst","stoloc",0,3,"20220418180135","20220418180135","939370","939370",0
22,11,"pckwrk_view","list_id",0,1,"20220418180439","20220418180439","939370","939370",0
23,11,"locmst","trvseq",0,2,"20220418180439","20220418180439","939370","939370",0
24,11,"locmst","stoloc",0,3,"20220418180439","20220418180439","939370","939370",0
25,12,"locmst","trvseq",0,2,"20220418180915","20220418180915","939370","939370",0
26,12,"locmst","stoloc",0,3,"20220418180915","20220418180915","939370","939370",0
27,13,"pckwrk_view","list_id",0,1,"20220418181030","20220418181030","939370","939370",0
28,13,"locmst","trvseq",0,2,"20220418181030","20220418181030","939370","939370",0
29,13,"locmst","stoloc",0,3,"20220418181030","20220418181030","939370","939370",0
30,14,"locmst","trvseq",0,2,"20220418181858","20220418181858","939370","939370",0
31,14,"locmst","stoloc",0,3,"20220418181858","20220418181858","939370","939370",0
32,15,"pckwrk_view","list_id",0,1,"20220418182112","20220418182112","939370","939370",0
33,15,"locmst","trvseq",0,2,"20220418182112","20220418182112","939370","939370",0
34,15,"locmst","stoloc",0,3,"20220418182112","20220418182112","939370","939370",0
35,16,"locmst","trvseq",0,2,"20220418182326","20220418182326","939370","939370",0
36,16,"locmst","stoloc",0,3,"20220418182326","20220418182326","939370","939370",0
37,17,"pckwrk_view","list_id",0,1,"20220418182441","20220418182441","939370","939370",0
38,17,"locmst","trvseq",0,2,"20220418182441","20220418182441","939370","939370",0
39,17,"locmst","stoloc",0,3,"20220418182441","20220418182441","939370","939370",0
40,18,"locmst","trvseq",0,1,"20221010123057","20221010123057","939370","939370",0
41,18,"locmst","stoloc",0,2,"20221010123057","20221010123057","939370","939370",0
42,19,"locmst","trvseq",0,1,"20221010123137","20221010123137","939370","939370",0
43,19,"locmst","stoloc",0,2,"20221010123137","20221010123137","939370","939370",0
44,20,"locmst","trvseq",0,1,"20221010123213","20221010123213","939370","939370",0
45,20,"locmst","stoloc",0,2,"20221010123213","20221010123213","939370","939370",0
46,21,"locmst","trvseq",0,1,"20221010123239","20221010123239","939370","939370",0
47,21,"locmst","stoloc",0,2,"20221010123239","20221010123239","939370","939370",0
48,22,"locmst","trvseq",0,1,"20221010123304","20221010123304","939370","939370",0
49,22,"locmst","stoloc",0,2,"20221010123304","20221010123304","939370","939370",0
50,23,"locmst","trvseq",0,2,"20221010123901","20221010123901","939370","939370",0
51,23,"locmst","stoloc",0,3,"20221010123901","20221010123901","939370","939370",0
52,24,"pckwrk_view","list_id",0,1,"20221010123936","20221010123936","939370","939370",0
53,24,"locmst","trvseq",0,2,"20221010123936","20221010123936","939370","939370",0
54,24,"locmst","stoloc",0,3,"20221010123936","20221010123936","939370","939370",0
55,25,"locmst","trvseq",0,2,"20221010124040","20221010124040","939370","939370",0
56,25,"locmst","stoloc",0,3,"20221010124040","20221010124040","939370","939370",0
57,26,"pckwrk_view","list_id",0,1,"20221010124147","20221010124147","939370","939370",0
58,26,"locmst","trvseq",0,2,"20221010124147","20221010124147","939370","939370",0
59,26,"locmst","stoloc",0,3,"20221010124147","20221010124147","939370","939370",0
60,27,"locmst","trvseq",0,2,"20221010124246","20221010124246","939370","939370",0
61,27,"locmst","stoloc",0,3,"20221010124246","20221010124246","939370","939370",0
62,28,"pckwrk_view","list_id",0,1,"20221010124317","20221010124317","939370","939370",0
63,28,"locmst","trvseq",0,2,"20221010124317","20221010124317","939370","939370",0
64,28,"locmst","stoloc",0,3,"20221010124318","20221010124318","939370","939370",0
65,29,"locmst","trvseq",0,2,"20230112133727","20230112133727","939370","939370",0
66,29,"locmst","stoloc",0,3,"20230112133727","20230112133727","939370","939370",0
67,30,"locmst","trvseq",0,2,"20230112135313","20230112135313","939370","939370",0
68,30,"locmst","stoloc",0,3,"20230112135313","20230112135313","939370","939370",0
69,31,"locmst","trvseq",0,2,"20230112135348","20230112135348","939370","939370",0
70,31,"locmst","stoloc",0,3,"20230112135348","20230112135348","939370","939370",0
71,32,"locmst","trvseq",0,2,"20230112135418","20230112135418","939370","939370",0
72,32,"locmst","stoloc",0,3,"20230112135418","20230112135418","939370","939370",0
73,33,"locmst","trvseq",0,2,"20230112135449","20230112135449","939370","939370",0
74,33,"locmst","stoloc",0,3,"20230112135449","20230112135449","939370","939370",0
75,34,"locmst","trvseq",0,2,"20230112135529","20230112135529","939370","939370",0
76,34,"locmst","stoloc",0,3,"20230112135529","20230112135529","939370","939370",0
77,35,"locmst","trvseq",0,2,"20230112135600","20230112135600","939370","939370",0
78,35,"locmst","stoloc",0,3,"20230112135600","20230112135600","939370","939370",0
79,36,"locmst","trvseq",0,2,"20230112135629","20230112135629","939370","939370",0
80,36,"locmst","stoloc",0,3,"20230112135629","20230112135629","939370","939370",0
81,37,"locmst","trvseq",0,2,"20230112161341","20230112161341","939370","939370",0
82,37,"locmst","stoloc",0,3,"20230112161341","20230112161341","939370","939370",0
