serv_id,wh_id,seqnum,mixed_prt_flg,spec_serv_cod,serv_enaflg,lodlvl,moddte,mod_usr_id,audit_thresh_cost,crncy_code,accum_flg
"CMPL-LBL-DOCS","2",0,0,"",1,"","20180920101906","939370",0.0,"",0
"USR-AUTO-LOAD-SHP","2",2,0,"",0,"","20181003160030","938673",0.0,"",0
"USR-COPY-HOLDNUM","2",6,0,"",1,"","20181121090756","940028",0.0,"",0
"USR-CRT-STOPS-LOADS","2",1,0,"",1,"","20181014212635","939370",0.0,"",0
"USR-PRINT-PACKSLIP","2",2,1,"",1,"L","20200723142824","939370",0.0,"",0
"USR-SEND-ASSET-IF","2",10,0,"",1,"","20190104153337","939370",0.0,"",0
"USR-SEND-HOLD-IF","2",9,0,"",1,"","20181224145747","939370",0.0,"",0
"USR-SEND-LODATT-IF","2",11,0,"",1,"","20190111043559","939370",0.0,"",0
"USR-SEND-RELABEL-IF","2",8,0,"",1,"","20181221184008","939370",0.0,"",0
"USR-SEND-STATUS","2",4,0,"",1,"","20200723144112","939370",0.0,"",0
"USR-VAS_INV_ONLY","2",1,1,"",1,"S","20230210000000","938673",0.0,"",0
"USR-VAS_LPN_PACK","2",8,1,"",1,"L","20230210000000","938673",0.0,"",0
"USR-VAS_LPN_PICK","2",0,1,"",1,"L","20230210000000","938673",0.0,"",0
"USR-VAS_PACK","2",4,1,"",1,"S","20230210000000","938673",0.0,"",0
"USR-VAS_PACK_CNFRM","2",6,1,"",1,"S","20230210000000","938673",0.0,"",0
"USR-VAS_PICK","2",3,1,"",1,"S","20230210000000","938673",0.0,"",0
"USR-VAS_PICK_CNFRM","2",5,1,"",1,"S","20230210000000","938673",0.0,"",0
