sto_config_criteria_id,sto_config_id,colnam,colval,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id
"000042","000004","mov_zone_id","10019","20190409092800","20190409092800","940028","940028"
"000043","000004","hld_flg","1","20190409092800","20190409092800","940028","940028"
"000044","000004","inv_attr_str18","VRAAGTEKENSPOOR","20190409092800","20190409092800","940028","940028"
"000048","000006","mov_zone_id","10022","20190409092800","20190409092800","940028","940028"
"000049","000006","hld_flg","1","20190409092801","20190409092801","940028","940028"
"000050","000006","inv_attr_str18","VRAAGTEKENSPOOR","20190409092801","20190409092801","940028","940028"
"000051","000010","mov_zone_id","10027","20190409093300","20190409093300","940028","940028"
"000052","000010","hld_flg","1","20190409093300","20190409093300","940028","940028"
"000053","000010","inv_attr_str18","VRAAGTEKENSPOOR","20190409093300","20190409093300","940028","940028"
"000056","000012","mov_zone_id","10022","20190425081310","20190425081310","940028","940028"
"000057","000012","hld_flg","1","20190425081310","20190425081310","940028","940028"
"000058","000011","mov_zone_id","10019","20190425081310","20190425081310","940028","940028"
"000059","000011","hld_flg","1","20190425081310","20190425081310","940028","940028"
"000060","000013","mov_zone_id","10027","20190425081342","20190425081342","940028","940028"
"000061","000013","hld_flg","1","20190425081342","20190425081342","940028","940028"
