sto_config_rule_id,sto_config_id,bldg_id,srtseq,sto_zone_id,strategy,min_lvl,max_lvl,lvl_by_item_flg,max_lod_per_aisle,lod_by_item_flg,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id
"000002","000002","B1",1,10006,"MIXED",0,0,0,0,0,"20200209234811","20200209234811","939370","939370"
"000004","000004","B1",1,10007,"MIXED",0,0,0,0,0,"20200209234859","20200209234859","939370","939370"
"000006","000006","B1",1,10008,"MIXED",0,0,0,0,0,"20200209234959","20200209234959","939370","939370"
"000008","000008","B1",1,10009,"MIXED",0,0,0,0,0,"20200209235108","20200209235108","939370","939370"
"000010","000010","B1",1,10010,"MIXED",0,0,0,0,0,"20200209235156","20200209235156","939370","939370"
