alloc_search_path_criteria_id,alloc_search_path_id,colnam,colval,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id
"10001","10002","client_id","RFH","20200515132649","20200515132649","938673","938673"
"10002","10003","client_id","RFH","20200515132649","20200515132649","938673","938673"
