pcklst_rule_id,pcklst_rule_name,wh_id,client_id,re_list_flg,allow_split_flg,list_typ,one_pass_only,assign_slot_flg,asset_typ,valid_flg,cnf_mtused_prt,cmdtxt,opr_cod,pick_ord_by,max_start_picks,drop_at_wrkzone_change,frc_pickup_prev,rsm_lst_pck_prev_opr,cmb_list_flg,prevent_pck_cons,pick_to_lvl,wa_fit_cri,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id,max_assets
1,"NLW_PICK_LIST_RULE_W104_ZONE","2","RFH",0,0,"ORD","B",0,"1",1,0,"create work","LPCK","locmst.trvseq ASC,locmst.stoloc ASC",0,0,0,0,1,0,"L","","20200318152851","20230220162407","939370","939370",1
2,"NLW_PICK_LIST_RULE_A005_ZONE","2","RFH",0,0,"ORD","B",0,"1",1,0,"create work","LPCK","locmst.trvseq ASC,locmst.stoloc ASC",0,0,0,0,1,0,"L","","20201002112217","20230220164642","939370","939370",1
3,"NLW_PICK_LIST_RULE_SPECIAL","2","RFH",0,0,"ORD","B",0,"1",1,0,"create work","LPCK","locmst.trvseq ASC,locmst.stoloc ASC",0,0,0,0,1,0,"L","","20220131164634","20220201112040","940788","940788",1
4,"SHELVE_120CM_W104_ZONE","2","RFH",1,0,"ORD","B",0,"19-H1200",1,0,"","","locmst.trvseq ASC,locmst.stoloc ASC",0,0,0,0,1,0,"L","","20220114130225","20230607171205","939370","938673",1
5,"TROLLEY_1S_W104_ZONE","2","RFH",1,0,"ORD","B",1,"1-1S",1,0,"create work","LPCK","locmst.trvseq ASC,locmst.stoloc ASC",0,0,0,0,1,0,"L","","20220114133522","20230608080953","939370","938673",1
6,"SHELVE_120CM_A005_ZONE","2","RFH",1,0,"ORD","B",0,"19-H1200",1,0,"","","locmst.trvseq ASC,locmst.stoloc ASC",0,0,0,0,1,0,"L","","20220114143417","20230607170444","939370","938673",1
7,"TROLLEY_1S_A005_ZONE","2","RFH",1,0,"ORD","B",1,"1-1S",1,0,"create work","LPCK","locmst.trvseq ASC,locmst.stoloc ASC",0,0,0,0,1,0,"L","","20220114145038","20230608000223","939370","938673",1
8,"NLW_PICK_LIST_RULE_P010_ZONE","2","RFH",0,0,"ORD","B",0,"1",1,0,"create work","LPCK","locmst.trvseq ASC,locmst.stoloc ASC",0,0,0,0,1,0,"L","","20220523133425","20220523133644","939370","939370",1
9,"SHELVE_120CM_P010_ZONE","2","RFH",1,0,"ORD","B",0,"19-H1200",1,0,"","","locmst.trvseq ASC,locmst.stoloc ASC",0,0,0,0,1,0,"L","","20220523135959","20230607170823","939370","938673",1
10,"TROLLEY_1S_P010_ZONE","2","RFH",1,0,"ORD","B",1,"1-1S",1,0,"create work","LPCK","locmst.trvseq ASC,locmst.stoloc ASC",0,0,0,0,1,0,"L","","20220523140152","20230607235848","939370","938673",1
11,"NLW_PICK_LIST_RULE_P011_ZONE","2","RFH",0,0,"ORD","B",0,"1",1,0,"create work","LPCK","locmst.trvseq ASC,locmst.stoloc ASC",0,0,0,0,1,0,"L","","20220523140610","20220523140610","939370","939370",1
12,"SHELVE_120CM_P011_ZONE","2","RFH",1,0,"ORD","B",0,"19-H1200",1,0,"","","locmst.trvseq ASC,locmst.stoloc ASC",0,0,0,0,1,0,"L","","20220523140801","20230607170855","939370","938673",1
13,"TROLLEY_1S_P011_ZONE","2","RFH",1,0,"ORD","B",1,"1-1S",1,0,"create work","LPCK","locmst.trvseq ASC,locmst.stoloc ASC",0,0,0,0,1,0,"L","","20220523140835","20230608080628","939370","938673",1
14,"NLW_PICK_LIST_RULE_P012_ZONE","2","RFH",0,0,"ORD","B",0,"1",1,0,"create work","LPCK","locmst.trvseq ASC,locmst.stoloc ASC",0,0,0,0,1,0,"L","","20220523141300","20220523141300","939370","939370",1
15,"SHELVE_120CM_P012_ZONE","2","RFH",1,0,"ORD","B",0,"19-H1200",1,0,"","","locmst.trvseq ASC,locmst.stoloc ASC",0,0,0,0,1,0,"L","","20220523141350","20230607170923","939370","938673",1
16,"TROLLEY_1S_P012_ZONE","2","RFH",1,0,"ORD","B",1,"1-1S",1,0,"create work","LPCK","locmst.trvseq ASC,locmst.stoloc ASC",0,0,0,0,1,0,"L","","20220523141432","20230608080653","939370","938673",1
17,"NLW_PICK_LIST_RULE_P013_ZONE","2","RFH",0,0,"ORD","B",0,"1",1,0,"create work","LPCK","locmst.trvseq ASC,locmst.stoloc ASC",0,0,0,0,1,0,"L","","20220523141633","20220523141633","939370","939370",1
18,"SHELVE_120CM_P013_ZONE","2","RFH",1,0,"ORD","B",0,"19-H1200",1,0,"","","locmst.trvseq ASC,locmst.stoloc ASC",0,0,0,0,1,0,"L","","20220523141724","20230607170949","939370","938673",1
19,"TROLLEY_1S_P013_ZONE","2","RFH",1,0,"ORD","B",1,"1-1S",1,0,"create work","LPCK","locmst.trvseq ASC,locmst.stoloc ASC",0,0,0,0,1,0,"L","","20220523141803","20230608080721","939370","938673",1
