alloc_search_path_id,wh_id,srtseq,search_path_typ,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id
"10002","3",1,"PICK","20200323180350","20200928105650","939161","939370"
"10003","3",2,"PICK","20200323180355","20200928105823","939161","939370"
