vehtyp,oprcod,wh_id
"HAND","CCPCK","1"
"HAND","LPCK","1"
"HAND","LPCKWKO","1"
"HAND","PALMOV","1"
"HAND","PCK","1"
"HAND","PRP","1"
"HAND","PUTDIR","1"
"HAND","RLPCK","1"
"HAND","TRN","1"
"HAND","WOPCK","1"
