wh_id,reltyp_id,cnt_zone_id,rel_cmd,extra_args,pricod,grp_cols,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id
"1","A",-10000,"CREATE WORK","",0,"","20181023123941","20181023123941","SUPER","SUPER"
"1","AA",-10000,"CREATE WORK","",0,"","20181023123941","20181023123941","SUPER","SUPER"
"1","AC",-10000,"CREATE WORK","",0,"","20181023123941","20181023123941","SUPER","SUPER"
"1","AD",-10000,"CREATE WORK","",0,"","20181023123941","20181023123941","SUPER","SUPER"
"1","C",-10000,"CREATE WORK","",0,"","20181023123941","20181023123941","SUPER","SUPER"
"1","CB",-10000,"CREATE WORK","",0,"","20181023123941","20181023123941","SUPER","SUPER"
"1","CD",-10000,"CREATE WORK","",0,"","20181023123941","20181023123941","SUPER","SUPER"
"1","CP",-10000,"CREATE WORK","",0,"","20181023123941","20181023123941","SUPER","SUPER"
"1","MAN",-10000,"NOOP","",0,"cntwrk.cntbat,cntwrk.stoloc,cntwrk.wh_id","20181023123941","20181023123941","SUPER","SUPER"
"1","PHY",-10000,"CREATE WORK","",0,"","20181023123941","20181023123941","SUPER","SUPER"
"1","R",-10000,"CREATE WORK","",0,"","20181023123941","20181023123941","SUPER","SUPER"
"1","Z",-10000,"CREATE WORK","",0,"","20181023123941","20181023123941","SUPER","SUPER"
