wh_id,ordtyp,bulk_pck_flg,allow_shp_res_flg,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id,gs1_ordtyp,pcl_val_flg,wm_default_flg,shp_ctnrte_flg
"2","10",1,0,"20180810080906","20180810080906","938673","938673","",0,0,0
"2","11",1,0,"20180810080906","20180810080906","938673","938673","",0,0,0
"2","20",1,0,"20180810080906","20180810080906","938673","938673","",0,0,0
"2","21",1,0,"20180810080906","20180810080906","938673","938673","",0,0,0
"2","30",1,0,"20180810080906","20180810080906","938673","938673","",0,0,0
"2","31",1,0,"20190301075222","20190301075222","938673","938673","",0,0,0
"2","32",1,0,"20201109123836","20201109123836","938673","938673","",0,0,0
"2","33",1,0,"20201109123836","20201109123836","938673","938673","",0,0,0
"2","34",1,0,"20201109123836","20201109123836","938673","938673","",0,0,0
"2","40",1,0,"20180810080906","20180810080906","938673","938673","",0,0,0
"2","50",1,0,"20180810080906","20180810080906","938673","938673","",0,0,0
"2","60",1,0,"20201109123836","20201109123836","938673","938673","",0,0,0
