serv_id,wh_id,seqnum,mixed_prt_flg,spec_serv_cod,serv_enaflg,lodlvl,moddte,mod_usr_id,audit_thresh_cost,crncy_code,accum_flg
"CMPL-LBL-DOCS","3",0,0,"",1,"","20181218132016","940028",0.0,"",0
"USR-AUTO-LOAD-SHP","3",2,0,"",0,"","20181212145104","940028",0.0,"",0
"USR-COPY-HOLDNUM","3",4,0,"",1,"","20190211102547","940028",0.0,"",0
"USR-CRT-STOPS-LOADS","3",1,0,"",1,"","20181212145020","940028",0.0,"",0
"USR-PRINT-PACKSLIP","3",2,1,"",1,"L","20230209093546","938673",0.0,"",0
"USR-RES-NEXT-STEP","3",3,0,"",1,"","20221207151232","938673",0.0,"",0
"USR-SEND-ASSET-IF","3",8,0,"",1,"","20190211123336","940028",0.0,"",0
"USR-SEND-HOLD-IF","3",7,0,"",1,"","20190211123228","940028",0.0,"",0
"USR-SEND-LODATT-IF","3",10,0,"",1,"","20190211123600","940028",0.0,"",0
"USR-SEND-RELABEL-IF","3",6,0,"",1,"","20190211123200","940028",0.0,"",0
"USR-SEND-STATUS","3",4,0,"",1,"","20200723144112","939370",0.0,"",0
"USR-VAS_INV_ONLY","3",1,1,"",1,"S","20230209093518","938673",0.0,"",0
"USR-VAS_LPN_PACK","3",8,1,"",1,"L","20230210125449","938673",0.0,"",0
"USR-VAS_LPN_PICK","3",0,1,"",1,"L","20230313110709","938673",0.0,"",0
"USR-VAS_PACK","3",4,1,"",1,"S","20230210120626","938673",0.0,"",0
"USR-VAS_PACK_CNFRM","3",6,1,"",1,"S","20230210125316","938673",0.0,"",0
"USR-VAS_PICK","3",3,1,"",1,"S","20230210120620","938673",0.0,"",0
"USR-VAS_PICK_CNFRM","3",5,1,"",1,"S","20230210125144","938673",0.0,"",0
