pcklst_seq_cri_id,pcklst_rule_id,table_nam,field_name,sort_order,seqnum,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id
3,1,"locmst","stoloc",0,2,"20220131164647","20220131164647","940788","940788"
4,1,"locmst","trvseq",0,1,"20220131164727","20220131164727","940788","940788"
5,3,"locmst","stoloc",0,2,"20220131164647","20220131164647","940788","940788"
6,3,"locmst","trvseq",0,1,"20220131164727","20220131164727","940788","940788"
7,4,"locmst","stoloc",0,3,"20220114130243","20220114130243","939370","939370"
8,4,"locmst","trvseq",0,2,"20220114130249","20220114130249","939370","939370"
12,6,"locmst","trvseq",0,2,"20220114143417","20220114143417","939370","939370"
13,6,"locmst","stoloc",0,3,"20220114143417","20220114143417","939370","939370"
17,8,"locmst","trvseq",0,1,"20220523133511","20220523133511","939370","939370"
18,8,"locmst","stoloc",0,2,"20220523133511","20220523133511","939370","939370"
19,9,"locmst","trvseq",0,2,"20220523140000","20220523140000","939370","939370"
20,9,"locmst","stoloc",0,3,"20220523140000","20220523140000","939370","939370"
24,11,"locmst","trvseq",0,1,"20220523140610","20220523140610","939370","939370"
25,11,"locmst","stoloc",0,2,"20220523140610","20220523140610","939370","939370"
26,12,"locmst","trvseq",0,2,"20220523140801","20220523140801","939370","939370"
27,12,"locmst","stoloc",0,3,"20220523140801","20220523140801","939370","939370"
31,14,"locmst","trvseq",0,1,"20220523141300","20220523141300","939370","939370"
32,14,"locmst","stoloc",0,2,"20220523141300","20220523141300","939370","939370"
33,15,"locmst","trvseq",0,2,"20220523141350","20220523141350","939370","939370"
34,15,"locmst","stoloc",0,3,"20220523141350","20220523141350","939370","939370"
38,17,"locmst","trvseq",0,1,"20220523141633","20220523141633","939370","939370"
39,17,"locmst","stoloc",0,2,"20220523141633","20220523141633","939370","939370"
40,18,"locmst","trvseq",0,2,"20220523141724","20220523141724","939370","939370"
41,18,"locmst","stoloc",0,3,"20220523141724","20220523141724","939370","939370"
45,20,"locmst","trvseq",0,1,"20220523144830","20220523144830","939370","939370"
46,20,"locmst","stoloc",0,2,"20220523144830","20220523144830","939370","939370"
47,21,"locmst","trvseq",0,1,"20220601161948","20220601161948","939370","939370"
48,21,"locmst","stoloc",0,2,"20220601161948","20220601161948","939370","939370"
49,22,"locmst","trvseq",0,1,"20220601162202","20220601162202","939370","939370"
50,22,"locmst","stoloc",0,2,"20220601162202","20220601162202","939370","939370"
51,23,"locmst","trvseq",0,1,"20220606165945","20220606165945","939370","939370"
52,23,"locmst","stoloc",0,2,"20220606165945","20220606165945","939370","939370"
53,24,"locmst","trvseq",0,2,"20220606170126","20220606170126","939370","939370"
54,24,"locmst","stoloc",0,3,"20220606170126","20220606170126","939370","939370"
58,26,"locmst","trvseq",0,1,"20220606170257","20220606170257","939370","939370"
59,26,"locmst","stoloc",0,2,"20220606170257","20220606170257","939370","939370"
60,27,"locmst","trvseq",0,2,"20220606170342","20220606170342","939370","939370"
61,27,"locmst","stoloc",0,3,"20220606170342","20220606170342","939370","939370"
65,29,"locmst","trvseq",0,2,"20220811203514","20220811203514","939370","939370"
66,29,"locmst","stoloc",0,3,"20220811203514","20220811203514","939370","939370"
70,31,"locmst","trvseq",0,2,"20220811203926","20220811203926","939370","939370"
71,31,"locmst","stoloc",0,3,"20220811203926","20220811203926","939370","939370"
75,33,"locmst","trvseq",0,2,"20220811204402","20220811204402","939370","939370"
76,33,"locmst","stoloc",0,3,"20220811204402","20220811204402","939370","939370"
80,2,"locmst","trvseq",0,1,"20220913220959","20220913220959","939370","939370"
81,2,"locmst","stoloc",0,2,"20220913220959","20220913220959","939370","939370"
82,35,"locmst","trvseq",0,1,"20220913221040","20220913221040","939370","939370"
83,35,"locmst","stoloc",0,2,"20220913221040","20220913221040","939370","939370"
84,36,"locmst","trvseq",0,2,"20220914111527","20220914111527","939370","939370"
85,36,"locmst","stoloc",0,3,"20220914111527","20220914111527","939370","939370"
89,38,"locmst","trvseq",0,2,"20230110131702","20230110131702","939370","939370"
90,38,"locmst","stoloc",0,3,"20230110131702","20230110131702","939370","939370"
91,39,"locmst","trvseq",0,2,"20230110131759","20230110131759","939370","939370"
92,39,"locmst","stoloc",0,3,"20230110131759","20230110131759","939370","939370"
93,40,"locmst","trvseq",0,2,"20230110132202","20230110132202","939370","939370"
94,40,"locmst","stoloc",0,3,"20230110132202","20230110132202","939370","939370"
