alloc_search_path_rule_id,alloc_search_path_id,bldg_id,srtseq,pck_mthd_id,pck_zone_id,lodlvl,uomcod,reg_uom,thresh_flg,cstms_bond_flg,dty_stmp_flg,alloc_grp_nam,loc_cap_pck_pct,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id
"10034","10006","B1",1,10000,10003,"L","","",0,0,0,"GENERAL",0,"20210608150009","20220803154111","939161","938673"
"10035","10006","B1",2,10000,10004,"L","","",0,0,0,"GENERAL",0,"20210608150009","20220803154111","939161","938673"
"10036","10006","B1",3,10000,10006,"L","","",0,0,0,"GENERAL",0,"20210608150009","20220803154111","939161","938673"
"10037","10006","B1",4,10000,10005,"L","","",0,0,0,"GENERAL",0,"20210608150009","20220803154111","939161","938673"
"10038","10006","B1",5,10001,10003,"S","","",0,0,0,"GENERAL",0,"20210608150009","20220803154241","939161","938673"
"10039","10006","B1",6,10001,10004,"S","","",0,0,0,"GENERAL",0,"20210608150009","20220803154241","939161","938673"
"10040","10006","B1",7,10001,10006,"S","","",0,0,0,"GENERAL",0,"20210608150009","20220803154241","939161","938673"
"10041","10006","B1",8,10001,10005,"S","","",0,0,0,"GENERAL",0,"20210608150009","20220803154241","939161","938673"
