vehtyp,oprcod,wh_id
"HAND","CCPCK","3"
"HAND","LPCK","3"
"HAND","PALMOV","3"
"HAND","PCK","3"
"HAND","PRP","3"
"HAND","PUTDIR","3"
"HAND","RLPCK","3"
"HAND","TRN","3"
