sto_zone_id,sto_zone_cod,bldg_id,wh_id,conflg,con_pal_flg,fifflg,pckcod,prox_put_cod,rnwl_sto_flg,set_locsts_flg,set_maxqvl_flg,vrt_stck_flg,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id,con_src_flg,is_purged
10000,"STOTRLR","B1","3",0,0,0,"M","",0,0,0,0,"20181210102500","20181210102500","SUPER","SUPER",0,0
10001,"L201-S-01","B1","3",0,0,0,"M","",0,0,1,0,"20181212120252","20181212120252","940028","940028",0,0
10002,"L134-R-01","B1","3",0,0,0,"N","",0,1,1,0,"20190206084716","20190206084716","940028","940028",0,0
10003,"L432-R-01","B1","3",0,0,0,"N","",0,1,1,0,"20190206084754","20190206084754","940028","940028",0,0
10004,"L134-EV-01","B1","3",0,0,0,"M","SRC",0,1,1,0,"20190206091054","20190206091054","940028","940028",0,0
10008,"L201-EV-01","B1","3",0,0,0,"M","SRC",0,0,1,0,"20190206113758","20190206113758","940028","940028",0,0
10010,"W001-R-01","B1","3",0,0,0,"N","SRC",0,1,1,0,"20190403092424","20190403102657","940028","940028",0,0
10012,"O001-R-01","B1","3",0,0,0,"M","SRC",0,1,1,0,"20190403092902","20190403102657","940028","940028",0,0
10014,"Z001-R-01","B1","3",0,0,0,"M","SRC",0,1,1,0,"20190403093230","20190403102657","940028","940028",0,0
10016,"W001-EV-01","B1","3",0,0,0,"M","SRC",0,1,1,0,"20190403094615","20190403102657","940028","940028",0,0
10019,"D001-S-01","B1","3",0,0,0,"M","",0,0,1,0,"20200921120252","20200921120252","939370","939370",0,0
10020,"E001-S-01","B1","3",0,0,0,"M","",0,0,1,0,"20200921120252","20200921120252","939370","939370",0,0
10021,"A001-S-01","B1","3",0,0,0,"M","",0,0,1,0,"20210826100000","20210826100000","939161","939161",0,0
10022,"B001-S-01","B1","3",0,0,0,"M","",0,0,1,0,"20220405182333","20220405182425","939370","939370",0,0
10023,"B001-S-02","B1","3",0,0,0,"M","",0,0,1,0,"20220406160842","20220406160842","939370","939370",0,0
10024,"D001-S-02","B1","3",0,0,0,"M","",0,0,1,0,"20220414145642","20220414145642","939370","939370",0,0
10025,"P001-S-01","B1","3",0,0,0,"M","",0,0,1,0,"20221005142536","20221005142536","939370","939370",0,0
10026,"P001-S-02","B1","3",0,0,0,"M","",0,0,1,0,"20221005142536","20221005142536","939370","939370",0,0
10027,"R001-S-01","B1","3",0,0,0,"M","",0,0,1,0,"20221005142536","20221005142536","939370","939370",0,0
10028,"R001-S-02","B1","3",0,0,0,"M","",0,0,1,0,"20221005142536","20221005142536","939370","939370",0,0
10029,"C001-S-01","B1","3",0,0,0,"M","",0,0,1,0,"20221005142536","20221005142536","939370","939370",0,0
10030,"A001-S-02","B1","3",0,0,0,"M","",0,0,1,0,"20231002161637","20231002161637","939370","939370",0,0
10031,"C001-S-02","B1","3",0,0,0,"M","",0,0,1,0,"20231004134500","20231004134500","939370","939370",0,0
10032,"E001-S-02","B1","3",0,0,0,"M","",0,0,1,0,"20231004150955","20231004150955","939370","939370",0,0
