arecod,wh_id,bldg_id,lost_loc,logic_flg,u_version,moddte,mod_usr_id,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id
"A001","2","B1","",0,1,"20220120154730","940788","20220120154730","20220120154730","940788","940788"
"A002","2","B1","",0,1,"20220120165143","940788","20220120165143","20220120165143","940788","940788"
"A003","2","B1","",0,1,"20220120165158","940788","20220120165158","20220120165158","940788","940788"
"A004","2","B1","",0,1,"20220120165212","940788","20220120165212","20220120165212","940788","940788"
"A005","2","B1","",0,1,"20220120165237","940788","20220120165237","20220120165237","940788","940788"
"A006","2","B1","",0,1,"20220120165300","940788","20220120165300","20220120165300","940788","940788"
"A007","2","B1","",0,1,"20220531152331","939370","20220531152331","20220531152331","939370","939370"
"A101","2","B1","",0,1,"20201001144131","939370","20210826100000","20210826100000","939161","939161"
"A102","2","B1","",0,1,"20201001144131","939370","20210826100000","20210826100000","939161","939161"
"A103","2","B1","",0,1,"20201001144204","939370","20201001144204","20201001144204","939370","939370"
"A104","2","B1","",0,1,"20201001144131","939370","20201001144131","20201001144131","939370","939370"
"A107","2","B1","",0,1,"20220531152338","939370","20220531152338","20220531152338","939370","939370"
"ADJS","2","B1","",1,1,"20180730083432","938673","20180730083432","20180730083432","938673","938673"
"CADJ","2","B1","",1,1,"20180730083432","938673","20180730083432","20180730083432","938673","938673"
"D4","2","B1","",0,1,"20220722151141","939370","20220722151141","20220722151141","939370","939370"
"DADJ","2","B1","",1,1,"20180730083432","938673","20180730083432","20180730083432","938673","938673"
"DKIT","2","B1","",1,1,"20180730083432","938673","20180730083432","20180730083432","938673","938673"
"DSPCH","2","B1","",1,1,"20180730083432","938673","20180730083432","20180730083432","938673","938673"
"EXPR","2","B1","",1,1,"20180730083432","938673","20180730083432","20180730083432","938673","938673"
"J0","2","B1","",0,1,"20220719174249","939370","20220719174249","20220719174249","939370","939370"
"J3","2","B1","",0,1,"20220722151141","939370","20220722151141","20220722151141","939370","939370"
"L201","2","B1","",0,1,"20200703105524","939370","20200703105524","20200703105524","939370","939370"
"L6","2","B1","",0,1,"20220722151141","939370","20220722151141","20220722151141","939370","939370"
"LOFO","2","B1","LOFO-LOST-001",0,3,"20190104175626","939370","20190104170613","20190104175626","939370","939370"
"N0","2","B1","",0,1,"20220722151141","939370","20220722151141","20220722151141","939370","939370"
"N10","2","B1","",0,1,"20220722151141","939370","20220722151141","20220722151141","939370","939370"
"N20","2","B1","",0,1,"20220722151141","939370","20220722151141","20220722151141","939370","939370"
"O1","2","B1","",0,1,"20220722151141","939370","20220722151141","20220722151141","939370","939370"
"P010","2","B1","",0,1,"20220510171134","939370","20220510171134","20220510171134","939370","939370"
"P011","2","B1","",0,1,"20220510171146","939370","20220510171146","20220510171146","939370","939370"
"P012","2","B1","",0,1,"20220510171214","939370","20220510171214","20220510171214","939370","939370"
"P013","2","B1","",0,1,"20220510171223","939370","20220510171223","20220510171223","939370","939370"
"P017","2","B1","",0,1,"20230207141138","939370","20230207141138","20230207141138","939370","939370"
"P018","2","B1","",0,1,"20230207141138","939370","20230207141138","20230207141138","939370","939370"
"P019","2","B1","",0,1,"20220601100000","940409","20220601100000","20220601100000","940409","940409"
"P020","2","B1","",0,1,"20230309153200","939370","20230309153200","20230309153200","939370","939370"
"R7","2","B1","",0,1,"20220722151141","939370","20220722151141","20220722151141","939370","939370"
"RDTS000001","2","B1","",1,1,"20180730083432","938673","20180730083432","20180730083432","938673","938673"
"RDTS000002","2","B1","",1,1,"20210203113934","SUPER","20210203113934","20210203113934","SUPER","SUPER"
"S0","2","B1","",0,1,"20220802140232","939370","20220802140232","20220802140232","939370","939370"
"S1","2","B1","",0,1,"20220722151141","939370","20220722151141","20220722151141","939370","939370"
"SACO","2","B1","",1,1,"20180730083432","938673","20180730083432","20180730083432","938673","938673"
"SADJ","2","B1","",1,1,"20180730083432","938673","20180730083432","20180730083432","938673","938673"
"SHIP","2","B1","",1,1,"20180730083432","938673","20180730083432","20180730083432","938673","938673"
"STOTRLR","2","B1","",1,1,"20180730083432","938673","20180730083432","20180730083432","938673","938673"
"SXFR","2","B1","",1,1,"20180730083432","938673","20180730083432","20180730083432","938673","938673"
"T0","2","B1","",0,1,"20220722151141","939370","20220722151141","20220722151141","939370","939370"
"V1","2","B1","",0,1,"20220722151141","939370","20220722151141","20220722151141","939370","939370"
"W006","2","B1","",0,1,"20180822120219","940028","20180822120219","20180822120219","940028","940028"
"W104","2","B1","",0,1,"20180822120401","940028","20180822120401","20180822120401","940028","940028"
"W6","2","B1","",0,1,"20220722151141","939370","20220722151141","20220722151141","939370","939370"
"WEXP","2","B1","",1,1,"20180730083432","938673","20180730083432","20180730083432","938673","938673"
"WRKS","2","B1","",1,1,"20180730083433","938673","20180730083433","20180730083433","938673","938673"
"X011","2","B1","",0,1,"20220510171155","939370","20220510171155","20220510171155","939370","939370"
"X1","2","B1","",0,1,"20220722151141","939370","20220722151141","20220722151141","939370","939370"
"XDCK","2","B1","",0,1,"20180730083433","938673","20180730083433","20180730083433","938673","938673"
"XDDR","2","B1","",1,1,"20180730083433","938673","20180730083433","20180730083433","938673","938673"
"ZC","2","B1","",0,1,"20220802170405","939370","20220802170405","20220802170405","939370","939370"
