pcklst_seq_cri_id,pcklst_rule_id,table_nam,field_name,sort_order,seqnum,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id,is_purged
1,1,"locmst","trvseq",0,1,"20210412000000","20210412000000","938673","938673",0
2,1,"locmst","stoloc",0,2,"20210412000000","20210412000000","938673","938673",0
3,2,"locmst","trvseq",0,2,"20211209145956","20220111183616","939370","939370",0
4,2,"locmst","stoloc",0,3,"20211209145956","20220111183616","939370","939370",0
5,3,"locmst","trvseq",0,2,"20211209161254","20211209161254","939370","939370",0
6,3,"locmst","stoloc",0,3,"20211209161254","20211209161254","939370","939370",0
9,5,"locmst","trvseq",0,1,"20230314101758","20230314101758","938673","938673",0
10,5,"locmst","stoloc",0,2,"20230314101758","20230314101758","938673","938673",0
11,2,"pckwrk_view","list_id",0,1,"20220111183122","20220111183616","939370","939370",0
12,6,"locmst","trvseq",0,1,"20221114105854","20221114105854","939370","939370",0
13,6,"locmst","stoloc",0,2,"20221114105854","20221114105854","939370","939370",0
14,7,"locmst","trvseq",0,2,"20221114112414","20221114112414","939370","939370",0
15,7,"locmst","stoloc",0,3,"20221114112414","20221114112414","939370","939370",0
16,8,"pckwrk_view","list_id",0,1,"20221114112519","20221114112519","939370","939370",0
17,8,"locmst","trvseq",0,2,"20221114112519","20221114112519","939370","939370",0
18,8,"locmst","stoloc",0,3,"20221114112519","20221114112519","939370","939370",0
19,9,"locmst","trvseq",0,1,"20221114113924","20221114113924","939370","939370",0
20,9,"locmst","stoloc",0,2,"20221114113924","20221114113924","939370","939370",0
21,10,"locmst","trvseq",0,2,"20221114114016","20221114114016","939370","939370",0
22,10,"locmst","stoloc",0,3,"20221114114016","20221114114016","939370","939370",0
23,11,"pckwrk_view","list_id",0,1,"20221114114050","20221114114050","939370","939370",0
24,11,"locmst","trvseq",0,2,"20221114114050","20221114114050","939370","939370",0
25,11,"locmst","stoloc",0,3,"20221114114050","20221114114050","939370","939370",0
26,12,"locmst","trvseq",0,1,"20221114114308","20221114114308","939370","939370",0
27,12,"locmst","stoloc",0,2,"20221114114308","20221114114308","939370","939370",0
28,13,"locmst","trvseq",0,2,"20230104164437","20230104164437","939370","939370",0
29,13,"locmst","stoloc",0,3,"20230104164437","20230104164437","939370","939370",0
30,14,"locmst","trvseq",0,2,"20230104164540","20230104164540","939370","939370",0
31,14,"locmst","stoloc",0,3,"20230104164540","20230104164540","939370","939370",0
32,15,"locmst","trvseq",0,2,"20230104164644","20230104164644","939370","939370",0
33,15,"locmst","stoloc",0,3,"20230104164644","20230104164644","939370","939370",0
34,16,"locmst","trvseq",0,2,"20230104164742","20230104164742","939370","939370",0
35,16,"locmst","stoloc",0,3,"20230104164742","20230104164742","939370","939370",0
36,17,"locmst","trvseq",0,2,"20230104164937","20230104164937","939370","939370",0
37,17,"locmst","stoloc",0,3,"20230104164937","20230104164937","939370","939370",0
38,18,"locmst","trvseq",0,2,"20230104165101","20230104165101","939370","939370",0
39,18,"locmst","stoloc",0,3,"20230104165101","20230104165101","939370","939370",0
40,19,"pckwrk_view","list_id",0,1,"20230104174222","20230104174222","939370","939370",0
41,19,"locmst","trvseq",0,2,"20230104174222","20230104174222","939370","939370",0
42,19,"locmst","stoloc",0,3,"20230104174222","20230104174222","939370","939370",0
43,20,"pckwrk_view","list_id",0,1,"20230104174308","20230104174308","939370","939370",0
44,20,"locmst","trvseq",0,2,"20230104174308","20230104174308","939370","939370",0
45,20,"locmst","stoloc",0,3,"20230104174308","20230104174308","939370","939370",0
46,21,"pckwrk_view","list_id",0,1,"20230104174414","20230104174414","939370","939370",0
47,21,"locmst","trvseq",0,2,"20230104174414","20230104174414","939370","939370",0
48,21,"locmst","stoloc",0,3,"20230104174414","20230104174414","939370","939370",0
49,22,"pckwrk_view","list_id",0,1,"20230104174458","20230104174458","939370","939370",0
50,22,"locmst","trvseq",0,2,"20230104174458","20230104174458","939370","939370",0
51,22,"locmst","stoloc",0,3,"20230104174458","20230104174458","939370","939370",0
52,23,"pckwrk_view","list_id",0,1,"20230104174535","20230104174535","939370","939370",0
53,23,"locmst","trvseq",0,2,"20230104174535","20230104174535","939370","939370",0
54,23,"locmst","stoloc",0,3,"20230104174535","20230104174535","939370","939370",0
55,24,"pckwrk_view","list_id",0,1,"20230104174613","20230104174613","939370","939370",0
56,24,"locmst","trvseq",0,2,"20230104174613","20230104174613","939370","939370",0
57,24,"locmst","stoloc",0,3,"20230104174613","20230104174613","939370","939370",0
58,25,"locmst","trvseq",0,1,"20230105162259","20230105162259","939370","939370",0
59,25,"locmst","stoloc",0,2,"20230105162259","20230105162259","939370","939370",0
60,26,"locmst","trvseq",0,1,"20230105162356","20230105162356","939370","939370",0
61,26,"locmst","stoloc",0,2,"20230105162356","20230105162356","939370","939370",0
62,27,"locmst","trvseq",0,1,"20230105162422","20230105162422","939370","939370",0
63,27,"locmst","stoloc",0,2,"20230105162422","20230105162422","939370","939370",0
64,28,"locmst","trvseq",0,1,"20230130161848","20230130161848","939370","939370",0
65,28,"locmst","stoloc",0,2,"20230130161848","20230130161848","939370","939370",0
66,29,"locmst","trvseq",0,2,"20230130162007","20230130162007","939370","939370",0
67,29,"locmst","stoloc",0,3,"20230130162007","20230130162007","939370","939370",0
68,30,"locmst","trvseq",0,2,"20230130162134","20230130162134","939370","939370",0
69,30,"locmst","stoloc",0,3,"20230130162134","20230130162134","939370","939370",0
70,31,"locmst","trvseq",0,2,"20230130162214","20230130162214","939370","939370",0
71,31,"locmst","stoloc",0,3,"20230130162214","20230130162214","939370","939370",0
72,32,"locmst","trvseq",0,1,"20230130162356","20230130162356","939370","939370",0
73,32,"locmst","stoloc",0,2,"20230130162356","20230130162356","939370","939370",0
74,33,"pckwrk_view","list_id",0,1,"20230130162438","20230130162438","939370","939370",0
75,33,"locmst","trvseq",0,2,"20230130162438","20230130162438","939370","939370",0
76,33,"locmst","stoloc",0,3,"20230130162438","20230130162438","939370","939370",0
77,34,"pckwrk_view","list_id",0,1,"20230130162557","20230130162557","939370","939370",0
78,34,"locmst","trvseq",0,2,"20230130162557","20230130162557","939370","939370",0
79,34,"locmst","stoloc",0,3,"20230130162557","20230130162557","939370","939370",0
80,35,"pckwrk_view","list_id",0,1,"20230130162644","20230130162644","939370","939370",0
81,35,"locmst","trvseq",0,2,"20230130162644","20230130162644","939370","939370",0
82,35,"locmst","stoloc",0,3,"20230130162644","20230130162644","939370","939370",0
83,36,"locmst","trvseq",0,1,"20230316134951","20230316134951","938673","938673",0
84,36,"locmst","stoloc",0,2,"20230316134951","20230316134951","938673","938673",0
