sto_config_criteria_id,sto_config_id,colnam,colval,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id
"000004","000002","mov_zone_id","10079","20200227142943","20200227142943","939161","939161"
"000005","000002","hld_flg","1","20200227142943","20200227142943","939161","939161"
"000006","000002","inv_attr_str18","VRAAGTEKENSPOOR","20200227142943","20200227142943","939161","939161"
"000010","000004","mov_zone_id","10080","20200227142958","20200227142958","939161","939161"
"000011","000004","hld_flg","1","20200227142958","20200227142958","939161","939161"
"000012","000004","inv_attr_str18","VRAAGTEKENSPOOR","20200227142958","20200227142958","939161","939161"
"000016","000006","mov_zone_id","10081","20200227143013","20200227143013","939161","939161"
"000017","000006","hld_flg","1","20200227143013","20200227143013","939161","939161"
"000018","000006","inv_attr_str18","VRAAGTEKENSPOOR","20200227143013","20200227143013","939161","939161"
"000022","000008","mov_zone_id","10082","20200227143029","20200227143029","939161","939161"
"000023","000008","hld_flg","1","20200227143029","20200227143029","939161","939161"
"000024","000008","inv_attr_str18","VRAAGTEKENSPOOR","20200227143029","20200227143029","939161","939161"
"000028","000010","mov_zone_id","10083","20200227143043","20200227143043","939161","939161"
"000029","000010","hld_flg","1","20200227143043","20200227143043","939161","939161"
"000030","000010","inv_attr_str18","VRAAGTEKENSPOOR","20200227143043","20200227143043","939161","939161"
