pck_mthd_id,pck_mthd_nam,wh_id,list_flg,ctn_flg,skip_pick_valdt,inline_rpl_flg,rsv_pck_rel,spcfc_cs_flg,mix_cs_flg,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id
-50013,"StageTransfers","7",0,0,"DEF_DISABLE",0,99,0,0,"20200203001528","20200203001528","939370","939370"
-50012,"StockTransfers","7",0,0,"DEF_DISABLE",0,99,0,0,"20200203001528","20200203001528","939370","939370"
-50011,"StockTransfers","7",0,0,"DEF_DISABLE",0,99,0,0,"20200203001528","20200203001528","939370","939370"
-50010,"StockTransfers","7",0,0,"DEF_DISABLE",0,99,0,0,"20200203001528","20200203001528","939370","939370"
-50009,"CrossDocking-D","7",0,0,"DEF_DISABLE",0,99,0,0,"20200203001528","20200203001528","939370","939370"
-50008,"CrossDocking-S","7",0,0,"DEF_DISABLE",0,99,0,0,"20200203001528","20200203001528","939370","939370"
-50007,"CrossDocking-L","7",0,0,"DEF_DISABLE",0,99,0,0,"20200203001528","20200203001528","939370","939370"
10000,"PALLETPICK","7",0,0,"DEF_NO_PROMPT",0,0,0,0,"20200203001528","20200417155253","939370","938673"
10001,"LISTPICK","7",1,0,"DEF_NO_PROMPT",0,0,0,0,"20200203001528","20210203114659","939370","939370"
10002,"Replishment","7",0,0,"DEF_DISABLE",0,99,0,0,"20200203001528","20200203001528","939370","939370"
10003,"CartonPick","7",0,1,"DEF_DISABLE",0,99,0,0,"20200203001528","20200203001528","939370","939370"
10004,"CasePick","7",0,0,"DEF_DISABLE",0,99,0,0,"20200203001528","20200203001528","939370","939370"
10005,"ReplishmentSplitPick","7",0,0,"DEF_DISABLE",0,99,0,0,"20200203001528","20200203001528","939370","939370"
10006,"PALLETPICK_CC","7",0,0,"DEF_NO_PROMPT",0,0,0,0,"20230309163629","20230310122320","939370","939370"
10007,"PALLETPICK_WO","7",0,0,"DEF_NO_PROMPT",0,0,0,0,"20220419000000","20220419000000","938673","938673"
10008,"LISTPICK_WO","7",0,0,"DEF_NO_PROMPT",0,0,0,0,"20220419000000","20220419000000","938673","938673"
