cri_id,seqnum,wh_id,grpopr,table_nam,field_name,operator,value,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id,is_purged
"NONPRIORD",1,"1","","ord","ordtyp","!=","34","20210921113138","20210921113138","940409","940409",0
"PRIORD",1,"1","","ord","ordtyp","=","34","20210909164132","20210909164132","940409","940409",0
