prtfam,brk_stop_seq_cod,pal_thresh_pct,prtfamgrp,relpck_asset_ful_flg,moddte,mod_usr_id,wrk_rel_seq
"10000000","",0,"",0,"20180823161418","940028",999999999
"20000000","",0,"",0,"20180823161438","940028",999999999
"30000000","",0,"",0,"20180823161545","940028",999999999
