pck_zone_id,pck_zone_cod,bldg_id,wh_id,atecod,ctngrp,dtlflg,subflg,lodflg,pck_steal_flg,start_pal_flg,pipflg,err_loc_invsts_flg,rf_pcklst_dsp,rf_suppress_qty,mix_lotsts_alloc_flg,sum_count_bck_flg,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id,grp_pck,validation_size,maxpck,loc_count_back_flg,is_purged
10000,"STOTRLR","B1","3","D","",0,0,0,1,0,0,0,0,0,1,0,"20181210102500","20181210102500","SUPER","SUPER",0,0,0,0,0
10001,"XDDR","B1","3","D","",1,1,1,1,0,0,0,0,0,1,0,"20181210102500","20181210102500","SUPER","SUPER",0,0,0,0,0
10002,"XDCK","B1","3","D","",1,1,1,1,0,0,0,0,0,1,0,"20181210102500","20181210102500","SUPER","SUPER",0,0,0,0,0
10003,"L201-P-01","B1","3","D","",0,1,1,0,0,0,0,0,0,0,0,"20181212131902","20200611125309","940028","939161",0,0,0,0,0
10006,"D001-P-01","B1","3","D","",0,1,1,0,0,0,0,0,0,0,0,"20200921131902","20200921131902","939370","939370",0,0,0,0,0
10007,"E001-P-01","B1","3","D","",0,1,1,0,0,0,0,0,0,0,0,"20200921131902","20200921131902","939370","939370",0,0,0,0,0
10008,"A001-P-01","B1","3","D","",0,1,1,0,0,0,0,0,0,0,0,"20210826100000","20210826100000","939161","939161",0,0,0,0,0
10009,"B001-P-01","B1","3","D","",0,1,1,0,0,0,0,0,0,0,0,"20220405183457","20220405183457","939370","939370",0,0,0,0,0
10010,"B001-P-02","B1","3","D","",0,1,1,0,0,0,0,0,0,0,0,"20220406154653","20220406154653","939370","939370",0,0,0,0,0
10011,"D001-P-02","B1","3","D","",0,1,1,0,0,0,0,0,0,0,0,"20220414152025","20220414152025","939370","939370",0,0,0,0,0
10012,"P001-P-01","B1","3","D","",0,1,1,0,0,0,0,0,0,0,0,"20221005164638","20221005164638","939370","939370",0,0,0,0,0
10013,"P001-P-02","B1","3","D","",0,1,1,0,0,0,0,0,0,0,0,"20221005164638","20221005164638","939370","939370",0,0,0,0,0
10014,"R001-P-01","B1","3","D","",0,1,1,0,0,0,0,0,0,0,0,"20221005164638","20221005164638","939370","939370",0,0,0,0,0
10015,"R001-P-02","B1","3","D","",0,1,1,0,0,0,0,0,0,0,0,"20221005164638","20221005164638","939370","939370",0,0,0,0,0
10016,"C001-P-01","B1","3","D","",0,1,1,0,0,0,0,0,0,0,0,"20221005164638","20221005164638","939370","939370",0,0,0,0,0
10017,"A001-P-02","B1","3","D","",0,1,1,0,0,0,0,0,0,0,0,"20231002161648","20231002161648","939370","939370",0,0,0,0,0
10018,"C001-P-02","B1","3","D","",0,1,1,0,0,0,0,0,0,0,0,"20231004134539","20231004134539","939370","939370",0,0,0,0,0
10019,"E001-P-02","B1","3","D","",0,1,1,0,0,0,0,0,0,0,0,"20231004151034","20231004151034","939370","939370",0,0,0,0,0
