alloc_search_path_rule_id,alloc_search_path_id,bldg_id,srtseq,pck_mthd_id,pck_zone_id,lodlvl,uomcod,reg_uom,thresh_flg,cstms_bond_flg,dty_stmp_flg,alloc_grp_nam,loc_cap_pck_pct,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id,is_purged
"10001","10002","B1",1,10000,10003,"L","","",0,0,0,"FIFO",0,"20200515132649","20200515132649","938673","938673",0
"10002","10002","B1",13,10001,10003,"S","","",0,0,0,"FIFO",0,"20200515132649","20231005093136","938673","939370",0
"10004","10002","B1",4,10000,10006,"L","","",0,0,0,"FIFO",0,"20200928105624","20220418150557","939370","939370",0
"10005","10002","B1",6,10000,10007,"L","","",0,0,0,"FIFO",0,"20200928105650","20220418150533","939370","939370",0
"10007","10002","B1",16,10001,10006,"S","","",0,0,0,"FIFO",0,"20200928105823","20231005093136","939370","939370",0
"10008","10002","B1",18,10001,10007,"S","","",0,0,0,"FIFO",0,"20200928105823","20231005093136","939370","939370",0
"10009","10002","B1",7,10000,10008,"L","","",0,0,0,"FIFO",0,"20210920110500","20220418150533","940409","939370",0
"10010","10002","B1",19,10001,10008,"S","","",0,0,0,"FIFO",0,"20210920110606","20231005093136","940409","939370",0
"10011","10002","B1",2,10000,10009,"L","","",0,0,0,"FIFO",0,"20220418150506","20220418150506","939370","939370",0
"10012","10002","B1",3,10000,10010,"L","","",0,0,0,"FIFO",0,"20220418150506","20220418150506","939370","939370",0
"10013","10002","B1",5,10000,10011,"L","","",0,0,0,"FIFO",0,"20220418150506","20220418150557","939370","939370",0
"10014","10002","B1",14,10001,10009,"S","","",0,0,0,"FIFO",0,"20220418150729","20231005093136","939370","939370",0
"10015","10002","B1",15,10001,10010,"S","","",0,0,0,"FIFO",0,"20220418150729","20231005093136","939370","939370",0
"10016","10002","B1",17,10001,10011,"S","","",0,0,0,"FIFO",0,"20220418150729","20231005093136","939370","939370",0
"10017","10002","B1",8,10000,10012,"L","","",0,0,0,"FIFO",0,"20221007124813","20221007124813","939370","939370",0
"10018","10002","B1",9,10000,10013,"L","","",0,0,0,"FIFO",0,"20221007124813","20221007124813","939370","939370",0
"10019","10002","B1",10,10000,10014,"L","","",0,0,0,"FIFO",0,"20221007124813","20221007124813","939370","939370",0
"10020","10002","B1",11,10000,10015,"L","","",0,0,0,"FIFO",0,"20221007124813","20221007124813","939370","939370",0
"10021","10002","B1",12,10000,10016,"L","","",0,0,0,"FIFO",0,"20221007124813","20221007124813","939370","939370",0
"10022","10002","B1",20,10001,10012,"S","","",0,0,0,"FIFO",0,"20221007124916","20231005093136","939370","939370",0
"10023","10002","B1",21,10001,10013,"S","","",0,0,0,"FIFO",0,"20221007124916","20231005093136","939370","939370",0
"10024","10002","B1",22,10001,10014,"S","","",0,0,0,"FIFO",0,"20221007124916","20231005093136","939370","939370",0
"10025","10002","B1",23,10001,10015,"S","","",0,0,0,"FIFO",0,"20221007124916","20231005093136","939370","939370",0
"10026","10002","B1",24,10001,10016,"S","","",0,0,0,"FIFO",0,"20221007124916","20231005093136","939370","939370",0
"10027","10002","B1",25,10000,10017,"L","","",0,0,0,"FIFO",0,"20231005093530","20231005093530","939370","939370",0
"10028","10002","B1",26,10000,10018,"L","","",0,0,0,"FIFO",0,"20231005093530","20231005093530","939370","939370",0
"10029","10002","B1",27,10000,10019,"L","","",0,0,0,"FIFO",0,"20231005093530","20231005093530","939370","939370",0
"10030","10002","B1",28,10001,10017,"S","","",0,0,0,"FIFO",0,"20231005093600","20231005093600","939370","939370",0
"10031","10002","B1",29,10001,10018,"S","","",0,0,0,"FIFO",0,"20231005093600","20231005093600","939370","939370",0
"10032","10002","B1",30,10001,10019,"S","","",0,0,0,"FIFO",0,"20231005093600","20231005093600","939370","939370",0
